month,mode,underlying_lp,composition_lp,n_obs
2016-06,base,0.012164781944742756,0.0020826002363740106,53045
2016-06,wage_round_50c,0.012093561583518236,0.0020814436636284795,53045
2016-06,wage_round_1d,0.012260268799274809,0.0020738548501524562,53045
2016-06,topcode_p99,0.011835782635931795,0.001983838465780061,53045
2016-06,coarse_noc9,0.014952846796310558,-0.0005616285019345143,53045
2016-06,coarse_noc9_naics7,0.015096801285054905,-0.0007745285023137866,53045
2018-05,base,0.04005029462072804,0.00016932123793275767,53364
2018-05,wage_round_50c,0.03995428624288408,0.0001679114038178445,53364
2018-05,wage_round_1d,0.04007894738945978,0.0001627350252872749,53364
2018-05,topcode_p99,0.03999965608919431,0.00023876182966912524,53364
2018-05,coarse_noc9,0.03988607080181786,0.00024275804274379983,53364
2018-05,coarse_noc9_naics7,0.04003110419926557,0.0001316223523696829,53364
2019-08,base,0.02707052004066406,0.008669226699545075,51867
2019-08,wage_round_50c,0.02727911391921434,0.008671318759569354,51867
2019-08,wage_round_1d,0.0269144385473846,0.008661329508495961,51867
2019-08,topcode_p99,0.02705299126867136,0.008519917160289672,51867
2019-08,coarse_noc9,0.026516376195592332,0.009470099944228582,51867
2019-08,coarse_noc9_naics7,0.026743663350594978,0.009376930164482749,51867
2020-06,base,0.03317943141786769,0.03997879899549449,41324
2020-06,wage_round_50c,0.03314511860088788,0.03998553513845645,41324
2020-06,wage_round_1d,0.03356262429155333,0.04002581858393911,41324
2020-06,topcode_p99,0.033764521250367135,0.039694939291552066,41324
2020-06,coarse_noc9,0.03429755501314691,0.03893140923632615,41324
2020-06,coarse_noc9_naics7,0.034341266852226084,0.038691600060734674,41324
2021-09,base,0.02575674277201512,0.00017542538776779007,42992
2021-09,wage_round_50c,0.025655574424256058,0.0001751758534451918,42992
2021-09,wage_round_1d,0.02551841684913859,0.00017705191002478357,42992
2021-09,topcode_p99,0.02583486951825893,0.0001982302887954235,42992
2021-09,coarse_noc9,0.027584553931758325,-0.0019433558310052862,42992
2021-09,coarse_noc9_naics7,0.029117255096047845,-0.0036588470632882356,42992
2023-03,base,0.048040233011000556,0.003409075330811581,50882
2023-03,wage_round_50c,0.04795521113541786,0.0034123505763479964,50882
2023-03,wage_round_1d,0.04823737199000087,0.003408315054597736,50882
2023-03,topcode_p99,0.04811693693294413,0.0032885834188298587,50882
2023-03,coarse_noc9,0.048520547373724784,0.0032145722416972423,50882
2023-03,coarse_noc9_naics7,0.04881915036877614,0.0029521008882546678,50882
2024-07,base,0.040166624768272596,0.007553938346556344,57703
2024-07,wage_round_50c,0.04027309721254605,0.007554029226952382,57703
2024-07,wage_round_1d,0.04018276308001822,0.007519881593263755,57703
2024-07,topcode_p99,0.040511245775237195,0.007440476937709498,57703
2024-07,coarse_noc9,0.04094186897801958,0.0066085453577641295,57703
2024-07,coarse_noc9_naics7,0.04183940345355952,0.005709146810841174,57703
2025-10,base,0.027389747305412642,0.004915092565934556,56867
2025-10,wage_round_50c,0.02723737657515793,0.00492235316362146,56867
2025-10,wage_round_1d,0.02720506477615048,0.004917108431920899,56867
2025-10,topcode_p99,0.027380079921828098,0.004883353966214749,56867
2025-10,coarse_noc9,0.02504391913640007,0.007319238109231435,56867
2025-10,coarse_noc9_naics7,0.024017729363007823,0.008264171741608773,56867
