date,aggregate,weight_pct
1986-01-01,all_items,100.0
1986-01-01,all_items_ex_food_energy,76.12
1986-01-01,all_items_ex_shelter,73.74
1986-01-01,energy,6.29
1986-01-01,food,17.59
1986-01-01,goods,54.32
1986-01-01,goods_ex_food_energy,35.52
1986-01-01,services,45.69
1986-01-01,shelter,26.26
1992-01-01,all_items,100.0
1992-01-01,all_items_ex_food_energy,74.07
1992-01-01,all_items_ex_shelter,72.12
1992-01-01,energy,7.94
1992-01-01,food,17.99
1992-01-01,goods,50.91
1992-01-01,goods_ex_food_energy,30.4
1992-01-01,services,49.09
1992-01-01,shelter,27.88
1996-01-01,all_items,100.0
1996-01-01,all_items_ex_food_energy,73.74
1996-01-01,all_items_ex_shelter,73.25
1996-01-01,energy,8.38
1996-01-01,food,17.89
1996-01-01,goods,50.28
1996-01-01,goods_ex_food_energy,29.0
1996-01-01,services,49.72
1996-01-01,shelter,26.75
2001-01-01,all_items,100.0
2001-01-01,all_items_ex_food_energy,74.27
2001-01-01,all_items_ex_shelter,73.25
2001-01-01,energy,8.84
2001-01-01,food,16.89
2001-01-01,goods,48.84
2001-01-01,goods_ex_food_energy,28.28
2001-01-01,services,51.16
2001-01-01,shelter,26.75
2005-01-01,all_items,100.0
2005-01-01,all_items_ex_food_energy,73.57
2005-01-01,all_items_ex_shelter,73.38
2005-01-01,energy,9.38
2005-01-01,food,17.04
2005-01-01,goods,48.78
2005-01-01,goods_ex_food_energy,27.51
2005-01-01,services,51.22
2005-01-01,shelter,26.62
2009-01-01,all_items,100.0
2009-01-01,all_items_ex_food_energy,73.93
2009-01-01,all_items_ex_shelter,72.51
2009-01-01,energy,10.08
2009-01-01,food,15.99
2009-01-01,goods,47.8
2009-01-01,goods_ex_food_energy,26.55
2009-01-01,services,52.2
2009-01-01,shelter,27.49
2011-01-01,all_items,100.0
2011-01-01,all_items_ex_food_energy,74.85
2011-01-01,all_items_ex_shelter,73.74
2011-01-01,energy,8.56
2011-01-01,food,16.6
2011-01-01,goods,48.18
2011-01-01,goods_ex_food_energy,28.01
2011-01-01,services,51.82
2011-01-01,shelter,26.26
2013-01-01,all_items,100.0
2013-01-01,all_items_ex_food_energy,75.8
2013-01-01,all_items_ex_shelter,73.2
2013-01-01,energy,7.79
2013-01-01,food,16.41
2013-01-01,goods,46.68
2013-01-01,goods_ex_food_energy,27.27
2013-01-01,services,53.32
2013-01-01,shelter,26.8
2015-01-01,all_items,100.0
2015-01-01,all_items_ex_food_energy,76.71
2015-01-01,all_items_ex_shelter,72.85
2015-01-01,energy,7.06
2015-01-01,food,16.23
2015-01-01,goods,45.32
2015-01-01,goods_ex_food_energy,27.04
2015-01-01,services,54.68
2015-01-01,shelter,27.15
2017-01-01,all_items,100.0
2017-01-01,all_items_ex_food_energy,77.01
2017-01-01,all_items_ex_shelter,72.64
2017-01-01,energy,6.5
2017-01-01,food,16.48
2017-01-01,goods,44.29
2017-01-01,goods_ex_food_energy,26.48
2017-01-01,services,55.71
2017-01-01,shelter,27.36
2020-01-01,all_items,100.0
2020-01-01,all_items_ex_food_energy,77.06
2020-01-01,all_items_ex_shelter,69.97
2020-01-01,energy,6.7
2020-01-01,food,16.24
2020-01-01,goods,48.78
2020-01-01,goods_ex_food_energy,30.33
2020-01-01,services,51.22
2020-01-01,shelter,30.03
2021-01-01,all_items,100.0
2021-01-01,all_items_ex_food_energy,76.65
2021-01-01,all_items_ex_shelter,70.2
2021-01-01,energy,7.41
2021-01-01,food,15.94
2021-01-01,goods,48.88
2021-01-01,goods_ex_food_energy,30.33
2021-01-01,services,51.12
2021-01-01,shelter,29.8
2022-01-01,all_items,100.0
2022-01-01,all_items_ex_food_energy,76.57
2022-01-01,all_items_ex_shelter,71.66
2022-01-01,energy,6.78
2022-01-01,food,16.65
2022-01-01,goods,47.22
2022-01-01,goods_ex_food_energy,29.41
2022-01-01,services,52.78
2022-01-01,shelter,28.34
2023-01-01,all_items,100.0
2023-01-01,all_items_ex_food_energy,76.3
2023-01-01,all_items_ex_shelter,70.85
2023-01-01,energy,7.01
2023-01-01,food,16.69
2023-01-01,goods,45.29
2023-01-01,goods_ex_food_energy,27.57
2023-01-01,services,54.71
2023-01-01,shelter,29.15
2024-01-01,all_items,100.0
2024-01-01,all_items_ex_food_energy,77.26
2024-01-01,all_items_ex_shelter,70.59
2024-01-01,energy,5.83
2024-01-01,food,16.91
2024-01-01,goods,44.45
2024-01-01,goods_ex_food_energy,27.76
2024-01-01,services,55.55
2024-01-01,shelter,29.41
