date,all_items,all_items_ex_food_energy,all_items_ex_shelter,energy,food,goods,goods_ex_food_energy,services,shelter
1986-01-01,100.0,76.12,73.74,6.29,17.59,54.32,35.52,45.69,26.26
1992-01-01,100.0,74.07,72.12,7.94,17.99,50.91,30.4,49.09,27.88
1996-01-01,100.0,73.74,73.25,8.38,17.89,50.28,29.0,49.72,26.75
2001-01-01,100.0,74.27,73.25,8.84,16.89,48.84,28.28,51.16,26.75
2005-01-01,100.0,73.57,73.38,9.38,17.04,48.78,27.51,51.22,26.62
2009-01-01,100.0,73.93,72.51,10.08,15.99,47.8,26.55,52.2,27.49
2011-01-01,100.0,74.85,73.74,8.56,16.6,48.18,28.01,51.82,26.26
2013-01-01,100.0,75.8,73.2,7.79,16.41,46.68,27.27,53.32,26.8
2015-01-01,100.0,76.71,72.85,7.06,16.23,45.32,27.04,54.68,27.15
2017-01-01,100.0,77.01,72.64,6.5,16.48,44.29,26.48,55.71,27.36
2020-01-01,100.0,77.06,69.97,6.7,16.24,48.78,30.33,51.22,30.03
2021-01-01,100.0,76.65,70.2,7.41,15.94,48.88,30.33,51.12,29.8
2022-01-01,100.0,76.57,71.66,6.78,16.65,47.22,29.41,52.78,28.34
2023-01-01,100.0,76.3,70.85,7.01,16.69,45.29,27.57,54.71,29.15
2024-01-01,100.0,77.26,70.59,5.83,16.91,44.45,27.76,55.55,29.41
2025-01-01,100.0,76.4,71.7,6.68,16.93,45.55,28.02,54.45,28.3
