date,pdc_ytd_cad_millions,rev_ytd_cad_millions,ratio_pct,fiscal_year_label,month_of_year
2022-02-28,22319.0,357418.0,6.24450923008914,2021-22,2
2022-03-31,24771.0,396821.0,6.242361165361713,2021-22,3
2022-04-30,5627.0,71662.0,7.852139209064776,2022-23,4
2022-06-30,8069.0,107879.0,7.479676304007267,2022-23,6
2022-07-31,11190.0,143116.0,7.818832275916041,2022-23,7
2022-08-31,14759.0,177197.0,8.32914778466904,2022-23,8
2022-09-30,17277.0,208573.0,8.283430741275238,2022-23,9
2022-10-31,19686.0,243880.0,8.07200262424143,2022-23,10
2022-11-30,22526.0,274712.0,8.199860217245696,2022-23,11
2022-12-31,25844.0,310038.0,8.335752391642314,2022-23,12
2023-01-31,28848.0,348853.0,8.269385672475225,2022-23,1
2023-02-28,31413.0,393397.0,7.985063434647442,2022-23,2
2023-03-31,35173.0,431040.0,8.16003155159614,2022-23,3
2023-04-30,10686.0,110579.0,9.663679360457229,2023-24,4
2023-06-30,10686.0,110579.0,9.663679360457229,2023-24,6
2023-07-31,14539.0,145954.0,9.961357688038696,2023-24,7
2023-08-31,18843.0,179602.0,10.491531274707407,2023-24,8
2023-09-30,23003.0,212121.0,10.844282272853702,2023-24,9
2023-10-31,27184.0,246867.0,11.011597337837784,2023-24,10
2023-11-30,31018.0,281812.0,11.00662853249684,2023-24,11
2023-12-31,35057.0,318070.0,11.021787656805106,2023-24,12
2024-01-31,39196.0,359308.0,10.908746813318936,2023-24,1
2024-02-29,42873.0,405717.0,10.567218036217362,2023-24,2
2024-03-31,47486.0,444765.0,10.676649466572234,2023-24,3
2024-04-30,9248.0,79490.0,11.634167819851552,2024-25,4
2024-06-30,13862.0,120388.0,11.514436654816096,2024-25,6
2024-07-31,18722.0,160836.0,11.640428759730408,2024-25,7
2024-08-31,23196.0,196275.0,11.818112342376768,2024-25,8
2024-10-31,32466.0,273399.0,11.874951993240648,2024-25,10
2024-11-30,36402.0,311289.0,11.693956419918468,2024-25,11
2024-12-31,41123.0,355624.0,11.563617753582434,2024-25,12
2025-01-31,45544.0,398587.0,11.426363629521283,2024-25,1
2025-02-28,49341.0,449834.0,10.96871290298199,2024-25,2
2025-03-31,53654.0,494811.0,10.843332100539396,2024-25,3
2025-04-30,9603.0,79587.0,12.066040936333824,2025-26,4
2025-08-31,23005.0,201176.0,11.435260667276417,2025-26,8
2025-09-30,27580.0,238226.0,11.577241778815074,2025-26,9
2025-10-31,31950.0,279769.0,11.420135897829995,2025-26,10
2025-11-30,36306.0,317245.0,11.44415199609135,2025-26,11
2025-12-31,40856.0,363361.0,11.243914454220455,2025-26,12
2026-01-31,45414.0,404831.0,11.218014430713064,2025-26,1
2026-02-28,49306.0,453246.0,10.878419224880089,2025-26,2
