fiscal_year,balance_cad_bn,gdp_cad_bn,balance_pct_gdp,vintage,source_url
1966-67,-0.485,69.3,-0.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1967-68,-1.042,69.5,-1.5,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1968-69,-0.667,83.4,-0.8,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1969-70,0.14,70.0,0.2,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1970-71,-1.016,92.4,-1.1,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1971-72,-1.786,99.2,-1.8,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1972-73,-1.901,111.8,-1.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1973-74,-2.211,130.1,-1.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1974-75,-2.225,158.9,-1.4,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1975-76,-6.204,177.3,-3.5,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1976-77,-6.897,209.0,-3.3,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1977-78,-10.879,226.6,-4.8,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1978-79,-13.029,250.6,-5.2,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1979-80,-11.967,284.9,-4.2,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1980-81,-14.556,323.5,-4.5,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1981-82,-15.674,364.5,-4.3,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1982-83,-29.049,387.3,-7.5,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1983-84,-32.363,420.3,-7.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1984-85,-37.167,464.6,-8.0,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1985-86,-33.389,498.3,-6.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1986-87,-29.842,523.5,-5.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1987-88,-29.017,569.0,-5.1,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1988-89,-27.947,621.0,-4.5,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1989-90,-29.143,677.7,-4.3,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1990-91,-33.899,691.8,-4.9,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1991-92,-32.319,702.6,-4.6,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1992-93,-39.019,722.6,-5.4,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1993-94,-38.53,741.0,-5.2,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1994-95,-36.632,796.3,-4.6,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1995-96,-30.006,833.5,-3.6,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1996-97,-8.719,871.9,-1.0,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1997-98,2.959,986.3,0.3,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1998-99,5.779,963.2,0.6,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
1999-00,14.258,1018.4,1.4,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2000-01,19.891,1105.1,1.8,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2001-02,8.048,1149.7,0.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2002-03,6.621,1103.5,0.6,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2003-04,9.145,1306.4,0.7,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2004-05,1.463,1463.0,0.1,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2005-06,13.218,1468.7,0.9,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
2006-07,13.752,1528.0,0.9,"FRT 2025 (Department of Finance Canada, October 2025)",https://publications.gc.ca/collections/collection_2025/fin/F1-26-2025-eng.pdf
