fiscal_year,debt_pct_gdp,kind,scenario,vintage,source_url
FY1979-80,28.5,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1980-81,29.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1981-82,35.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1982-83,37.3,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1983-84,42.1,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1984-85,45.6,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1985-86,48.9,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1986-87,49.9,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1987-88,50.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1988-89,51.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1989-90,54.3,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1990-91,58.4,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1991-92,62.5,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1992-93,65.3,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1993-94,66.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1994-95,66.6,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1995-96,65.5,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1996-97,61.7,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1997-98,58.9,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1998-99,53.6,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY1999-00,47.0,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2000-01,44.7,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2001-02,42.3,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2002-03,39.5,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2003-04,37.0,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2004-05,33.9,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2005-06,31.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2006-07,29.0,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2007-08,28.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2008-09,33.4,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2009-10,33.4,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2010-11,33.4,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2011-12,34.0,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2012-13,32.9,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2013-14,31.5,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2014-15,31.9,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2015-16,32.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2016-17,31.4,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2017-18,30.7,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2018-19,31.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2019-20,47.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2020-21,45.0,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2021-22,41.1,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2022-23,42.1,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2023-24,41.2,actual,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2024-25,42.4,projection,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2025-26,43.1,projection,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2026-27,43.3,projection,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2027-28,43.3,projection,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2028-29,43.1,projection,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2029-30,43.2,projection,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2030-31,43.4,projection_long_term,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
FY2054-55,37.2,projection_long_term,baseline,2025-11-04,https://budget.canada.ca/2025/report-rapport/anx1-en.html
