date,value,is_forecast,fy_label
1984-03-31,31.3,0,1983-84
1985-03-31,34.6,0,1984-85
1986-03-31,35.6,0,1985-86
1987-03-31,33.1,0,1986-87
1988-03-31,32.1,0,1987-88
1989-03-31,33.4,0,1988-89
1990-03-31,35.6,0,1989-90
1991-03-31,37.6,0,1990-91
1992-03-31,34.8,0,1991-92
1993-03-31,33.2,0,1992-93
1994-03-31,32.4,0,1993-94
1995-03-31,33.8,0,1994-95
1996-03-31,35.2,0,1995-96
1997-03-31,31.5,0,1996-97
1998-03-31,26.8,0,1997-98
1999-03-31,26.2,0,1998-99
2000-03-31,24.6,0,1999-00
2001-03-31,22.6,0,2000-01
2002-03-31,21.6,0,2001-02
2003-03-31,19.6,0,2002-03
2004-03-31,17.8,0,2003-04
2005-03-31,15.9,0,2004-05
2006-03-31,15.1,0,2005-06
2007-03-31,14.2,0,2006-07
2008-03-31,13.6,0,2007-08
2009-03-31,11.9,0,2008-09
2010-03-31,12.0,0,2009-10
2011-03-31,12.0,0,2010-11
2012-03-31,11.8,0,2011-12
2013-03-31,10.0,0,2012-13
2014-03-31,9.2,0,2013-14
2015-03-31,8.6,0,2014-15
2016-03-31,7.5,0,2015-16
2017-03-31,7.3,0,2016-17
2018-03-31,7.0,0,2017-18
2019-03-31,7.0,0,2018-19
2020-03-31,7.3,0,2019-20
2021-03-31,6.4,0,2020-21
2022-03-31,5.9,0,2021-22
2023-03-31,7.8,0,2022-23
2024-03-31,10.3,0,2023-24
2025-03-31,10.5,0,2024-25
2026-03-31,10.6,1,2025-26
2027-03-31,11.1,1,2026-27
2028-03-31,11.6,1,2027-28
2029-03-31,12.3,1,2028-29
2030-03-31,12.7,1,2029-30
2031-03-31,13.1,1,2030-31
