date,jvws,indeed,jvws_imputed,imputation_source
2015-04-01,3.2,,3.2,observed
2015-05-01,2.9,,2.9,observed
2015-06-01,2.6,,2.6,observed
2015-07-01,2.4,,2.4,observed
2015-08-01,2.4,,2.4,observed
2015-09-01,3.0,,3.0,observed
2015-10-01,2.4,,2.4,observed
2015-11-01,2.4,,2.4,observed
2015-12-01,1.9,,1.9,observed
2016-01-01,2.0,,2.0,observed
2016-02-01,1.9,,1.9,observed
2016-03-01,2.4,,2.4,observed
2016-04-01,2.5,,2.5,observed
2016-05-01,2.6,,2.6,observed
2016-06-01,2.5,,2.5,observed
2016-07-01,2.3,,2.3,observed
2016-08-01,2.6,,2.6,observed
2016-09-01,2.7,,2.7,observed
2016-10-01,2.5,,2.5,observed
2016-11-01,2.4,,2.4,observed
2016-12-01,2.2,,2.2,observed
2017-01-01,2.2,,2.2,observed
2017-02-01,2.3,,2.3,observed
2017-03-01,2.8,,2.8,observed
2017-04-01,3.0,,3.0,observed
2017-05-01,3.0,,3.0,observed
2017-06-01,2.7,,2.7,observed
2017-07-01,2.7,,2.7,observed
2017-08-01,2.8,,2.8,observed
2017-09-01,3.2,,3.2,observed
2017-10-01,3.0,,3.0,observed
2017-11-01,3.0,,3.0,observed
2017-12-01,2.6,,2.6,observed
2018-01-01,2.6,,2.6,observed
2018-02-01,2.8,,2.8,observed
2018-03-01,3.2,,3.2,observed
2018-04-01,3.4,,3.4,observed
2018-05-01,3.4,,3.4,observed
2018-06-01,3.3,,3.3,observed
2018-07-01,3.2,,3.2,observed
2018-08-01,3.2,,3.2,observed
2018-09-01,3.6,,3.6,observed
2018-10-01,3.6,,3.6,observed
2018-11-01,3.3,,3.3,observed
2018-12-01,2.8,,2.8,observed
2019-01-01,2.9,,2.9,observed
2019-02-01,2.9,,2.9,observed
2019-03-01,3.3,,3.3,observed
2019-04-01,3.6,,3.6,observed
2019-05-01,3.5,,3.5,observed
2019-06-01,3.3,,3.3,observed
2019-07-01,3.2,,3.2,observed
2019-08-01,3.3,,3.3,observed
2019-09-01,3.5,,3.5,observed
2019-10-01,3.3,,3.3,observed
2019-11-01,3.0,,3.0,observed
2019-12-01,2.6,,2.6,observed
2020-01-01,3.0,,3.0,observed
2020-02-01,3.0,99.84586206896552,3.0,observed
2020-03-01,3.2,92.16290322580646,3.2,observed
2020-04-01,,57.608,1.5939230571474794,imputed_ols_levels
2020-05-01,,53.82903225806452,1.4550333037795427,imputed_ols_levels
2020-06-01,,60.83766666666667,1.7126241515802776,imputed_ols_levels
2020-07-01,,67.88806451612903,1.971749946064072,imputed_ols_levels
2020-08-01,,72.59870967741935,2.144881972938793,imputed_ols_levels
2020-09-01,,76.76133333333334,2.2978723693684073,imputed_ols_levels
2020-10-01,3.9,82.59677419354838,3.9,observed
2020-11-01,3.5,87.71000000000001,3.5,observed
2020-12-01,3.0,92.06032258064516,3.0,observed
2021-01-01,3.1,94.6125806451613,3.1,observed
2021-02-01,3.5,98.43785714285715,3.5,observed
2021-03-01,4.1,108.9258064516129,4.1,observed
2021-04-01,4.4,116.507,4.4,observed
2021-05-01,4.4,119.22516129032256,4.4,observed
2021-06-01,4.9,127.74666666666668,4.9,observed
2021-07-01,5.0,135.01645161290324,5.0,observed
2021-08-01,5.5,142.5748387096774,5.5,observed
2021-09-01,5.9,145.68666666666667,5.9,observed
2021-10-01,5.6,149.21580645161288,5.6,observed
2021-11-01,5.2,153.176,5.2,observed
2021-12-01,5.1,151.69612903225806,5.1,observed
2022-01-01,4.9,149.72,4.9,observed
2022-02-01,5.0,158.1682142857143,5.0,observed
2022-03-01,5.7,163.78419354838712,5.7,observed
2022-04-01,6.0,168.30166666666668,6.0,observed
2022-05-01,5.9,173.9716129032258,5.9,observed
2022-06-01,5.8,170.64766666666668,5.8,observed
2022-07-01,5.5,164.94806451612905,5.5,observed
2022-08-01,5.5,161.81645161290325,5.5,observed
2022-09-01,5.6,159.96733333333336,5.6,observed
2022-10-01,5.2,160.01903225806453,5.2,observed
2022-11-01,4.8,159.12733333333333,4.8,observed
2022-12-01,4.2,155.5532258064516,4.2,observed
2023-01-01,4.4,153.00774193548386,4.4,observed
2023-02-01,4.3,146.68357142857144,4.3,observed
2023-03-01,4.5,141.7606451612903,4.5,observed
2023-04-01,4.8,138.53033333333332,4.8,observed
2023-05-01,4.6,137.04032258064515,4.6,observed
2023-06-01,4.3,132.35433333333333,4.3,observed
2023-07-01,4.1,127.45870967741936,4.1,observed
2023-08-01,4.1,123.65290322580644,4.1,observed
2023-09-01,3.9,120.49833333333332,3.9,observed
2023-10-01,3.9,117.50741935483872,3.9,observed
2023-11-01,3.6,113.64933333333332,3.6,observed
2023-12-01,3.0,110.44096774193548,3.0,observed
2024-01-01,3.3,111.24838709677418,3.3,observed
2024-02-01,3.4,108.76689655172412,3.4,observed
2024-03-01,3.4,108.04967741935484,3.4,observed
2024-04-01,3.6,107.68933333333332,3.6,observed
2024-05-01,3.5,104.49225806451612,3.5,observed
2024-06-01,3.3,101.199,3.3,observed
2024-07-01,3.1,96.52709677419357,3.1,observed
2024-08-01,3.2,94.29451612903226,3.2,observed
2024-09-01,3.2,91.57433333333331,3.2,observed
2024-10-01,3.1,93.29548387096774,3.1,observed
2024-11-01,2.9,98.37733333333334,2.9,observed
2024-12-01,2.5,101.60580645161288,2.5,observed
2025-01-01,2.6,104.5141935483871,2.6,observed
2025-02-01,2.7,102.71428571428572,2.7,observed
2025-03-01,2.9,99.95483870967742,2.9,observed
2025-04-01,3.2,99.25466666666668,3.2,observed
2025-05-01,3.1,100.8158064516129,3.1,observed
2025-06-01,2.9,100.46233333333332,2.9,observed
2025-07-01,2.8,99.70032258064516,2.8,observed
2025-08-01,2.8,98.80935483870968,2.8,observed
2025-09-01,2.9,97.42433333333334,2.9,observed
2025-10-01,2.8,99.90032258064517,2.8,observed
2025-11-01,2.6,102.06033333333332,2.6,observed
2025-12-01,2.4,102.73129032258063,2.4,observed
2026-01-01,2.5,104.38129032258064,2.5,observed
2026-02-01,2.6,106.88285714285712,2.6,observed
2026-03-01,,103.03935483870968,,missing
2026-04-01,,98.28166666666668,,missing
2026-05-01,,98.81,,missing
