subsector,level_dec2019_trillions_c2017,level_latest_trillions_c2017,indexed_dec2019_100_latest,yoy_pct_latest,trough_indexed,trough_date,contribution_pp_to_mfg_chg,weight_dec2019_pct
Paper manufacturing,32343.0,26152.0,80.85830009584764,-4.450127877237852,38.00822434529883,2020-04-01,-2.922102441142598,15.265637094794874
Fabricated metal product manufacturing,8044.0,5926.0,73.66981601193436,-4.8643441965002365,71.69318746892094,2025-11-01,-0.9996790454433894,3.79670360790681
Machinery manufacturing,4434.0,2472.0,55.751014884979696,-2.7537372147915073,52.277852954442935,2025-12-01,-0.92604829422093,2.0928125058999
Food manufacturing,16149.0,14641.0,90.66196049290977,-0.06825472663981591,68.34478915103102,2020-04-01,-0.7117639284837729,7.6221987275095815
Plastics and rubber products manufacturing,7277.0,5812.0,79.86807750446613,-4.658792650918631,78.64504603545417,2025-08-01,-0.6914682726980951,3.434685747729718
Primary metal manufacturing,11126.0,9684.0,87.03936724788784,-14.300884955752213,75.12133740787344,2020-04-01,-0.6806124568127325,5.251382936545396
"Electrical equipment, appliance and component manufacturing",22766.0,21375.0,93.8900114205394,-6.90736466181786,92.04076254063077,2020-04-01,-0.6565408650669285,10.745369758528895
Miscellaneous manufacturing,12601.0,11577.0,91.8736608205698,-6.007956482909805,78.02555352749782,2020-04-01,-0.4833198028961429,5.947571129193649
Wood product manufacturing,4263.0,3310.0,77.64485104386583,6.225930680359437,66.66666666666666,2022-09-01,-0.4498083712500236,2.0121018747522044
Printing and related support activities,5003.0,4408.0,88.10713571856887,-10.132517838939858,60.023985608634824,2020-04-01,-0.2808352370343799,2.36137595106387
Non-metallic mineral product manufacturing,2497.0,2043.0,81.81818181818183,3.129732458354373,64.79775730877051,2020-04-01,-0.2142843657371571,1.178564011554364
Furniture and related product manufacturing,6834.0,6457.0,94.48346502780215,4.34712346477053,71.87591454492245,2020-04-01,-0.17794098212094323,3.225593293937735
Computer and electronic product manufacturing,13824.0,13651.0,98.74855324074075,-1.7206623470122362,73.72685185185185,2020-04-01,-0.08165461513772726,6.524817339097928
Petroleum and coal product manufacturing,5177.0,5091.0,98.33880625845084,5.73208722741434,59.64844504539308,2020-04-01,-0.040591311571355745,2.443502558196613
Transportation equipment manufacturing,9198.0,9151.0,99.48901935203305,6.369870975241199,70.45009784735812,2020-04-01,-0.022183623765740932,4.341382370155002
"Textile, clothing and leather product manufacturing",6713.0,7276.0,108.38671234917325,-0.3424188467333278,93.43065693430657,2020-01-01,0.26573149319387546,3.1684822625408273
Chemical manufacturing,28191.0,30292.0,107.45273314178283,-1.6429638288200543,88.33315597176404,2020-04-01,0.9916551815281214,13.305926331489419
Beverage and tobacco product manufacturing,15783.0,19593.0,124.13989735791675,-1.28973751826289,69.56852309446873,2020-05-01,1.7982895010100628,7.449449657333812
