date,value,band_lo,band_hi,quarter,shadow_rate,output_gap,core_cpi_tp4,gdp_growth_qq_ann,potential_growth
2026-04-01,2.25,2.25,2.25,2026Q2,2.25,-0.85,2.1,1.5,1.2
2026-07-01,2.3438,2.2567,2.4307,2026Q3,2.3438,-0.625,2.15,2.1,1.2
2026-10-01,2.4718,2.3049,2.6388,2026Q4,2.4718,-0.4,2.2,2.1,1.2
2027-01-01,2.629,2.3881,2.8699,2027Q1,2.629,-0.375,2.15,1.4,1.3
2027-04-01,2.7293,2.418,3.0406,2027Q2,2.7293,-0.35,2.1,1.4,1.3
2027-07-01,2.7812,2.4026,3.1597,2027Q3,2.7812,-0.325,2.05,1.4,1.3
2027-10-01,2.7919,2.3486,3.2352,2027Q4,2.7919,-0.3,2.0,1.4,1.3
2028-01-01,2.7676,2.2618,3.2734,2028Q1,2.7676,-0.2,2.0,1.9,1.5
2028-04-01,2.7529,2.1865,3.3194,2028Q2,2.7529,-0.1,2.0,1.9,1.5
2028-07-01,2.7465,2.121,3.372,2028Q3,2.7465,-0.0,2.0,1.9,1.5
2028-10-01,2.747,2.0639,3.4302,2028Q4,2.747,0.1,2.0,1.9,1.5
