date,value
1981-01-01,-3685.0
1981-04-01,-4256.0
1981-07-01,-4354.0
1981-10-01,-3105.0
1982-01-01,-427.0
1982-04-01,376.0
1982-07-01,1599.0
1982-10-01,336.0
1983-01-01,-469.0
1983-04-01,93.0
1983-07-01,-1300.0
1983-10-01,-1855.0
1984-01-01,-1410.0
1984-04-01,-803.0
1984-07-01,-399.0
1984-10-01,503.0
1985-01-01,-488.0
1985-04-01,-1981.0
1985-07-01,-3007.0
1985-10-01,-2819.0
1986-01-01,-4137.0
1986-04-01,-3844.0
1986-07-01,-4301.0
1986-10-01,-3833.0
1987-01-01,-3510.0
1987-04-01,-4025.0
1987-07-01,-4602.0
1987-10-01,-6370.0
1988-01-01,-4805.0
1988-04-01,-4145.0
1988-07-01,-5768.0
1988-10-01,-4469.0
1989-01-01,-5213.0
1989-04-01,-7351.0
1989-07-01,-6724.0
1989-10-01,-7278.0
1990-01-01,-7402.0
1990-04-01,-5403.0
1990-07-01,-5093.0
1990-10-01,-5972.0
1991-01-01,-6445.0
1991-04-01,-6067.0
1991-07-01,-7137.0
1991-10-01,-6524.0
1992-01-01,-7265.0
1992-04-01,-6608.0
1992-07-01,-6901.0
1992-10-01,-5143.0
1993-01-01,-6063.0
1993-04-01,-6832.0
1993-07-01,-7759.0
1993-10-01,-8013.0
1994-01-01,-5351.0
1994-04-01,-6394.0
1994-07-01,-3570.0
1994-10-01,-3500.0
1995-01-01,-1707.0
1995-04-01,-4350.0
1995-07-01,-1833.0
1995-10-01,1046.0
1996-01-01,22.0
1996-04-01,2565.0
1996-07-01,1011.0
1996-10-01,-28.0
1997-01-01,-728.0
1997-04-01,-2314.0
1997-07-01,-5584.0
1997-10-01,-3503.0
1998-01-01,-3901.0
1998-04-01,-3742.0
1998-07-01,-2698.0
1998-10-01,-2246.0
1999-01-01,-358.0
1999-04-01,-627.0
1999-07-01,1848.0
1999-10-01,937.0
2000-01-01,5581.0
2000-04-01,6171.0
2000-07-01,7720.0
2000-10-01,8734.0
2001-01-01,10680.0
2001-04-01,7332.0
2001-07-01,4101.0
2001-10-01,3212.0
2002-01-01,7087.0
2002-04-01,5524.0
2002-07-01,4226.0
2002-10-01,3876.0
2003-01-01,3644.0
2003-04-01,947.0
2003-07-01,5218.0
2003-10-01,5636.0
2004-01-01,6825.0
2004-04-01,9024.0
2004-07-01,7909.0
2004-10-01,7567.0
2005-01-01,3115.0
2005-04-01,3879.0
2005-07-01,7913.0
2005-10-01,12491.0
2006-01-01,6827.0
2006-04-01,4529.0
2006-07-01,4934.0
2006-10-01,5336.0
2007-01-01,3970.0
2007-04-01,5906.0
2007-07-01,1222.0
2007-10-01,1892.0
2008-01-01,3691.0
2008-04-01,5570.0
2008-07-01,4074.0
2008-10-01,-10894.0
2009-01-01,-10664.0
2009-04-01,-10940.0
2009-07-01,-13018.0
2009-10-01,-11090.0
2010-01-01,-13318.0
2010-04-01,-14503.0
2010-07-01,-20034.0
2010-10-01,-11496.0
2011-01-01,-13405.0
2011-04-01,-13715.0
2011-07-01,-9923.0
2011-10-01,-11068.0
2012-01-01,-13186.0
2012-04-01,-17328.0
2012-07-01,-17287.0
2012-10-01,-16776.0
2013-01-01,-15119.0
2013-04-01,-15598.0
2013-07-01,-14062.0
2013-10-01,-14979.0
2014-01-01,-11805.0
2014-04-01,-10216.0
2014-07-01,-9549.0
2014-10-01,-14709.0
2015-01-01,-19320.0
2015-04-01,-16654.0
2015-07-01,-15684.0
2015-10-01,-17913.0
2016-01-01,-18642.0
2016-04-01,-17806.0
2016-07-01,-16412.0
2016-10-01,-9694.0
2017-01-01,-12575.0
2017-04-01,-14958.0
2017-07-01,-16827.0
2017-10-01,-15636.0
2018-01-01,-15055.0
2018-04-01,-12567.0
2018-07-01,-9192.0
2018-10-01,-16327.0
2019-01-01,-17476.0
2019-04-01,-6523.0
2019-07-01,-12647.0
2019-10-01,-8536.0
2020-01-01,-17821.0
2020-04-01,-7080.0
2020-07-01,-12375.0
2020-10-01,-7512.0
2021-01-01,-1731.0
2021-04-01,-625.0
2021-07-01,2286.0
2021-10-01,-418.0
2022-01-01,2433.0
2022-04-01,3453.0
2022-07-01,-8552.0
2022-10-01,-10457.0
2023-01-01,-6628.0
2023-04-01,-5693.0
2023-07-01,-5986.0
2023-10-01,-2123.0
2024-01-01,-5839.0
2024-04-01,-3710.0
2024-07-01,-4628.0
2024-10-01,-798.0
2025-01-01,-3394.0
2025-04-01,-21034.0
2025-07-01,-5273.0
2025-10-01,-706.0
