date,value
1997-01-01,0.0
1997-02-01,0.015
1997-03-01,0.046
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.037
1997-10-01,0.003
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.138
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.066
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.051
2001-04-01,0.023
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.146
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.101
2002-06-01,0.0
2002-07-01,0.115
2002-08-01,0.067
2002-09-01,0.031
2002-10-01,0.062
2002-11-01,0.068
2002-12-01,0.047
2003-01-01,0.073
2003-02-01,0.3
2003-03-01,0.109
2003-04-01,0.202
2003-05-01,0.018
2003-06-01,0.353
2003-07-01,0.115
2003-08-01,0.32699999999999996
2003-09-01,0.42500000000000004
2003-10-01,0.401
2003-11-01,0.611
2003-12-01,0.194
2004-01-01,0.474
2004-02-01,0.8780000000000001
2004-03-01,1.0
2004-04-01,1.085
2004-05-01,1.351
2004-06-01,0.733
2004-07-01,1.365
2004-08-01,0.571
2004-09-01,2.346
2004-10-01,2.972
2004-11-01,1.746
2004-12-01,3.0490000000000004
2005-01-01,0.518
2005-02-01,2.81
2005-03-01,0.961
2005-04-01,2.016
2005-05-01,2.2800000000000002
2005-06-01,1.066
2005-07-01,0.389
2005-08-01,1.999
2005-09-01,2.14
2005-10-01,1.343
2005-11-01,2.714
2005-12-01,1.01
2006-01-01,1.972
2006-02-01,0.8500000000000001
2006-03-01,2.371
2006-04-01,0.99
2006-05-01,1.8239999999999998
2006-06-01,1.7040000000000002
2006-07-01,1.2770000000000001
2006-08-01,1.096
2006-09-01,1.2730000000000001
2006-10-01,1.311
2006-11-01,1.452
2006-12-01,1.441
2007-01-01,1.369
2007-02-01,1.028
2007-03-01,3.899
2007-04-01,1.812
2007-05-01,0.751
2007-06-01,1.798
2007-07-01,1.756
2007-08-01,2.66
2007-09-01,1.591
2007-10-01,1.109
2007-11-01,4.037
2007-12-01,1.631
2008-01-01,0.9590000000000001
2008-02-01,0.8069999999999999
2008-03-01,3.424
2008-04-01,3.063
2008-05-01,2.885
2008-06-01,1.923
2008-07-01,0.606
2008-08-01,1.932
2008-09-01,4.064
2008-10-01,3.455
2008-11-01,1.991
2008-12-01,4.253
2009-01-01,16.776
2009-02-01,1.599
2009-03-01,1.05
2009-04-01,1.125
2009-05-01,1.449
2009-06-01,1.214
2009-07-01,1.064
2009-08-01,1.1500000000000001
2009-09-01,1.5339999999999998
2009-10-01,1.35
2009-11-01,1.838
2009-12-01,2.05
2010-01-01,2.14
2010-02-01,2.29
2010-03-01,1.946
2010-04-01,2.118
2010-05-01,1.7349999999999999
2010-06-01,2.107
2010-07-01,10.512
2010-08-01,1.196
2010-09-01,2.3040000000000003
2010-10-01,2.075
2010-11-01,2.808
2010-12-01,3.5869999999999997
2011-01-01,2.215
2011-02-01,2.2430000000000003
2011-03-01,1.479
2011-04-01,2.827
2011-05-01,3.858
2011-06-01,5.532
2011-07-01,2.5829999999999997
2011-08-01,2.018
2011-09-01,1.1280000000000001
2011-10-01,2.141
2011-11-01,1.312
2011-12-01,1.306
2012-01-01,0.775
2012-02-01,1.379
2012-03-01,1.98
2012-04-01,1.812
2012-05-01,1.764
2012-06-01,1.7550000000000001
2012-07-01,0.96
2012-08-01,1.781
2012-09-01,0.982
2012-10-01,1.103
2012-11-01,1.356
2012-12-01,1.119
2013-01-01,0.957
2013-02-01,0.864
2013-03-01,0.936
2013-04-01,1.0999999999999999
2013-05-01,1.6480000000000001
2013-06-01,0.9540000000000001
2013-07-01,1.151
2013-08-01,2.02
2013-09-01,1.099
2013-10-01,1.296
2013-11-01,1.411
2013-12-01,1.764
