date,value
1997-01-01,0.089
1997-02-01,0.147
1997-03-01,0.07
1997-04-01,0.053
1997-05-01,0.083
1997-06-01,0.168
1997-07-01,0.101
1997-08-01,0.0
1997-09-01,0.072
1997-10-01,0.068
1997-11-01,0.018
1997-12-01,0.191
1998-01-01,0.0
1998-02-01,0.11199999999999999
1998-03-01,0.015
1998-04-01,0.088
1998-05-01,0.151
1998-06-01,0.254
1998-07-01,0.122
1998-08-01,0.078
1998-09-01,0.131
1998-10-01,0.5670000000000001
1998-11-01,0.135
1998-12-01,0.255
1999-01-01,0.002
1999-02-01,0.179
1999-03-01,0.0
1999-04-01,0.092
1999-05-01,0.061
1999-06-01,0.001
1999-07-01,0.115
1999-08-01,0.067
1999-09-01,0.363
1999-10-01,0.079
1999-11-01,0.26
1999-12-01,0.134
2000-01-01,0.222
2000-02-01,0.185
2000-03-01,0.238
2000-04-01,0.121
2000-05-01,0.242
2000-06-01,0.091
2000-07-01,0.121
2000-08-01,0.004
2000-09-01,0.11
2000-10-01,0.01
2000-11-01,0.04
2000-12-01,0.039
2001-01-01,0.003
2001-02-01,0.004
2001-03-01,0.178
2001-04-01,0.019
2001-05-01,0.002
2001-06-01,0.063
2001-07-01,0.029
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.065
2001-11-01,0.039
2001-12-01,0.003
2002-01-01,0.07
2002-02-01,0.022
2002-03-01,22.921000000000003
2002-04-01,26.87
2002-05-01,33.399
2002-06-01,0.006
2002-07-01,0.024
2002-08-01,0.142
2002-09-01,0.283
2002-10-01,0.044
2002-11-01,0.04
2002-12-01,0.028
2003-01-01,0.061
2003-02-01,0.149
2003-03-01,0.056
2003-04-01,5.863
2003-05-01,2.02
2003-06-01,1.896
2003-07-01,3.885
2003-08-01,1.601
2003-09-01,1.859
2003-10-01,2.114
2003-11-01,2.05
2003-12-01,1.958
2004-01-01,2.083
2004-02-01,2.169
2004-03-01,1.9949999999999999
2004-04-01,2.18
2004-05-01,2.081
2004-06-01,0.042
2004-07-01,0.234
2004-08-01,0.12
2004-09-01,0.14
2004-10-01,0.044
2004-11-01,0.087
2004-12-01,0.35
2005-01-01,0.301
2005-02-01,0.151
2005-03-01,0.023
2005-04-01,0.146
2005-05-01,0.205
2005-06-01,0.218
2005-07-01,2.34
2005-08-01,2.158
2005-09-01,2.4619999999999997
2005-10-01,2.357
2005-11-01,2.375
2005-12-01,0.167
2006-01-01,0.191
2006-02-01,0.066
2006-03-01,0.307
2006-04-01,0.308
2006-05-01,0.197
2006-06-01,0.316
2006-07-01,0.419
2006-08-01,0.519
2006-09-01,0.142
2006-10-01,0.234
2006-11-01,0.187
2006-12-01,0.473
2007-01-01,0.585
2007-02-01,0.291
2007-03-01,1.611
2007-04-01,0.366
2007-05-01,0.403
2007-06-01,0.6260000000000001
2007-07-01,0.48
2007-08-01,0.204
2007-09-01,15.827
2007-10-01,0.175
2007-11-01,0.375
2007-12-01,0.536
2008-01-01,0.444
2008-02-01,0.221
2008-03-01,1.74
2008-04-01,0.333
2008-05-01,0.583
2008-06-01,0.7130000000000001
2008-07-01,0.758
2008-08-01,0.947
2008-09-01,0.858
2008-10-01,0.62
2008-11-01,0.512
2008-12-01,0.55
2009-01-01,0.282
2009-02-01,0.33599999999999997
2009-03-01,0.201
2009-04-01,0.424
2009-05-01,0.116
2009-06-01,0.084
2009-07-01,0.6140000000000001
2009-08-01,0.381
2009-09-01,0.455
2009-10-01,0.339
2009-11-01,0.587
2009-12-01,0.379
2010-01-01,0.814
2010-02-01,0.511
2010-03-01,0.52
2010-04-01,0.466
2010-05-01,0.521
2010-06-01,0.561
2010-07-01,0.304
2010-08-01,0.643
2010-09-01,0.516
2010-10-01,0.463
2010-11-01,0.66
2010-12-01,0.592
2011-01-01,0.375
2011-02-01,0.304
2011-03-01,0.575
2011-04-01,0.334
2011-05-01,0.793
2011-06-01,0.741
2011-07-01,1.6949999999999998
2011-08-01,0.609
2011-09-01,0.442
2011-10-01,0.419
2011-11-01,0.487
2011-12-01,0.405
2012-01-01,0.403
2012-02-01,0.527
2012-03-01,0.521
2012-04-01,0.288
2012-05-01,0.278
2012-06-01,0.147
2012-07-01,0.372
2012-08-01,0.31
2012-09-01,0.144
2012-10-01,0.318
2012-11-01,0.276
2012-12-01,0.205
2013-01-01,0.218
2013-02-01,0.272
2013-03-01,0.188
2013-04-01,0.152
2013-05-01,0.276
2013-06-01,0.223
2013-07-01,0.174
2013-08-01,0.188
2013-09-01,0.217
2013-10-01,0.384
2013-11-01,0.197
2013-12-01,0.643
2014-01-01,0.172
2014-02-01,0.259
2014-03-01,0.237
2014-04-01,0.311
2014-05-01,0.205
2014-06-01,0.188
2014-07-01,0.211
2014-08-01,0.194
2014-09-01,0.226
2014-10-01,0.152
2014-11-01,0.156
2014-12-01,0.19
2015-01-01,0.334
2015-02-01,0.086
2015-03-01,0.233
2015-04-01,0.258
2015-05-01,0.367
2015-06-01,0.458
2015-07-01,0.133
2015-08-01,0.313
2015-09-01,0.33999999999999997
2015-10-01,0.31
2015-11-01,0.254
2015-12-01,0.366
2016-01-01,0.249
2016-02-01,0.216
2016-03-01,0.211
2016-04-01,0.33799999999999997
2016-05-01,0.403
2016-06-01,0.25
2016-07-01,0.283
2016-08-01,0.2
2016-09-01,0.246
2016-10-01,0.325
2016-11-01,0.297
2016-12-01,0.363
2017-01-01,0.148
2017-02-01,0.328
2017-03-01,0.433
2017-04-01,0.402
2017-05-01,0.418
2017-06-01,0.295
2017-07-01,0.324
2017-08-01,0.177
