date,value
1997-01-01,0.005
1997-02-01,0.111
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.125
1997-06-01,0.004
1997-07-01,0.003
1997-08-01,0.115
1997-09-01,0.0
1997-10-01,0.136
1997-11-01,0.004
1997-12-01,0.22
1998-01-01,0.029
1998-02-01,0.051
1998-03-01,0.06
1998-04-01,0.176
1998-05-01,0.041
1998-06-01,0.183
1998-07-01,0.006
1998-08-01,0.22999999999999998
1998-09-01,0.20099999999999998
1998-10-01,0.018
1998-11-01,0.11900000000000001
1998-12-01,0.099
1999-01-01,0.167
1999-02-01,0.045
1999-03-01,6.2459999999999996
1999-04-01,0.002
1999-05-01,0.023
1999-06-01,0.201
1999-07-01,0.059
1999-08-01,6.192
1999-09-01,0.039
1999-10-01,0.0
1999-11-01,0.012
1999-12-01,0.016
2000-01-01,12.615
2000-02-01,0.002
2000-03-01,7.815
2000-04-01,0.023
2000-05-01,0.0
2000-06-01,0.032
2000-07-01,8.688
2000-08-01,0.001
2000-09-01,0.006
2000-10-01,5.8100000000000005
2000-11-01,0.073
2000-12-01,9.446000000000002
2001-01-01,0.074
2001-02-01,10.244
2001-03-01,0.012
2001-04-01,10.309000000000001
2001-05-01,0.0
2001-06-01,0.04
2001-07-01,8.482000000000001
2001-08-01,8.198
2001-09-01,0.0
2001-10-01,0.039
2001-11-01,0.056
2001-12-01,14.918000000000001
2002-01-01,0.383
2002-02-01,9.274000000000001
2002-03-01,0.069
2002-04-01,0.477
2002-05-01,13.503
2002-06-01,0.498
2002-07-01,0.022
2002-08-01,10.82
2002-09-01,0.04
2002-10-01,0.334
2002-11-01,12.235999999999999
2002-12-01,0.045
2003-01-01,0.113
2003-02-01,0.098
2003-03-01,10.540000000000001
2003-04-01,0.11399999999999999
2003-05-01,0.10400000000000001
2003-06-01,8.2
2003-07-01,0.097
2003-08-01,0.133
2003-09-01,4.452999999999999
2003-10-01,0.112
2003-11-01,0.004
2003-12-01,9.729
2004-01-01,0.055
2004-02-01,0.235
2004-03-01,0.051
2004-04-01,0.124
2004-05-01,0.0
2004-06-01,0.07400000000000001
2004-07-01,0.002
2004-08-01,0.007
2004-09-01,0.14400000000000002
2004-10-01,0.002
2004-11-01,0.004
2004-12-01,0.127
2005-01-01,0.07200000000000001
2005-02-01,0.15100000000000002
2005-03-01,0.018
2005-04-01,0.47
2005-05-01,0.202
2005-06-01,0.034
2005-07-01,0.002
2005-08-01,0.014
2005-09-01,8.042000000000002
2005-10-01,0.19099999999999998
2005-11-01,0.062
2005-12-01,0.29000000000000004
2006-01-01,0.067
2006-02-01,0.281
2006-03-01,0.47700000000000004
2006-04-01,1.3270000000000002
2006-05-01,0.358
2006-06-01,0.0
2006-07-01,2.6
2006-08-01,1.57
2006-09-01,0.759
2006-10-01,0.735
2006-11-01,0.8350000000000001
2006-12-01,0.069
2007-01-01,4.57
2007-02-01,13.788
2007-03-01,4.449
2007-04-01,0.619
2007-05-01,6.09
2007-06-01,7.822000000000001
2007-07-01,4.494
2007-08-01,9.72
2007-09-01,1.115
2007-10-01,0.71
2007-11-01,1.1360000000000001
2007-12-01,1.987
2008-01-01,0.89
2008-02-01,1.509
2008-03-01,1.165
2008-04-01,5.835
2008-05-01,1.369
2008-06-01,3.33
2008-07-01,13.238999999999999
2008-08-01,0.913
2008-09-01,7.957
2008-10-01,0.655
2008-11-01,6.033
2008-12-01,0.344
2009-01-01,0.118
2009-02-01,0.388
2009-03-01,1.223
2009-04-01,0.676
2009-05-01,1.7
2009-06-01,1.874
2009-07-01,0.9910000000000001
2009-08-01,0.128
2009-09-01,0.224
2009-10-01,0.239
2009-11-01,2.836
2009-12-01,0.764
2010-01-01,0.278
2010-02-01,1.2389999999999999
2010-03-01,2.963
2010-04-01,1.883
2010-05-01,5.894
2010-06-01,5.269
2010-07-01,1.322
2010-08-01,3.347
2010-09-01,5.007000000000001
2010-10-01,8.74
2010-11-01,0.991
2010-12-01,12.59
2011-01-01,2.177
2011-02-01,0.9770000000000001
2011-03-01,5.404000000000001
2011-04-01,4.9110000000000005
2011-05-01,8.587000000000002
2011-06-01,4.678
2011-07-01,4.371
2011-08-01,17.197000000000003
2011-09-01,10.924999999999999
2011-10-01,2.861
2011-11-01,7.693
2011-12-01,2.584
2012-01-01,5.492
2012-02-01,5.815
2012-03-01,5.006
2012-04-01,2.988
2012-05-01,6.776000000000001
2012-06-01,5.276
2012-07-01,3.244
2012-08-01,5.02
2012-09-01,4.174
2012-10-01,0.686
2012-11-01,1.079
2012-12-01,1.154
2013-01-01,1.58
2013-02-01,4.348000000000001
2013-03-01,2.852
2013-04-01,3.856
2013-05-01,2.056
2013-06-01,2.277
2013-07-01,3.061
2013-08-01,3.2230000000000003
2013-09-01,3.488
2013-10-01,1.403
2013-11-01,1.538
2013-12-01,1.9969999999999999
2014-01-01,1.9
2014-02-01,4.071
2014-03-01,3.562
2014-04-01,2.514
2014-05-01,4.457
2014-06-01,4.977
2014-07-01,3.6390000000000002
2014-08-01,3.6850000000000005
2014-09-01,4.486
2014-10-01,3.446
2014-11-01,2.034
2014-12-01,5.119000000000001
2015-01-01,2.884
2015-02-01,4.806
2015-03-01,1.46
2015-04-01,3.6790000000000003
2015-05-01,3.789
2015-06-01,1.5910000000000002
2015-07-01,3.4619999999999997
2015-08-01,4.128
2015-09-01,5.598
2015-10-01,2.451
2015-11-01,1.393
