date,value
1997-01-01,16.650000000000002
1997-02-01,9.491999999999999
1997-03-01,4.363
1997-04-01,1.139
1997-05-01,1.1139999999999999
1997-06-01,1.0739999999999998
1997-07-01,3.845
1997-08-01,1.597
1997-09-01,0.635
1997-10-01,6.978000000000001
1997-11-01,1.186
1997-12-01,0.9500000000000001
1998-01-01,1.131
1998-02-01,14.732999999999999
1998-03-01,7.415
1998-04-01,1.4400000000000002
1998-05-01,8.213999999999999
1998-06-01,0.702
1998-07-01,6.605
1998-08-01,1.366
1998-09-01,0.6519999999999999
1998-10-01,1.009
1998-11-01,0.666
1998-12-01,1.226
1999-01-01,0.438
1999-02-01,9.347
1999-03-01,0.9430000000000001
1999-04-01,0.9610000000000001
1999-05-01,0.44100000000000006
1999-06-01,0.584
1999-07-01,0.406
1999-08-01,2.7350000000000003
1999-09-01,1.241
1999-10-01,6.391
1999-11-01,0.933
1999-12-01,0.627
2000-01-01,5.957
2000-02-01,0.935
2000-03-01,1.997
2000-04-01,7.941000000000001
2000-05-01,0.5
2000-06-01,1.822
2000-07-01,1.4500000000000002
2000-08-01,0.907
2000-09-01,1.003
2000-10-01,1.706
2000-11-01,1.276
2000-12-01,1.62
2001-01-01,1.7590000000000001
2001-02-01,1.503
2001-03-01,1.766
2001-04-01,1.206
2001-05-01,1.7730000000000001
2001-06-01,1.4189999999999998
2001-07-01,1.565
2001-08-01,1.789
2001-09-01,1.3459999999999999
2001-10-01,1.501
2001-11-01,0.9550000000000001
2001-12-01,5.5680000000000005
2002-01-01,1.924
2002-02-01,8.071
2002-03-01,11.225
2002-04-01,1.9029999999999998
2002-05-01,1.5119999999999998
2002-06-01,0.982
2002-07-01,1.647
2002-08-01,1.457
2002-09-01,1.12
2002-10-01,1.595
2002-11-01,1.242
2002-12-01,0.288
2003-01-01,0.977
2003-02-01,1.687
2003-03-01,1.074
2003-04-01,3.1470000000000002
2003-05-01,1.415
2003-06-01,27.576999999999998
2003-07-01,59.461999999999996
2003-08-01,0.941
2003-09-01,0.577
2003-10-01,29.058
2003-11-01,1.0050000000000001
2003-12-01,0.786
2004-01-01,1.464
2004-02-01,1.633
2004-03-01,1.016
2004-04-01,1.855
2004-05-01,0.383
2004-06-01,1.059
2004-07-01,1.476
2004-08-01,1.307
2004-09-01,1.188
2004-10-01,0.958
2004-11-01,0.9410000000000001
