date,value
1997-01-01,0.019
1997-02-01,0.0
1997-03-01,0.034
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.004
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.06
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.011
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.036
2002-12-01,0.0
2003-01-01,0.026
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.001
2004-03-01,0.0
2004-04-01,0.007
2004-05-01,0.001
2004-06-01,0.0
2004-07-01,0.004
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.095
2005-01-01,0.001
2005-02-01,0.0
2005-03-01,0.029
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.049
2005-07-01,0.003
2005-08-01,0.06
2005-09-01,0.069
2005-10-01,0.012
2005-11-01,0.14
2005-12-01,0.008
2006-01-01,0.204
2006-02-01,0.154
2006-03-01,0.136
2006-04-01,0.137
2006-05-01,0.073
2006-06-01,0.21199999999999997
2006-07-01,0.196
2006-08-01,0.056
2006-09-01,0.069
2006-10-01,0.021
2006-11-01,0.09
2006-12-01,0.089
2007-01-01,0.228
2007-02-01,0.279
2007-03-01,0.482
2007-04-01,0.052
2007-05-01,0.014
2007-06-01,0.054
2007-07-01,0.017
2007-08-01,0.013
2007-09-01,0.016
2007-10-01,0.008
2007-11-01,0.088
2007-12-01,0.118
2008-01-01,0.07100000000000001
2008-02-01,0.022
2008-03-01,0.275
2008-04-01,0.223
2008-05-01,0.14800000000000002
2008-06-01,0.513
