date,value
1997-01-01,42.91
1997-02-01,23.671
1997-03-01,30.024
1997-04-01,31.422
1997-05-01,28.876
1997-06-01,25.974
1997-07-01,29.476
1997-08-01,18.011
1997-09-01,44.054
1997-10-01,27.340999999999998
1997-11-01,27.501
1997-12-01,26.113
1998-01-01,33.626
1998-02-01,28.606
1998-03-01,30.657
1998-04-01,24.355
1998-05-01,26.78
1998-06-01,25.888
1998-07-01,23.581
1998-08-01,22.303
1998-09-01,25.113
1998-10-01,24.426
1998-11-01,25.762
1998-12-01,32.187
1999-01-01,22.445
1999-02-01,16.402
1999-03-01,29.36
1999-04-01,8.223
1999-05-01,21.776999999999997
1999-06-01,35.571000000000005
1999-07-01,17.006
1999-08-01,30.418000000000003
1999-09-01,26.081999999999997
1999-10-01,24.86
1999-11-01,28.049999999999997
1999-12-01,32.492
2000-01-01,20.494
2000-02-01,20.602
2000-03-01,25.233
2000-04-01,22.463
2000-05-01,10.963000000000001
2000-06-01,31.186
2000-07-01,21.652
2000-08-01,10.062
2000-09-01,21.882
2000-10-01,33.613
2000-11-01,45.037
2000-12-01,53.498000000000005
2001-01-01,24.360999999999997
2001-02-01,20.654
2001-03-01,28.837
2001-04-01,21.578000000000003
2001-05-01,19.263
2001-06-01,20.468
2001-07-01,19.026
2001-08-01,22.233
2001-09-01,18.886
2001-10-01,17.884
2001-11-01,19.59
2001-12-01,16.401999999999997
2002-01-01,19.377
2002-02-01,8.156
2002-03-01,22.733
2002-04-01,17.584
2002-05-01,18.917
2002-06-01,16.38
2002-07-01,21.814
2002-08-01,17.404000000000003
2002-09-01,21.857
2002-10-01,20.337
2002-11-01,19.624
2002-12-01,28.176
2003-01-01,21.897000000000002
2003-02-01,22.352
2003-03-01,22.149
2003-04-01,22.388
2003-05-01,18.18
2003-06-01,21.666
2003-07-01,23.884
2003-08-01,19.137
2003-09-01,22.951
2003-10-01,23.471
2003-11-01,21.23
2003-12-01,27.75
2004-01-01,30.914
2004-02-01,29.176
2004-03-01,33.553000000000004
2004-04-01,35.288000000000004
2004-05-01,36.714
2004-06-01,35.219
2004-07-01,33.692
2004-08-01,36.169
2004-09-01,36.861
2004-10-01,38.819
2004-11-01,31.299
2004-12-01,45.157
2005-01-01,30.179000000000002
2005-02-01,33.038
2005-03-01,36.361
2005-04-01,34.958
2005-05-01,29.220000000000002
2005-06-01,30.004
2005-07-01,33.997
2005-08-01,31.647000000000002
2005-09-01,35.105
2005-10-01,31.721
2005-11-01,39.495999999999995
2005-12-01,38.720000000000006
2006-01-01,31.897
2006-02-01,29.198
2006-03-01,30.421
2006-04-01,30.486
2006-05-01,51.382999999999996
2006-06-01,35.034
2006-07-01,40.323
2006-08-01,55.264
2006-09-01,27.495
2006-10-01,54.398
2006-11-01,43.487
2006-12-01,44.837
2007-01-01,43.926
2007-02-01,32.583
2007-03-01,40.373
2007-04-01,61.388
2007-05-01,52.851
2007-06-01,44.888
2007-07-01,44.478
2007-08-01,30.723000000000003
2007-09-01,49.275
2007-10-01,34.457
2007-11-01,32.69
