date,value
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.065
1997-07-01,0.12
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.071
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.072
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,6.769
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.009
1999-02-01,0.0
1999-03-01,0.002
1999-04-01,0.006
1999-05-01,5.929
1999-06-01,0.06
1999-07-01,0.065
1999-08-01,0.065
1999-09-01,6.085
1999-10-01,0.06
1999-11-01,0.0
1999-12-01,9.253
2000-01-01,0.0
2000-02-01,12.956
2000-03-01,0.168
2000-04-01,0.063
2000-05-01,17.855
2000-06-01,0.0
2000-07-01,13.953
2000-08-01,7.241
2000-09-01,0.001
2000-10-01,0.125
2000-11-01,0.001
2000-12-01,18.035
2001-01-01,0.0
2001-02-01,0.001
2001-03-01,1.225
2001-04-01,2.6550000000000002
2001-05-01,5.046
2001-06-01,3.34
2001-07-01,2.69
2001-08-01,1.4409999999999998
2001-09-01,22.711
2001-10-01,4.644
2001-11-01,8.725999999999999
2001-12-01,1.112
2002-01-01,1.828
2002-02-01,34.892
2002-03-01,14.544
2002-04-01,32.374
2002-05-01,4.779999999999999
2002-06-01,5.7410000000000005
2002-07-01,4.896
2002-08-01,14.265
2002-09-01,4.146
2002-10-01,6.7170000000000005
2002-11-01,1.8559999999999999
2002-12-01,11.844999999999999
2003-01-01,4.494
2003-02-01,7.191
2003-03-01,9.18
2003-04-01,5.425000000000001
2003-05-01,6.13
2003-06-01,6.47
2003-07-01,12.339
2003-08-01,6.969
2003-09-01,9.129
2003-10-01,9.466
2003-11-01,9.766
2003-12-01,8.9
2004-01-01,8.33
2004-02-01,11.58
2004-03-01,10.748999999999999
2004-04-01,9.705
2004-05-01,15.407
2004-06-01,6.1610000000000005
2004-07-01,9.825000000000001
2004-08-01,9.713
2004-09-01,8.83
2004-10-01,6.771000000000001
