date,value
1997-01-01,351.545
1997-02-01,357.00100000000003
1997-03-01,422.86
1997-04-01,421.636
1997-05-01,392.62300000000005
1997-06-01,416.95
1997-07-01,407.784
1997-08-01,398.36400000000003
1997-09-01,399.765
1997-10-01,413.757
1997-11-01,415.014
1997-12-01,400.53499999999997
1998-01-01,413.51300000000003
1998-02-01,369.41200000000003
1998-03-01,406.82800000000003
1998-04-01,413.92600000000004
1998-05-01,424.957
1998-06-01,401.03400000000005
1998-07-01,402.886
1998-08-01,411.84800000000007
1998-09-01,419.35
1998-10-01,427.474
1998-11-01,411.40500000000003
1998-12-01,364.975
1999-01-01,413.28
1999-02-01,388.295
1999-03-01,412.55
1999-04-01,392.214
1999-05-01,394.418
1999-06-01,409.625
1999-07-01,420.649
1999-08-01,451.586
1999-09-01,405.188
1999-10-01,474.87
1999-11-01,441.50600000000003
1999-12-01,380.916
2000-01-01,472.507
2000-02-01,446.833
2000-03-01,497.93399999999997
2000-04-01,468.139
2000-05-01,449.12100000000004
2000-06-01,445.418
2000-07-01,450.91200000000003
2000-08-01,474.19000000000005
2000-09-01,455.268
2000-10-01,483.546
2000-11-01,477.005
2000-12-01,346.81
2001-01-01,505.12800000000004
2001-02-01,476.437
2001-03-01,519.244
2001-04-01,495.211
2001-05-01,490.84000000000003
2001-06-01,454.308
2001-07-01,481.899
2001-08-01,490.187
2001-09-01,533.578
2001-10-01,506.97700000000003
2001-11-01,482.182
2001-12-01,396.52500000000003
2002-01-01,505.827
2002-02-01,453.284
2002-03-01,475.025
2002-04-01,475.017
2002-05-01,496.134
2002-06-01,464.903
2002-07-01,494.938
2002-08-01,510.634
2002-09-01,483.58500000000004
2002-10-01,498.528
2002-11-01,457.743
2002-12-01,408.63700000000006
2003-01-01,505.462
2003-02-01,506.124
2003-03-01,565.383
2003-04-01,479.16999999999996
2003-05-01,448.005
2003-06-01,441.55500000000006
2003-07-01,439.053
2003-08-01,442.02
2003-09-01,470.951
2003-10-01,475.693
2003-11-01,468.398
2003-12-01,483.325
2004-01-01,446.25
2004-02-01,517.962
2004-03-01,597.212
2004-04-01,557.788
2004-05-01,572.846
2004-06-01,578.958
2004-07-01,514.296
2004-08-01,515.492
2004-09-01,533.681
2004-10-01,519.692
2004-11-01,500.97700000000003
2004-12-01,459.227
2005-01-01,536.5740000000001
2005-02-01,539.246
2005-03-01,590.455
2005-04-01,594.529
2005-05-01,624.7660000000001
2005-06-01,581.239
2005-07-01,573.5550000000001
2005-08-01,615.134
2005-09-01,586.855
2005-10-01,595.919
2005-11-01,544.145
2005-12-01,586.2090000000001
2006-01-01,698.181
2006-02-01,656.187
2006-03-01,737.198
2006-04-01,773.0060000000001
2006-05-01,808.292
2006-06-01,798.719
2006-07-01,764.27
2006-08-01,744.172
2006-09-01,685.094
2006-10-01,727.178
2006-11-01,724.441
2006-12-01,720.614
2007-01-01,812.7929999999999
2007-02-01,740.918
2007-03-01,803.163
2007-04-01,709.23
2007-05-01,719.308
2007-06-01,691.511
2007-07-01,704.928
2007-08-01,687.6220000000001
2007-09-01,683.341
2007-10-01,583.535
2007-11-01,575.9689999999999
2007-12-01,562.312
2008-01-01,611.779
2008-02-01,558.319
2008-03-01,674.9269999999999
2008-04-01,710.298
2008-05-01,709.435
2008-06-01,701.112
2008-07-01,732.973
2008-08-01,728.204
2008-09-01,711.667
2008-10-01,719.615
2008-11-01,632.331
2008-12-01,513.332
2009-01-01,503.346
2009-02-01,406.261
2009-03-01,449.906
2009-04-01,399.01500000000004
2009-05-01,359.37199999999996
2009-06-01,369.251
2009-07-01,418.20400000000006
2009-08-01,428.146
2009-09-01,444.266
2009-10-01,457.12600000000003
2009-11-01,439.958
2009-12-01,457.223
2010-01-01,572.705
2010-02-01,476.058
2010-03-01,520.647
2010-04-01,521.093
2010-05-01,539.607
2010-06-01,552.285
2010-07-01,455.721
2010-08-01,485.607
2010-09-01,464.463
2010-10-01,507.784
2010-11-01,533.778
2010-12-01,489.585
2011-01-01,533.875
2011-02-01,467.764
2011-03-01,531.514
2011-04-01,508.659
2011-05-01,603.712
2011-06-01,540.787
2011-07-01,596.502
