date,value
1997-01-01,4921.387000000001
1997-02-01,5243.442999999999
1997-03-01,5169.594
1997-04-01,5397.17
1997-05-01,5547.182
1997-06-01,5070.506
1997-07-01,3646.0250000000005
1997-08-01,4851.69
1997-09-01,5059.033
1997-10-01,5187.646
1997-11-01,4872.941
1997-12-01,5295.002
1998-01-01,4919.805
1998-02-01,5462.661
1998-03-01,5814.976000000001
1998-04-01,5801.1359999999995
1998-05-01,5481.9349999999995
1998-06-01,4901.513
1998-07-01,2792.5860000000002
1998-08-01,5352.3330000000005
1998-09-01,6339.779
1998-10-01,7104.955
1998-11-01,6922.839
1998-12-01,6658.875
1999-01-01,6460.612999999999
1999-02-01,7440.200000000001
1999-03-01,8308.585
1999-04-01,7052.889
1999-05-01,6796.848
1999-06-01,7381.755999999999
1999-07-01,4296.567
1999-08-01,7559.732
1999-09-01,7017.013
1999-10-01,7043.849
1999-11-01,7567.352000000001
1999-12-01,7118.332
2000-01-01,7323.451
2000-02-01,7395.496999999999
2000-03-01,8604.49
2000-04-01,7041.79
2000-05-01,7531.664
2000-06-01,7594.778
2000-07-01,4115.1050000000005
2000-08-01,7420.406
2000-09-01,6975.936000000001
2000-10-01,7584.22
2000-11-01,8088.628
2000-12-01,5920.957
2001-01-01,6485.872
2001-02-01,6585.242
2001-03-01,7786.820000000001
2001-04-01,7018.193
2001-05-01,7665.581999999999
2001-06-01,7632.338
2001-07-01,4000.1949999999997
2001-08-01,7305.108
2001-09-01,6292.4
2001-10-01,6986.716
2001-11-01,7552.503000000001
2001-12-01,5977.255000000001
2002-01-01,6390.92
2002-02-01,7458.264
2002-03-01,7780.549999999999
2002-04-01,7803.701
2002-05-01,7856.6759999999995
2002-06-01,7136.444
2002-07-01,4709.5779999999995
2002-08-01,8162.2970000000005
2002-09-01,7089.5509999999995
2002-10-01,7671.98
2002-11-01,7517.8550000000005
2002-12-01,5546.324
2003-01-01,6093.926
2003-02-01,6729.02
2003-03-01,7199.365000000001
2003-04-01,6809.455
2003-05-01,6887.679
2003-06-01,6430.9580000000005
2003-07-01,4312.988
2003-08-01,5976.539
2003-09-01,6672.473
2003-10-01,7086.096
2003-11-01,6263.509
2003-12-01,5879.213
2004-01-01,5301.249
2004-02-01,6526.538
2004-03-01,7766.243
2004-04-01,7312.088
2004-05-01,7299.354
2004-06-01,7736.153
2004-07-01,4385.942
2004-08-01,7100.794
2004-09-01,6814.099999999999
2004-10-01,6691.0650000000005
2004-11-01,6300.761
2004-12-01,5733.611
2005-01-01,5491.782
2005-02-01,6560.738
2005-03-01,6633.868
2005-04-01,6128.972
2005-05-01,6424.805
2005-06-01,6603.936000000001
2005-07-01,3768.02
2005-08-01,7024.3369999999995
2005-09-01,6869.3099999999995
2005-10-01,6922.948
2005-11-01,6901.951999999999
2005-12-01,6023.046
2006-01-01,5956.204
2006-02-01,6215.5
2006-03-01,6850.5289999999995
2006-04-01,5915.733
2006-05-01,6110.368
2006-06-01,6582.398999999999
2006-07-01,3346.5550000000003
2006-08-01,5845.583
2006-09-01,5311.393
2006-10-01,5460.901
2006-11-01,5779.363
2006-12-01,5764.5380000000005
2007-01-01,5622.35
2007-02-01,5805.118
2007-03-01,7092.992
2007-04-01,5916.086
2007-05-01,5880.982
2007-06-01,5646.633
2007-07-01,3530.1940000000004
2007-08-01,5656.103
2007-09-01,5402.0199999999995
2007-10-01,5894.150000000001
2007-11-01,5700.641
2007-12-01,4195.832
2008-01-01,3913.0559999999996
2008-02-01,5007.507
2008-03-01,4842.131
2008-04-01,4756.618
2008-05-01,4245.559
2008-06-01,4602.5740000000005
2008-07-01,2890.26
2008-08-01,4316.983
2008-09-01,4363.181
2008-10-01,4439.494
2008-11-01,3978.8269999999998
2008-12-01,3433.215
2009-01-01,1854.237
2009-02-01,2764.891
2009-03-01,3004.672
2009-04-01,3030.6140000000005
2009-05-01,2247.1240000000003
2009-06-01,2466.578
2009-07-01,2172.8199999999997
2009-08-01,3256.083
2009-09-01,4015.37
2009-10-01,4163.3369999999995
2009-11-01,3692.362
2009-12-01,3847.7650000000003
2010-01-01,3230.5339999999997
2010-02-01,4045.948
2010-03-01,4647.349
2010-04-01,4203.472
2010-05-01,4482.215
2010-06-01,4979.701
2010-07-01,2992.353
2010-08-01,4679.511
2010-09-01,4694.971
2010-10-01,4547.61
2010-11-01,4005.081
2010-12-01,3718.9880000000003
2011-01-01,4021.022
2011-02-01,4043.699
2011-03-01,4765.634
2011-04-01,4215.9529999999995
2011-05-01,4191.115
2011-06-01,4240.411
2011-07-01,2882.626
2011-08-01,4304.6759999999995
2011-09-01,4680.198
2011-10-01,4860.8279999999995
2011-11-01,4887.822
2011-12-01,4689.588
2012-01-01,4674.704
2012-02-01,4917.059
2012-03-01,5083.782
2012-04-01,4816.6
2012-05-01,5121.6759999999995
2012-06-01,5777.282
2012-07-01,3590.068
2012-08-01,5455.904
2012-09-01,5033.96
2012-10-01,5597.429
2012-11-01,5685.482
2012-12-01,4426.696
2013-01-01,4108.563
2013-02-01,4670.732
2013-03-01,5284.079
2013-04-01,5205.081
2013-05-01,4998.284000000001
2013-06-01,5369.280000000001
2013-07-01,3586.591
2013-08-01,5316.294
2013-09-01,5246.821
2013-10-01,5386.567000000001
2013-11-01,5702.441
2013-12-01,4746.981
2014-01-01,4095.781
2014-02-01,4876.434
2014-03-01,5394.544
2014-04-01,5363.039
2014-05-01,5891.509
2014-06-01,5811.893999999999
2014-07-01,4445.536
2014-08-01,5373.232
2014-09-01,6073.886
2014-10-01,6226.127
2014-11-01,5846.818
2014-12-01,5654.018
2015-01-01,5294.049999999999
2015-02-01,4819.853
2015-03-01,6190.305
2015-04-01,5883.877
2015-05-01,5904.083
2015-06-01,6554.564
2015-07-01,5006.2210000000005
2015-08-01,6873.165000000001
2015-09-01,6917.483
2015-10-01,7022.317000000001
2015-11-01,7334.851000000001
2015-12-01,7220.772
2016-01-01,6926.427
2016-02-01,7320.093
2016-03-01,7392.157
2016-04-01,6638.041
2016-05-01,6497.84
2016-06-01,7060.625
2016-07-01,5082.568
2016-08-01,6894.168
2016-09-01,7069.939
2016-10-01,7150.919000000001
2016-11-01,7218.979
2016-12-01,5984.169
2017-01-01,6372.460999999999
2017-02-01,6576.237
2017-03-01,7166.545
2017-04-01,6592.8589999999995
2017-05-01,7346.9710000000005
2017-06-01,7506.14
2017-07-01,4378.697
2017-08-01,6508.804
2017-09-01,5542.6759999999995
2017-10-01,5648.983
2017-11-01,6905.856
2017-12-01,5874.254
2018-01-01,5660.855
2018-02-01,6093.151
2018-03-01,6506.91
2018-04-01,6062.1230000000005
2018-05-01,5997.131
2018-06-01,6592.254999999999
2018-07-01,4702.693
2018-08-01,6096.106
2018-09-01,5571.645
2018-10-01,6743.799999999999
2018-11-01,6607.151
2018-12-01,5458.877
2019-01-01,5645.675
2019-02-01,5647.353
2019-03-01,6493.771000000001
2019-04-01,5834.768
2019-05-01,6977.286
2019-06-01,6812.0650000000005
2019-07-01,5049.169
2019-08-01,6380.159
2019-09-01,6026.673
2019-10-01,6606.814
2019-11-01,6311.439
2019-12-01,5762.853000000001
2020-01-01,5228.749
2020-02-01,5715.724
2020-03-01,5063.8279999999995
2020-04-01,443.98100000000005
2020-05-01,1031.761
2020-06-01,5190.6990000000005
2020-07-01,4962.504
2020-08-01,5702.354
2020-09-01,6013.135
2020-10-01,5929.571000000001
2020-11-01,5560.03
2020-12-01,5197.159
2021-01-01,4505.464
2021-02-01,4196.003
2021-03-01,5193.08
2021-04-01,3481.5240000000003
2021-05-01,3135.389
2021-06-01,4313.023
2021-07-01,3662.292
2021-08-01,4318.888
2021-09-01,3243.993
2021-10-01,4654.156
2021-11-01,4901.826
2021-12-01,4817.799
2022-01-01,3785.102
2022-02-01,4096.826
2022-03-01,5732.476000000001
2022-04-01,5336.661
2022-05-01,5184.965
2022-06-01,5128.784000000001
2022-07-01,4240.135
2022-08-01,5104.857
2022-09-01,5161.341
2022-10-01,4831.642
2022-11-01,4685.153
2022-12-01,5872.951
2023-01-01,5794.286
2023-02-01,5449.648999999999
2023-03-01,6473.273
2023-04-01,6100.176
2023-05-01,6875.713
2023-06-01,7206.553
2023-07-01,5953.29
2023-08-01,7032.619
2023-09-01,6915.698
2023-10-01,6809.499
2023-11-01,7195.874
2023-12-01,5940.041
2024-01-01,5838.145
2024-02-01,6341.792
2024-03-01,6238.319
2024-04-01,5991.539000000001
2024-05-01,6561.448
2024-06-01,5750.433
2024-07-01,4580.7029999999995
2024-08-01,5631.9
2024-09-01,5873.5779999999995
2024-10-01,6100.325000000001
2024-11-01,5893.025
2024-12-01,5520.5560000000005
2025-01-01,6110.652
2025-02-01,5579.736
2025-03-01,6949.425
2025-04-01,4984.645
2025-05-01,5492.157999999999
2025-06-01,5036.941
2025-07-01,4807.869000000001
2025-08-01,5066.508
2025-09-01,5655.084
2025-10-01,5946.124
2025-11-01,4824.564
2025-12-01,4736.71
2026-01-01,3203.42
2026-02-01,4495.59
2026-03-01,5577.488
2026-04-01,5336.032
2026-05-01,5460.526
2026-06-01,5847.188
