date,value
1997-01-01,83.136
1997-02-01,83.84
1997-03-01,85.798
1997-04-01,81.59700000000001
1997-05-01,91.819
1997-06-01,59.947
1997-07-01,81.002
1997-08-01,83.913
1997-09-01,68.478
1997-10-01,71.774
1997-11-01,84.918
1997-12-01,62.948
1998-01-01,64.703
1998-02-01,66.625
1998-03-01,62.172
1998-04-01,46.95
1998-05-01,50.976
1998-06-01,56.217
1998-07-01,45.235
1998-08-01,65.33800000000001
1998-09-01,60.125
1998-10-01,61.502
1998-11-01,60.036
1998-12-01,46.967
1999-01-01,57.168
1999-02-01,53.827
1999-03-01,49.296
1999-04-01,47.777
1999-05-01,48.922
1999-06-01,52.517
1999-07-01,42.344
1999-08-01,45.059
1999-09-01,54.888
1999-10-01,64.476
1999-11-01,55.486
1999-12-01,59.248000000000005
2000-01-01,59.284
2000-02-01,40.657
2000-03-01,59.084
2000-04-01,58.607
2000-05-01,57.887
2000-06-01,55.087
2000-07-01,62.261
2000-08-01,75.60000000000001
2000-09-01,76.796
2000-10-01,83.034
2000-11-01,79.643
2000-12-01,65.18900000000001
2001-01-01,77.637
2001-02-01,60.229
2001-03-01,72.31
2001-04-01,60.064
2001-05-01,51.35
2001-06-01,53.28
2001-07-01,52.483
2001-08-01,49.7
2001-09-01,51.209
2001-10-01,53.035
2001-11-01,63.08
2001-12-01,73.023
2002-01-01,74.685
2002-02-01,73.432
2002-03-01,72.723
2002-04-01,62.951
2002-05-01,55.454
2002-06-01,51.85
2002-07-01,37.398
2002-08-01,21.87
2002-09-01,35.285000000000004
2002-10-01,34.033
2002-11-01,48.112
2002-12-01,44.464
2003-01-01,48.324
2003-02-01,38.739
2003-03-01,44.714
2003-04-01,38.785
2003-05-01,46.553
2003-06-01,28.074
2003-07-01,26.054
2003-08-01,46.129
2003-09-01,46.191
2003-10-01,64.84100000000001
2003-11-01,64.64
2003-12-01,63.871
2004-01-01,71.97200000000001
2004-02-01,78.363
2004-03-01,73.53
2004-04-01,73.911
2004-05-01,62.885
2004-06-01,43.711
2004-07-01,67.788
2004-08-01,83.278
2004-09-01,73.403
2004-10-01,74.925
2004-11-01,85.396
2004-12-01,85.22200000000001
2005-01-01,96.498
2005-02-01,68.81400000000001
2005-03-01,80.69200000000001
2005-04-01,78.356
2005-05-01,104.395
2005-06-01,91.351
2005-07-01,98.526
2005-08-01,109.303
2005-09-01,95.81
2005-10-01,86.32000000000001
2005-11-01,91.053
2005-12-01,81.646
2006-01-01,106.537
2006-02-01,92.243
2006-03-01,101.811
2006-04-01,92.469
2006-05-01,108.272
2006-06-01,116.307
2006-07-01,181.798
2006-08-01,160.933
2006-09-01,163.812
2006-10-01,185.976
2006-11-01,144.39
2006-12-01,92.786
2007-01-01,170.81900000000002
2007-02-01,170.978
2007-03-01,162.068
2007-04-01,164.153
2007-05-01,177.072
