date,value
1997-01-01,346.548
1997-02-01,219.409
1997-03-01,448.238
1997-04-01,255.258
1997-05-01,301.491
1997-06-01,252.375
1997-07-01,307.806
1997-08-01,210.964
1997-09-01,304.783
1997-10-01,210.056
1997-11-01,368.953
1997-12-01,220.319
1998-01-01,257.701
1998-02-01,267.434
1998-03-01,395.694
1998-04-01,200.787
1998-05-01,302.244
1998-06-01,372.033
1998-07-01,235.798
1998-08-01,218.224
1998-09-01,255.972
1998-10-01,270.204
1998-11-01,216.022
1998-12-01,194.004
1999-01-01,242.479
1999-02-01,215.346
1999-03-01,266.426
1999-04-01,175.27700000000002
1999-05-01,253.373
1999-06-01,183.58
1999-07-01,213.778
1999-08-01,217.472
1999-09-01,226.547
1999-10-01,207.497
1999-11-01,228.786
1999-12-01,176.442
2000-01-01,216.015
2000-02-01,129.416
2000-03-01,301.472
2000-04-01,187.947
2000-05-01,228.08
2000-06-01,178.782
2000-07-01,244.485
2000-08-01,224.008
2000-09-01,247.132
2000-10-01,274.002
2000-11-01,218.35
2000-12-01,235.661
2001-01-01,209.015
2001-02-01,207.767
2001-03-01,263.925
2001-04-01,210.03
2001-05-01,162.53300000000002
2001-06-01,220.036
2001-07-01,234.692
2001-08-01,236.639
2001-09-01,238.879
2001-10-01,232.207
2001-11-01,242.35
2001-12-01,136.113
2002-01-01,222.674
2002-02-01,209.547
2002-03-01,331.45
2002-04-01,271.611
2002-05-01,384.681
2002-06-01,270.219
2002-07-01,242.153
2002-08-01,239.452
2002-09-01,198.994
2002-10-01,278.00100000000003
2002-11-01,206.948
2002-12-01,143.262
2003-01-01,181.389
2003-02-01,269.166
2003-03-01,246.561
2003-04-01,172.969
2003-05-01,280.13100000000003
2003-06-01,321.193
2003-07-01,220.286
2003-08-01,202.594
2003-09-01,228.96
2003-10-01,362.177
2003-11-01,306.33
2003-12-01,184.049
2004-01-01,389.099
2004-02-01,257.543
2004-03-01,319.807
2004-04-01,296.573
2004-05-01,260.498
2004-06-01,279.534
2004-07-01,337.54
2004-08-01,266.84000000000003
2004-09-01,351.48
2004-10-01,339.032
2004-11-01,334.855
2004-12-01,380.127
2005-01-01,382.894
2005-02-01,337.611
2005-03-01,372.755
2005-04-01,343.63100000000003
2005-05-01,417.301
2005-06-01,357.499
2005-07-01,450.373
2005-08-01,375.128
2005-09-01,363.645
2005-10-01,367.213
2005-11-01,379.616
2005-12-01,374.205
2006-01-01,591.234
2006-02-01,397.407
2006-03-01,474.15
2006-04-01,362.626
2006-05-01,583.797
2006-06-01,521.2090000000001
2006-07-01,548.207
2006-08-01,468.049
2006-09-01,677.171
2006-10-01,405.248
2006-11-01,495.403
2006-12-01,511.867
2007-01-01,608.237
2007-02-01,446.423
2007-03-01,617.567
2007-04-01,551.393
2007-05-01,535.1610000000001
2007-06-01,432.974
2007-07-01,639.7520000000001
2007-08-01,464.786
2007-09-01,576.598
2007-10-01,580.916
2007-11-01,679.513
2007-12-01,398.9
2008-01-01,872.189
2008-02-01,907.484
2008-03-01,795.927
2008-04-01,612.715
2008-05-01,884.018
2008-06-01,669.403
2008-07-01,786.96
2008-08-01,719.826
2008-09-01,706.684
2008-10-01,577.48
2008-11-01,613.352
2008-12-01,537.343
2009-01-01,556.689
2009-02-01,555.389
2009-03-01,922.108
2009-04-01,534.368
2009-05-01,582.3340000000001
2009-06-01,795.812
2009-07-01,803.328
2009-08-01,607.147
2009-09-01,879.4590000000001
2009-10-01,1026.488
2009-11-01,909.47
2009-12-01,767.01
2010-01-01,1126.165
2010-02-01,873.802
2010-03-01,1784.91
2010-04-01,897.909
2010-05-01,951.405
2010-06-01,649.854
2010-07-01,1126.498
2010-08-01,1121.095
2010-09-01,940.624
2010-10-01,1334.79
2010-11-01,2188.995
2010-12-01,2400.91
2011-01-01,1972.376
2011-02-01,1325.977
2011-03-01,1824.19
2011-04-01,1100.683
2011-05-01,1580.327
2011-06-01,1507.692
2011-07-01,1515.515
2011-08-01,1803.744
2011-09-01,1873.328
2011-10-01,1521.942
2011-11-01,1779.481
2011-12-01,1942.71
2012-01-01,1560.416
2012-02-01,1527.514
2012-03-01,1658.67
2012-04-01,1447.696
2012-05-01,1396.662
2012-06-01,1226.204
2012-07-01,1368.94
2012-08-01,1466.126
2012-09-01,1588.527
2012-10-01,1595.677
2012-11-01,1147.914
2012-12-01,1235.543
2013-01-01,1920.528
2013-02-01,1623.528
2013-03-01,1669.098
2013-04-01,1581.529
2013-05-01,1513.954
2013-06-01,1622.923
2013-07-01,1405.093
2013-08-01,1247.819
2013-09-01,1553.85
2013-10-01,1123.775
2013-11-01,1192.939
2013-12-01,1259.327
2014-01-01,1452.452
2014-02-01,1350.977
2014-03-01,1746.043
2014-04-01,944.424
2014-05-01,1137.73
