date,value
1997-01-01,0.267
1997-02-01,0.369
1997-03-01,0.424
1997-04-01,0.454
1997-05-01,0.529
1997-06-01,0.469
1997-07-01,0.679
1997-08-01,0.8230000000000001
1997-09-01,1.592
1997-10-01,0.916
1997-11-01,0.5740000000000001
1997-12-01,1.222
1998-01-01,7.636
1998-02-01,10.262
1998-03-01,22.395
1998-04-01,6.743
1998-05-01,1.868
1998-06-01,13.386
1998-07-01,0.0
1998-08-01,0.838
1998-09-01,0.8150000000000001
1998-10-01,5.75
1998-11-01,0.794
1998-12-01,2.05
1999-01-01,8.98
1999-02-01,0.849
1999-03-01,5.5280000000000005
1999-04-01,0.991
1999-05-01,0.0
1999-06-01,5.454
1999-07-01,0.0
1999-08-01,0.908
1999-09-01,0.0
1999-10-01,1.146
1999-11-01,0.0
1999-12-01,4.973
2000-01-01,1.473
2000-02-01,0.002
2000-03-01,0.317
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,1.723
2000-07-01,0.303
2000-08-01,0.075
2000-09-01,0.0
2000-10-01,0.781
2000-11-01,0.605
2000-12-01,0.0
2001-01-01,19.28
2001-02-01,0.286
2001-03-01,22.449
2001-04-01,35.929
2001-05-01,16.482
2001-06-01,16.549
2001-07-01,38.678
2001-08-01,5.0280000000000005
2001-09-01,33.026
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,8.437
2002-01-01,25.925
2002-02-01,21.218
2002-03-01,53.678
2002-04-01,0.0
2002-05-01,34.383
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,4.312
2002-10-01,4.183
2002-11-01,4.263
2002-12-01,4.346
2003-01-01,0.0
2003-02-01,51.654
2003-03-01,78.894
2003-04-01,0.0
2003-05-01,135.62
2003-06-01,66.976
2003-07-01,33.853
2003-08-01,54.825
2003-09-01,4.357
2003-10-01,73.756
2003-11-01,97.218
2003-12-01,36.189
2004-01-01,116.091
2004-02-01,17.732
2004-03-01,113.486
2004-04-01,40.891
2004-05-01,23.611
2004-06-01,81.444
2004-07-01,136.377
2004-08-01,85.19500000000001
2004-09-01,170.365
2004-10-01,134.555
2004-11-01,195.556
2004-12-01,161.773
2005-01-01,210.882
2005-02-01,176.019
2005-03-01,155.931
2005-04-01,142.752
2005-05-01,131.888
2005-06-01,107.178
2005-07-01,230.384
2005-08-01,160.702
2005-09-01,99.471
2005-10-01,171.354
2005-11-01,165.449
2005-12-01,185.557
2006-01-01,323.077
2006-02-01,205.266
2006-03-01,265.548
2006-04-01,163.631
2006-05-01,325.665
2006-06-01,291.055
2006-07-01,247.342
2006-08-01,267.221
2006-09-01,294.082
2006-10-01,132.331
2006-11-01,338.582
2006-12-01,250.46
2007-01-01,344.164
2007-02-01,297.978
2007-03-01,282.748
2007-04-01,216.732
2007-05-01,211.423
2007-06-01,103.691
2007-07-01,166.401
2007-08-01,166.977
2007-09-01,191.957
2007-10-01,311.642
2007-11-01,443.447
2007-12-01,246.867
2008-01-01,458.042
2008-02-01,542.774
2008-03-01,328.091
2008-04-01,280.774
2008-05-01,500.133
2008-06-01,311.308
2008-07-01,532.546
2008-08-01,306.129
2008-09-01,265.604
2008-10-01,388.596
2008-11-01,143.154
