date,value
1997-01-01,209.661
1997-02-01,149.159
1997-03-01,405.519
1997-04-01,184.817
1997-05-01,227.063
1997-06-01,117.869
1997-07-01,198.153
1997-08-01,176.905
1997-09-01,287.817
1997-10-01,185.216
1997-11-01,297.42
1997-12-01,200.466
1998-01-01,149.585
1998-02-01,228.679
1998-03-01,298.923
1998-04-01,157.219
1998-05-01,272.228
1998-06-01,244.258
1998-07-01,174.881
1998-08-01,211.047
1998-09-01,218.0
1998-10-01,252.34
1998-11-01,199.618
1998-12-01,155.948
1999-01-01,231.443
1999-02-01,212.455
1999-03-01,260.898
1999-04-01,174.284
1999-05-01,240.282
1999-06-01,171.703
1999-07-01,201.509
1999-08-01,208.089
1999-09-01,214.591
1999-10-01,192.434
1999-11-01,221.81
1999-12-01,166.917
2000-01-01,214.394
2000-02-01,117.723
2000-03-01,301.156
2000-04-01,181.189
2000-05-01,224.14
2000-06-01,168.303
2000-07-01,186.129
2000-08-01,215.41
2000-09-01,247.132
2000-10-01,273.084
2000-11-01,217.242
2000-12-01,229.874
2001-01-01,184.106
2001-02-01,202.262
2001-03-01,229.544
2001-04-01,167.265
2001-05-01,145.584
2001-06-01,203.389
2001-07-01,195.786
2001-08-01,218.707
2001-09-01,205.853
2001-10-01,212.589
2001-11-01,230.754
2001-12-01,123.566
2002-01-01,188.774
2002-02-01,188.088
2002-03-01,265.923
2002-04-01,259.324
2002-05-01,350.158
2002-06-01,265.217
2002-07-01,234.643
2002-08-01,231.784
2002-09-01,194.148
2002-10-01,261.321
2002-11-01,202.376
2002-12-01,133.0
2003-01-01,181.363
2003-02-01,217.381
2003-03-01,157.633
2003-04-01,172.543
2003-05-01,143.672
2003-06-01,248.07
2003-07-01,168.33700000000002
2003-08-01,145.47
2003-09-01,223.886
2003-10-01,264.437
2003-11-01,208.5
2003-12-01,147.251
2004-01-01,272.878
2004-02-01,239.784
2004-03-01,206.101
2004-04-01,238.216
2004-05-01,219.507
2004-06-01,194.276
2004-07-01,197.04
2004-08-01,175.71800000000002
2004-09-01,172.403
2004-10-01,199.917
2004-11-01,137.599
2004-12-01,218.308
2005-01-01,171.892
2005-02-01,136.252
2005-03-01,166.592
2005-04-01,171.122
2005-05-01,180.746
2005-06-01,182.496
2005-07-01,174.047
2005-08-01,156.611
2005-09-01,215.553
2005-10-01,178.028
2005-11-01,195.995
2005-12-01,188.222
2006-01-01,267.79
2006-02-01,191.702
2006-03-01,207.8
2006-04-01,189.302
2006-05-01,251.989
2006-06-01,229.836
2006-07-01,295.01
2006-08-01,156.692
2006-09-01,273.265
2006-10-01,241.171
2006-11-01,156.36
2006-12-01,238.017
2007-01-01,246.893
2007-02-01,137.387
2007-03-01,309.45
2007-04-01,262.21
2007-05-01,144.592
2007-06-01,229.95
2007-07-01,353.012
2007-08-01,206.856
2007-09-01,282.029
2007-10-01,257.515
2007-11-01,217.139
2007-12-01,126.202
2008-01-01,398.423
2008-02-01,364.52
2008-03-01,459.097
2008-04-01,271.055
2008-05-01,294.997
2008-06-01,250.969
2008-07-01,241.483
2008-08-01,282.65000000000003
2008-09-01,254.105
2008-10-01,129.588
2008-11-01,141.483
2008-12-01,103.863
2009-01-01,142.356
2009-02-01,229.929
2009-03-01,300.427
2009-04-01,189.375
2009-05-01,149.185
2009-06-01,463.725
2009-07-01,331.009
2009-08-01,181.43
2009-09-01,134.199
2009-10-01,299.315
2009-11-01,237.443
2009-12-01,234.85
2010-01-01,325.047
2010-02-01,200.73
2010-03-01,434.558
2010-04-01,556.809
2010-05-01,385.77
2010-06-01,255.957
2010-07-01,254.08
2010-08-01,252.447
2010-09-01,308.799
2010-10-01,492.388
2010-11-01,903.938
2010-12-01,1462.971
2011-01-01,509.202
2011-02-01,489.844
2011-03-01,939.856
2011-04-01,666.96
2011-05-01,622.2280000000001
2011-06-01,408.727
2011-07-01,443.484
2011-08-01,437.69
2011-09-01,518.492
2011-10-01,565.518
2011-11-01,286.037
2011-12-01,624.227
2012-01-01,531.255
2012-02-01,264.36400000000003
2012-03-01,347.49
2012-04-01,394.083
2012-05-01,326.033
2012-06-01,287.125
2012-07-01,260.463
2012-08-01,349.75600000000003
2012-09-01,323.403
2012-10-01,325.22
2012-11-01,492.02
2012-12-01,374.329
2013-01-01,706.571
2013-02-01,304.222
2013-03-01,315.363
2013-04-01,372.786
2013-05-01,501.602
2013-06-01,257.48
2013-07-01,357.725
2013-08-01,382.999
2013-09-01,248.876
2013-10-01,532.64
2013-11-01,413.113
2013-12-01,406.069
2014-01-01,482.019
2014-02-01,208.116
2014-03-01,367.403
2014-04-01,552.5020000000001
2014-05-01,455.952
2014-06-01,271.854
2014-07-01,541.307
2014-08-01,619.784
2014-09-01,426.039
2014-10-01,354.796
2014-11-01,277.943
2014-12-01,452.724
2015-01-01,328.402
2015-02-01,423.687
2015-03-01,241.59
2015-04-01,534.5840000000001
2015-05-01,423.444
2015-06-01,583.541
2015-07-01,521.4780000000001
2015-08-01,309.807
2015-09-01,540.239
2015-10-01,408.116
2015-11-01,305.994
2015-12-01,446.0
2016-01-01,413.639
2016-02-01,755.8340000000001
2016-03-01,509.672
2016-04-01,505.384
2016-05-01,671.5020000000001
2016-06-01,527.993
2016-07-01,383.561
2016-08-01,342.759
2016-09-01,335.016
2016-10-01,485.375
2016-11-01,491.038
2016-12-01,385.459
2017-01-01,360.07800000000003
2017-02-01,461.764
2017-03-01,560.067
2017-04-01,284.56
2017-05-01,222.611
2017-06-01,217.172
2017-07-01,358.568
2017-08-01,198.741
2017-09-01,244.264
2017-10-01,443.443
2017-11-01,469.797
2017-12-01,614.7330000000001
2018-01-01,345.661
2018-02-01,317.217
2018-03-01,205.273
2018-04-01,239.748
2018-05-01,323.165
2018-06-01,280.791
2018-07-01,213.462
2018-08-01,238.243
2018-09-01,213.345
2018-10-01,204.626
2018-11-01,253.606
2018-12-01,180.983
2019-01-01,331.55
2019-02-01,224.4
2019-03-01,246.942
2019-04-01,198.1
2019-05-01,158.798
2019-06-01,179.353
2019-07-01,406.012
2019-08-01,542.392
2019-09-01,421.496
2019-10-01,646.013
2019-11-01,581.325
2019-12-01,226.411
2020-01-01,326.141
2020-02-01,269.536
2020-03-01,841.398
2020-04-01,486.741
2020-05-01,670.025
2020-06-01,168.536
2020-07-01,707.38
2020-08-01,449.432
2020-09-01,476.471
2020-10-01,489.962
2020-11-01,274.863
2020-12-01,272.291
2021-01-01,218.717
2021-02-01,155.638
2021-03-01,238.789
2021-04-01,367.759
2021-05-01,253.366
2021-06-01,230.905
2021-07-01,399.189
2021-08-01,380.581
2021-09-01,260.161
2021-10-01,360.69
2021-11-01,243.091
2021-12-01,451.663
2022-01-01,365.116
2022-02-01,133.067
2022-03-01,486.777
2022-04-01,259.97700000000003
2022-05-01,128.717
2022-06-01,231.615
2022-07-01,252.997
2022-08-01,171.437
2022-09-01,232.816
2022-10-01,213.696
2022-11-01,446.137
2022-12-01,236.417
2023-01-01,404.343
2023-02-01,184.115
2023-03-01,651.886
2023-04-01,1189.767
2023-05-01,1476.232
2023-06-01,896.464
2023-07-01,1128.39
2023-08-01,1875.42
2023-09-01,1444.212
2023-10-01,1320.216
2023-11-01,939.477
2023-12-01,524.7760000000001
2024-01-01,667.221
2024-02-01,210.147
2024-03-01,323.666
2024-04-01,512.842
2024-05-01,594.79
2024-06-01,411.301
2024-07-01,1286.449
2024-08-01,281.37600000000003
2024-09-01,877.426
2024-10-01,452.754
2024-11-01,1941.122
2024-12-01,2336.71
2025-01-01,2890.251
2025-02-01,2794.213
2025-03-01,566.6510000000001
2025-04-01,345.07800000000003
2025-05-01,410.906
2025-06-01,141.104
2025-07-01,1726.361
2025-08-01,480.639
2025-09-01,883.963
2025-10-01,307.517
2025-11-01,127.565
2025-12-01,243.353
2026-01-01,118.146
2026-02-01,160.291
2026-03-01,157.302
