date,value
1997-01-01,834.672
1997-02-01,946.456
1997-03-01,1016.568
1997-04-01,1133.28
1997-05-01,1130.497
1997-06-01,1131.164
1997-07-01,1108.275
1997-08-01,1103.691
1997-09-01,1096.767
1997-10-01,1082.432
1997-11-01,1039.098
1997-12-01,943.125
1998-01-01,901.633
1998-02-01,1017.454
1998-03-01,1111.168
1998-04-01,1138.277
1998-05-01,1077.99
1998-06-01,1149.005
1998-07-01,1162.358
1998-08-01,1274.557
1998-09-01,1216.128
1998-10-01,1247.222
1998-11-01,1173.125
1998-12-01,1051.461
1999-01-01,1057.117
1999-02-01,1145.365
1999-03-01,1317.662
1999-04-01,1438.429
1999-05-01,1438.29
1999-06-01,1481.182
1999-07-01,1651.067
1999-08-01,1535.285
1999-09-01,1371.293
1999-10-01,1349.872
1999-11-01,1289.404
1999-12-01,1164.024
2000-01-01,1203.438
2000-02-01,1218.558
2000-03-01,1429.833
2000-04-01,1396.218
2000-05-01,1389.16
2000-06-01,1295.122
2000-07-01,1183.784
2000-08-01,1138.634
2000-09-01,1130.083
2000-10-01,1176.427
2000-11-01,1156.496
2000-12-01,881.325
2001-01-01,949.729
2001-02-01,967.911
2001-03-01,1079.703
2001-04-01,1370.622
2001-05-01,1424.036
2001-06-01,1404.347
2001-07-01,1386.348
2001-08-01,1366.688
2001-09-01,1231.251
2001-10-01,1221.399
2001-11-01,1026.23
2001-12-01,963.712
2002-01-01,1098.243
2002-02-01,1201.786
2002-03-01,1477.494
2002-04-01,1548.432
2002-05-01,1609.978
2002-06-01,947.871
2002-07-01,1051.08
2002-08-01,1089.505
2002-09-01,1093.43
2002-10-01,1117.908
2002-11-01,966.822
2002-12-01,878.565
2003-01-01,898.3670000000001
2003-02-01,899.288
2003-03-01,1011.087
2003-04-01,1029.647
2003-05-01,1013.77
2003-06-01,1027.249
2003-07-01,1099.405
2003-08-01,1166.458
2003-09-01,1305.515
2003-10-01,1284.653
2003-11-01,1190.247
2003-12-01,1028.553
2004-01-01,928.974
2004-02-01,1184.972
2004-03-01,1518.758
2004-04-01,1587.438
2004-05-01,1788.171
2004-06-01,1683.508
2004-07-01,1479.525
2004-08-01,1642.354
2004-09-01,1630.586
2004-10-01,1367.582
2004-11-01,1142.915
2004-12-01,1032.492
2005-01-01,1109.911
2005-02-01,1273.998
2005-03-01,1530.168
2005-04-01,1509.487
2005-05-01,1470.038
2005-06-01,1411.779
2005-07-01,1286.474
2005-08-01,1206.508
2005-09-01,1215.639
2005-10-01,1346.375
2005-11-01,1173.341
2005-12-01,1106.64
2006-01-01,1261.954
