date,value
1997-01-01,323.504
1997-02-01,301.947
1997-03-01,323.49100000000004
1997-04-01,365.58799999999997
1997-05-01,354.723
1997-06-01,339.537
1997-07-01,320.065
1997-08-01,314.767
1997-09-01,355.93600000000004
1997-10-01,340.023
1997-11-01,341.15500000000003
1997-12-01,329.74399999999997
1998-01-01,349.642
1998-02-01,362.12
1998-03-01,394.807
1998-04-01,383.267
1998-05-01,405.435
1998-06-01,388.346
1998-07-01,348.197
1998-08-01,364.891
1998-09-01,359.295
1998-10-01,377.603
1998-11-01,341.67
1998-12-01,303.45500000000004
1999-01-01,302.61100000000005
1999-02-01,316.06300000000005
1999-03-01,377.841
1999-04-01,365.47400000000005
1999-05-01,335.57500000000005
1999-06-01,338.378
1999-07-01,309.339
1999-08-01,331.735
1999-09-01,333.543
1999-10-01,329.088
1999-11-01,352.39500000000004
1999-12-01,317.462
2000-01-01,349.244
2000-02-01,364.036
2000-03-01,416.26
2000-04-01,404.767
2000-05-01,447.303
2000-06-01,390.693
2000-07-01,342.831
2000-08-01,361.835
2000-09-01,365.16200000000003
2000-10-01,390.78700000000003
2000-11-01,343.459
2000-12-01,267.45
2001-01-01,327.84900000000005
2001-02-01,307.125
2001-03-01,327.601
2001-04-01,340.93
2001-05-01,364.562
2001-06-01,330.15299999999996
2001-07-01,329.635
2001-08-01,322.984
2001-09-01,341.39200000000005
2001-10-01,369.426
2001-11-01,333.456
2001-12-01,267.281
2002-01-01,382.273
2002-02-01,365.751
2002-03-01,404.54
2002-04-01,444.34799999999996
2002-05-01,420.87100000000004
2002-06-01,425.40799999999996
2002-07-01,430.287
2002-08-01,433.591
2002-09-01,449.22299999999996
2002-10-01,454.031
2002-11-01,379.55199999999996
2002-12-01,359.315
2003-01-01,406.293
2003-02-01,350.342
2003-03-01,386.039
2003-04-01,389.65299999999996
2003-05-01,371.225
2003-06-01,356.925
2003-07-01,356.146
2003-08-01,314.232
2003-09-01,361.64
2003-10-01,370.367
2003-11-01,332.87800000000004
2003-12-01,293.902
2004-01-01,329.855
2004-02-01,386.855
2004-03-01,483.008
2004-04-01,483.829
2004-05-01,514.258
2004-06-01,556.136
2004-07-01,470.246
2004-08-01,531.664
2004-09-01,518.192
2004-10-01,472.483
2004-11-01,440.92199999999997
2004-12-01,387.321
2005-01-01,502.714
2005-02-01,491.966
2005-03-01,569.143
2005-04-01,554.112
2005-05-01,561.019
2005-06-01,550.988
2005-07-01,436.73699999999997
2005-08-01,475.85400000000004
2005-09-01,477.053
2005-10-01,507.403
2005-11-01,529.3249999999999
2005-12-01,471.558
