napcs_code,napcs_label_en,napcs_classification_code,start_total,start_us,end_total,end_us,vector_all,vector_us
3,Live animals,[111],211.979,195.487,313.991,297.017,1863542923,1863542953
4,Wheat,[112],1111.245,79.594,1121.432,71.999,1863545533,1863545563
5,Canola (including rapeseed),[113],442.1,18.514,847.72,18.886,1863548143,1863548173
6,"Fresh fruit, nuts and vegetables, and pulse crops",[114],572.866,347.778,706.045,411.949,1863550753,1863550783
7,Other crop products,[115],870.888,292.29,760.927,299.576,1863553363,1863553393
8,Other animal products,[116],14.075,8.454,18.18,9.713,1863555973,1863556003
9,"Fish, crustaceans, shellfish and other fishery products",[121],944.761,771.469,1022.313,843.425,1863558583,1863558613
10,Animal feed,[181],129.639,65.691,117.327,66.088,1863561193,1863561223
11,Intermediate food products,[182],843.221,694.786,1119.959,1006.177,1863563803,1863563833
13,Crude oil and bitumen,[141],11338.107,10194.045,15627.089,13568.197,1863569023,1863569053
14,Natural gas,[142],708.152,708.152,554.859,554.859,1863571633,1863571663
15,Natural gas liquids (including condensate) and related products,[143],313.689,164.439,398.727,256.626,1863574243,1863574273
16,Coal,[144],644.555,7.525,595.057,2.2,1863576853,1863576883
17,Nuclear fuel and other energy products,[145],212.441,43.411,456.965,59.447,1863579463,1863579493
18,Electricity,[146],141.501,141.501,180.847,180.847,1863582073,1863582103
19,Refined petroleum energy products (including liquid biofuels),[261],844.458,625.822,2781.392,1975.637,1863584683,1863584713
21,Iron ores and concentrates,[151],821.724,0.0,592.323,15.126,1863589903,1863589933
22,Copper ores and concentrates,[152],457.887,0.516,825.857,1.177,1863592513,1863592543
23,Nickel ores and concentrates,[153],0.0,0.0,0.02,0.02,1863595123,1863595153
24,Radioactive ores and concentrates,[154],0.0,0.0,0.0,0.0,1863597733,1863597763
25,Other metal ores and concentrates,[155],123.934,47.317,187.455,29.566,1863600343,1863600373
26,Potash,[161],756.142,321.146,950.891,347.837,1863602953,1863602983
27,"Stone, sand, gravel, clay, and refractory minerals",[162],50.133,47.053,57.103,54.598,1863605563,1863605593
28,Diamonds and other non-metallic minerals (except cut gemstones),[163],249.352,51.062,573.367,146.486,1863608173,1863608203
30,"Unwrought iron, steel and ferro-alloys",[311],73.999,50.551,116.578,83.995,1863613393,1863613423
31,Basic and semi-finished iron or steel products,[312],608.138,570.615,379.263,347.638,1863616003,1863616033
32,Unwrought aluminum and aluminum alloys,[321],734.947,641.042,1241.622,713.26,1863618613,1863618643
33,Unwrought copper and copper alloys,[322],218.873,194.501,278.288,252.076,1863621223,1863621253
34,Unwrought nickel and nickel alloys,[323],276.987,72.641,273.981,103.84,1863623833,1863623863
35,"Unwrought gold, silver, and platinum group metals, and their alloys",[324],5330.129,410.902,5592.711,549.596,1863626443,1863626473
36,Other unwrought non-ferrous metals and non-ferrous metal alloys,[325],220.434,178.202,238.313,206.164,1863629053,1863629083
37,Basic and semi-finished products of non-ferrous metals and alloys (except aluminum),[326],383.975,322.433,540.233,361.604,1863631663,1863631693
38,Basic and semi-finished products of aluminum and aluminum alloys,[327],152.346,147.704,202.775,195.665,1863634273,1863634303
39,Fabricated metal products,[472],381.194,331.404,397.733,327.838,1863636883,1863636913
40,Non-metallic mineral products,[291],153.826,136.468,176.36,161.978,1863639493,1863639523
41,Waste and scrap of metal,[156],615.951,372.869,1165.083,740.121,1863642103,1863642133
42,Waste and scrap of glass,[159],1.988,1.875,2.324,2.224,1863644713,1863644743
44,"Dyes and pigments, and petrochemicals",[263],196.107,188.583,339.265,330.072,1863649933,1863649963
45,Lubricants and other petroleum refinery products,[264],435.65,425.682,465.553,275.303,1863652543,1863652573
46,Basic chemicals,[271],595.465,434.783,740.817,541.434,1863655153,1863655183
47,"Fertilizers, pesticides and other chemical products",[272],396.124,329.362,509.641,417.274,1863657763,1863657793
48,Plastic resins,[281],699.705,587.239,807.764,692.826,1863660373,1863660403
49,Plastic and rubber basic products not for packaging use (except plastic resins),[282],322.799,274.821,354.917,311.805,1863662983,1863663013
50,Plastic and rubber finished products,[284],244.088,223.03,279.479,253.589,1863665593,1863665623
51,Waste and scrap of plastic and rubber,[158],10.818,9.016,10.663,9.111,1863668203,1863668233
53,"Logs, pulpwood and other forestry products",[131],58.422,13.041,58.182,14.227,1863673423,1863673453
54,Pulp and paper,[251],964.439,559.974,986.08,609.907,1863676033,1863676063
55,Lumber and other sawmill products,[241],1310.769,1164.793,1144.845,1008.483,1863678643,1863678673
56,Asphalt (except natural) and asphalt products,[262],61.242,57.323,71.019,68.364,1863681253,1863681283
57,"Wood millwork, and wood products not elsewhere classified",[462],98.707,97.361,118.566,116.402,1863683863,1863683893
58,"Paints, coatings, and adhesive products",[463],92.007,86.03,76.516,71.422,1863686473,1863686503
59,Plastic and foam building and construction materials,[464],158.732,154.712,168.108,162.135,1863689083,1863689113
60,"Cement, lime and gypsum products",[465],77.19,76.169,120.034,118.825,1863691693,1863691723
61,Metal building and construction materials,[466],234.94,222.744,204.434,191.736,1863694303,1863694333
62,Prefabricated buildings and components thereof,[471],25.456,23.716,54.357,44.03,1863696913,1863696943
63,Packaging materials,[474],570.177,536.672,653.333,622.354,1863699523,1863699553
64,"Waste and scrap of wood, wood by-products, paper and paperboard",[157],30.894,16.581,30.25,17.758,1863702133,1863702163
66,"Agricultural, lawn and garden machinery and equipment",[331],67.996,49.559,83.294,62.388,1863707353,1863707383
67,"Logging, construction, mining, and oil and gas field machinery and equipment",[332],135.922,110.006,196.458,150.733,1863709963,1863709993
68,Metalworking machinery,[341],38.701,29.515,32.899,26.767,1863712573,1863712603
69,Commercial and service industry machinery and equipment,[342],198.325,92.397,233.917,156.763,1863715183,1863715213
70,"Other industry-specific manufacturing machinery, not elsewhere classified",[343],293.198,217.729,427.292,339.851,1863717793,1863717823
71,"Heating, cooling and air purification equipment",[344],221.465,202.389,352.145,329.846,1863720403,1863720433
72,"Other general-purpose machinery and equipment, not elsewhere classified",[345],1157.493,960.377,1178.983,920.476,1863723013,1863723043
73,Parts of industrial machinery and equipment,[351],838.303,646.547,899.521,656.347,1863725623,1863725653
75,Computers and computer peripherals,[361],111.217,65.064,123.948,72.706,1863730843,1863730873
76,"Communication, and audio and video equipment",[362],333.158,197.22,315.421,202.111,1863733453,1863733483
77,"Medical, measuring, and other electronic and electrical machinery and equipment",[363],710.304,412.132,788.247,487.082,1863736063,1863736093
78,Electronic and electrical parts,[371],425.052,337.187,372.52,263.257,1863738673,1863738703
79,Electrical components,[381],616.006,546.447,864.502,784.012,1863741283,1863741313
81,Passenger cars and light trucks,[411],3821.224,3567.516,3791.687,3434.283,1863746503,1863746533
82,"Medium and heavy trucks, buses, and other motor vehicles",[412],447.567,441.723,369.62,356.775,1863749113,1863749143
83,Tires,[283],252.739,243.896,263.222,254.738,1863751723,1863751753
84,Motor vehicle engines and motor vehicle parts,[413],2037.803,1870.052,2083.8,1897.031,1863754333,1863754363
86,Aircraft,[421],607.86,178.499,573.474,415.555,1863759553,1863759583
87,"Aircraft engines, aircraft parts and other aerospace equipment",[431],1279.343,938.289,1059.73,727.447,1863762163,1863762193
88,"Ships, locomotives, railway rolling stock, and rapid transit equipment",[441],5.565,5.565,8.257,7.587,1863764773,1863764803
89,Boats and other transportation equipment,[442],199.796,39.542,118.111,49.365,1863767383,1863767413
90,Parts of railway rolling stock and of other transportation equipment,[451],22.398,19.844,23.907,21.211,1863769993,1863770023
92,Prepared and packaged seafood products,[171],174.471,138.397,175.126,139.926,1863775213,1863775243
93,Meat products,[172],1027.677,535.055,1131.561,625.152,1863777823,1863777853
94,Dairy products,[173],32.809,22.404,37.527,26.664,1863780433,1863780463
95,Other food products,[183],1869.478,1672.009,2102.879,1881.505,1863783043,1863783073
96,Coffee and tea,[191],71.33,70.659,55.158,54.025,1863785653,1863785683
97,"Frozen, fresh and canned fruit and vegetable juices",[192],19.04,12.612,27.867,18.284,1863788263,1863788293
98,"Carbonated and non-carbonated drinks, bottled water and ice",[193],54.515,51.411,76.666,73.593,1863790873,1863790903
99,Alcoholic beverages,[211],126.305,113.867,102.182,90.167,1863793483,1863793513
100,Tobacco products (including electronic cigarettes),[212],9.728,9.682,5.767,5.595,1863796093,1863796123
101,"Fabric, fibre and yarn, and leather and dressed furs",[221],68.356,52.735,63.646,52.387,1863798703,1863798733
102,"Clothing, footwear and accessories",[231],105.114,82.548,130.826,64.824,1863801313,1863801343
103,"Carpets, textile furnishings and other textile products",[232],70.758,46.883,77.339,55.393,1863803923,1863803953
104,Converted paper products (except for packaging),[252],345.767,323.284,379.124,358.593,1863806533,1863806563
105,Published products and recorded media (except software),[481C],61.805,54.409,68.101,63.183,1863809143,1863809173
106,Software and software licensing,[482C],2.083,0.182,14.838,0.47,1863811753,1863811783
107,Pharmaceutical and medicinal products,[273],767.774,315.465,774.699,462.243,1863814363,1863814393
108,Furniture and fixtures,[391],523.359,500.94,545.299,523.206,1863816973,1863817003
109,Cleaning products and toiletries,[274],349.397,291.262,417.844,350.186,1863819583,1863819613
110,Appliances,[382],21.825,17.274,22.496,17.325,1863822193,1863822223
111,Miscellaneous goods and supplies,[475],429.477,302.635,847.976,784.127,1863824803,1863824833
113,Special transactions trade,[988],795.018,659.16,704.796,555.774,1863830023,1863830053
