date,value
1976-07-01,349722.9
1976-08-01,350715.0
1976-09-01,351087.0
1976-10-01,346272.3
1976-11-01,352199.9
1976-12-01,352980.5
1977-01-01,345270.0
1977-02-01,352332.8
1977-03-01,351656.8
1977-04-01,355467.6
1977-05-01,354520.1
1977-06-01,354717.2
1977-07-01,354610.2
1977-08-01,355738.2
1977-09-01,356324.6
1977-10-01,358059.7
1977-11-01,359437.5
1977-12-01,348495.6
1978-01-01,350906.4
1978-02-01,358271.3
1978-03-01,360927.3
1978-04-01,360734.8
1978-05-01,364087.3
1978-06-01,364362.3
1978-07-01,367391.2
1978-08-01,367862.7
1978-09-01,366725.9
1978-10-01,372120.4
1978-11-01,371676.3
1978-12-01,374122.4
1979-01-01,376833.5
1979-02-01,373628.8
1979-03-01,378027.0
1979-04-01,376122.2
1979-05-01,378677.1
1979-06-01,380846.7
1979-07-01,380329.8
1979-08-01,383896.0
1979-09-01,385122.7
1979-10-01,384802.5
1979-11-01,384726.6
1979-12-01,385356.0
1980-01-01,385943.0
1980-02-01,384327.4
1980-03-01,384425.4
1980-04-01,388402.2
1980-05-01,385443.0
1980-06-01,385937.5
1980-07-01,388952.8
1980-08-01,387368.6
1980-09-01,387811.0
1980-10-01,391625.5
1980-11-01,393531.8
1980-12-01,394330.3
1981-01-01,397216.3
1981-02-01,398802.2
1981-03-01,397471.3
1981-04-01,400024.8
1981-05-01,398233.7
1981-06-01,400040.5
1981-07-01,400418.4
1981-08-01,398266.5
1981-09-01,397978.4
1981-10-01,395119.5
1981-11-01,397238.5
1981-12-01,393887.4
1982-01-01,390374.7
1982-02-01,390318.6
1982-03-01,389248.7
1982-04-01,384092.3
1982-05-01,382883.5
1982-06-01,378961.8
1982-07-01,376906.4
1982-08-01,371738.4
1982-09-01,376318.1
1982-10-01,373355.5
1982-11-01,371731.4
1982-12-01,371635.5
1983-01-01,372779.7
1983-02-01,368572.2
1983-03-01,376180.6
1983-04-01,377781.4
1983-05-01,380481.1
1983-06-01,383949.8
1983-07-01,383435.4
1983-08-01,386834.9
1983-09-01,387445.3
1983-10-01,386304.4
1983-11-01,383901.9
1983-12-01,386207.8
1984-01-01,389959.0
1984-02-01,387240.2
1984-03-01,385167.9
1984-04-01,385263.1
1984-05-01,391108.3
1984-06-01,392581.1
1984-07-01,393163.6
1984-08-01,396820.4
1984-09-01,394655.1
1984-10-01,397254.5
1984-11-01,397379.4
1984-12-01,399912.4
1985-01-01,399399.8
1985-02-01,401305.1
1985-03-01,403753.3
1985-04-01,404716.3
1985-05-01,405580.2
1985-06-01,404013.5
1985-07-01,408951.5
1985-08-01,408345.9
1985-09-01,410351.7
1985-10-01,412022.2
1985-11-01,414685.6
1985-12-01,416635.9
1986-01-01,418665.5
1986-02-01,418155.1
1986-03-01,419000.0
1986-04-01,422914.4
1986-05-01,416762.7
1986-06-01,417527.4
1986-07-01,418626.9
1986-08-01,416972.8
1986-09-01,418778.3
1986-10-01,425154.6
1986-11-01,421276.0
1986-12-01,421655.9
1987-01-01,425991.3
1987-02-01,426497.6
1987-03-01,427901.6
1987-04-01,426397.2
1987-05-01,431721.5
1987-06-01,434171.4
1987-07-01,432763.3
1987-08-01,435987.8
1987-09-01,438733.9
1987-10-01,439398.2
1987-11-01,442583.4
1987-12-01,443139.6
1988-01-01,444147.4
1988-02-01,444757.3
1988-03-01,442108.7
1988-04-01,447078.8
1988-05-01,448978.3
1988-06-01,448872.7
1988-07-01,449612.8
1988-08-01,448521.4
1988-09-01,448281.9
1988-10-01,448247.0
1988-11-01,451047.2
1988-12-01,454277.1
1989-01-01,452552.2
1989-02-01,453993.7
1989-03-01,456173.1
1989-04-01,457718.1
1989-05-01,456501.8
1989-06-01,456925.1
1989-07-01,460634.5
1989-08-01,462431.7
1989-09-01,459515.1
1989-10-01,460830.8
1989-11-01,458110.6
1989-12-01,456890.5
1990-01-01,459118.0
1990-02-01,461089.7
1990-03-01,461395.5
1990-04-01,460282.9
1990-05-01,455280.8
1990-06-01,459273.2
1990-07-01,457441.1
1990-08-01,457968.4
1990-09-01,460161.0
1990-10-01,456441.3
1990-11-01,451195.4
1990-12-01,450094.8
1991-01-01,449069.3
1991-02-01,444805.0
1991-03-01,443303.8
1991-04-01,444668.2
1991-05-01,444213.4
1991-06-01,443324.1
