date,value
2000-01-05,38.74
2000-01-12,35.079
2000-01-19,33.421
2000-01-26,33.049
2000-02-02,32.999
2000-02-09,32.741
2000-02-16,32.480000000000004
2000-02-23,32.43
2000-03-01,32.523
2000-03-08,32.368
2000-03-15,32.152
2000-03-22,32.055
2000-03-29,32.268
2000-04-05,32.413000000000004
2000-04-12,32.325
2000-04-19,32.965
2000-04-26,32.956
2000-05-03,32.905
2000-05-10,32.847
2000-05-17,33.037
2000-05-24,33.410000000000004
2000-05-31,33.314
2000-06-07,33.237
2000-06-14,33.082
2000-06-21,33.118
2000-06-28,33.756
2000-07-05,34.139
2000-07-12,33.737
2000-07-19,33.543
2000-07-26,33.669000000000004
2000-08-02,34.15
2000-08-09,34.283
2000-08-16,33.701
2000-08-23,33.638
2000-08-30,34.201
2000-09-06,34.661
2000-09-13,34.072
2000-09-20,33.72
2000-09-27,33.815
2000-10-04,34.139
2000-10-11,34.325
2000-10-18,33.807
2000-10-25,33.758
2000-11-01,34.038000000000004
2000-11-08,34.227000000000004
2000-11-15,34.316
2000-11-22,33.891
2000-11-29,34.222
2000-12-06,34.561
2000-12-13,34.78
2000-12-20,35.802
2000-12-27,36.809
2001-01-03,36.099000000000004
2001-01-10,34.486000000000004
2001-01-17,33.723
2001-01-24,33.579
2001-01-31,33.76
2001-02-07,33.771
2001-02-14,33.719
2001-02-21,33.627
2001-02-28,33.822
2001-03-07,33.834
2001-03-14,33.687
2001-03-21,33.585
2001-03-28,33.86
2001-04-04,34.121
2001-04-11,34.805
2001-04-18,34.462
2001-04-25,34.334
2001-05-02,34.622
2001-05-09,34.687
2001-05-16,35.002
2001-05-23,35.428
2001-05-30,35.409
2001-06-06,35.266
2001-06-13,35.052
2001-06-20,35.044000000000004
2001-06-27,35.621
2001-07-04,36.024
2001-07-11,35.592
2001-07-18,35.381
2001-07-25,35.542
2001-08-01,36.115
2001-08-08,36.35
2001-08-15,35.815
2001-08-22,35.551
2001-08-29,36.004
2001-09-05,36.35
2001-09-12,35.998
2001-09-19,35.671
2001-09-26,35.792
2001-10-03,36.289
2001-10-10,36.46
2001-10-17,35.925000000000004
2001-10-24,35.746
2001-10-31,36.095
2001-11-07,36.300000000000004
2001-11-14,36.463
2001-11-21,36.059
2001-11-28,36.233000000000004
2001-12-05,36.588
2001-12-12,36.846000000000004
2001-12-19,37.635
2001-12-26,38.945
2002-01-02,38.559
2002-01-09,36.802
2002-01-16,36.048
2002-01-23,35.775
2002-01-30,35.909
2002-02-06,35.988
2002-02-13,35.883
2002-02-20,35.805
2002-02-27,35.925000000000004
2002-03-06,36.053
2002-03-13,35.872
2002-03-20,35.793
2002-03-27,36.675000000000004
2002-04-03,36.466
2002-04-10,36.175000000000004
2002-04-17,36.131
2002-04-24,36.219
2002-05-01,36.674
2002-05-08,36.678
2002-05-15,36.848
2002-05-22,37.158
2002-05-29,36.964
2002-06-05,37.057
2002-06-12,37.121
2002-06-19,37.37
2002-06-26,38.148
2002-07-03,38.655
2002-07-10,38.257
2002-07-17,38.363
2002-07-24,38.497
2002-07-31,39.09
2002-08-07,39.39
2002-08-14,38.968
2002-08-21,38.719
2002-08-28,39.062
2002-09-04,39.4
2002-09-11,38.852000000000004
2002-09-18,38.61
2002-09-25,38.697
2002-10-02,38.951
2002-10-09,39.065
2002-10-16,39.301
2002-10-23,38.639
2002-10-30,38.601
2002-11-06,38.742
2002-11-13,38.808
2002-11-20,38.378
2002-11-27,38.541000000000004
2002-12-04,38.871
2002-12-11,39.075
2002-12-18,39.773
2002-12-25,41.410000000000004
2003-01-01,41.147
2003-01-08,39.421
2003-01-15,38.435
2003-01-22,38.099000000000004
2003-01-29,38.191
2003-02-05,38.296
2003-02-12,38.117
2003-02-19,37.977000000000004
2003-02-26,38.047000000000004
2003-03-05,38.169000000000004
2003-03-12,37.977000000000004
2003-03-19,37.803
2003-03-26,37.926
2003-04-02,38.224000000000004
2003-04-09,38.197
2003-04-16,38.845
2003-04-23,38.567
2003-04-30,38.627
2003-05-07,38.701
2003-05-14,38.812
2003-05-21,39.108000000000004
2003-05-28,38.882
2003-06-04,38.989000000000004
2003-06-11,38.852000000000004
2003-06-18,38.846000000000004
2003-06-25,39.342
2003-07-02,40.079
2003-07-09,39.671
2003-07-16,39.391
2003-07-23,39.325
2003-07-30,39.832
2003-08-06,40.203
2003-08-13,39.669000000000004
2003-08-20,39.761
2003-08-27,40.058
2003-09-03,40.477000000000004
2003-09-10,39.861000000000004
2003-09-17,39.554
2003-09-24,39.543
2003-10-01,39.889
2003-10-08,40.035000000000004
2003-10-15,40.131
2003-10-22,39.694
2003-10-29,39.841
2003-11-05,39.989000000000004
2003-11-12,40.196
2003-11-19,39.718
2003-11-26,39.725
2003-12-03,40.095
2003-12-10,40.209
2003-12-17,40.743
2003-12-24,42.552
2003-12-31,42.191
2004-01-07,40.688
2004-01-14,39.67
2004-01-21,39.349000000000004
2004-01-28,39.387
2004-02-04,39.517
2004-02-11,39.28
2004-02-18,39.118
2004-02-25,39.233000000000004
2004-03-03,39.46
2004-03-10,39.314
2004-03-17,39.179
2004-03-24,39.2
2004-03-31,39.509
2004-04-07,40.224000000000004
2004-04-14,39.793
2004-04-21,39.557
2004-04-28,39.858000000000004
2004-05-05,40.148
2004-05-12,40.133
2004-05-19,40.441
2004-05-26,40.96
2004-06-02,40.9
2004-06-09,40.832
2004-06-16,40.749
2004-06-23,41.013
2004-06-30,42.08
2004-07-07,41.7
2004-07-14,41.405
2004-07-21,41.308
2004-07-28,41.622
2004-08-04,42.096000000000004
2004-08-11,41.606
2004-08-18,41.377
2004-08-25,41.354
2004-09-01,41.896
2004-09-08,42.191
2004-09-15,41.556
2004-09-22,41.367
2004-09-29,41.678000000000004
2004-10-06,42.031
2004-10-13,42.21
2004-10-20,41.586
2004-10-27,41.549
2004-11-03,41.731
2004-11-10,42.077
2004-11-17,41.596000000000004
2004-11-24,41.431
2004-12-01,41.792
2004-12-08,41.992
2004-12-15,42.263
2004-12-22,43.362
2004-12-29,44.4
2005-01-05,43.480000000000004
2005-01-12,41.936
2005-01-19,41.331
2005-01-26,41.258
2005-02-02,41.447
2005-02-09,41.379
2005-02-16,41.206
2005-02-23,41.268
2005-03-02,41.498
2005-03-09,41.393
2005-03-16,41.191
2005-03-23,41.76
2005-03-30,41.627
2005-04-06,41.507
2005-04-13,41.39
2005-04-20,41.405
2005-04-27,41.739000000000004
2005-05-04,42.099000000000004
2005-05-11,42.119
2005-05-18,42.354
2005-05-25,42.912
2005-06-01,42.817
2005-06-08,42.803000000000004
2005-06-15,42.633
2005-06-22,42.813
2005-06-29,43.839
2005-07-06,43.546
2005-07-13,43.317
2005-07-20,43.175000000000004
2005-07-27,43.632
2005-08-03,44.115
2005-08-10,43.597
2005-08-17,43.324
2005-08-24,43.198
2005-08-31,43.784
2005-09-07,44.206
2005-09-14,43.466
2005-09-21,43.196
2005-09-28,43.4
2005-10-05,43.764
2005-10-12,44.036
2005-10-19,43.437
2005-10-26,43.351
2005-11-02,43.6
2005-11-09,43.993
2005-11-16,43.602000000000004
2005-11-23,43.410000000000004
2005-11-30,43.788000000000004
2005-12-07,44.113
2005-12-14,44.242000000000004
2005-12-21,45.294000000000004
2005-12-28,46.257
2006-01-04,45.323
2006-01-11,43.857
2006-01-18,43.255
2006-01-25,43.17
2006-02-01,43.51
2006-02-08,43.479
2006-02-15,43.196
2006-02-22,43.157000000000004
2006-03-01,43.364000000000004
2006-03-08,43.299
2006-03-15,43.146
2006-03-22,43.037
2006-03-29,43.276
2006-04-05,43.64
2006-04-12,44.407000000000004
2006-04-19,44.021
2006-04-26,43.977000000000004
2006-05-03,44.258
2006-05-10,44.218
2006-05-17,44.391
2006-05-24,44.819
2006-05-31,44.717
2006-06-07,44.689
2006-06-14,44.608000000000004
2006-06-21,44.72
2006-06-28,45.296
2006-07-05,45.824
2006-07-12,45.332
2006-07-19,45.196
2006-07-26,45.283
2006-08-02,45.844
2006-08-09,46.072
2006-08-16,45.471000000000004
2006-08-23,45.324
2006-08-30,45.77
2006-09-06,46.269
2006-09-13,45.612
2006-09-20,45.372
2006-09-27,45.531
2006-10-04,46.024
2006-10-11,46.286
2006-10-18,45.724000000000004
2006-10-25,45.647
2006-11-01,45.977000000000004
2006-11-08,46.107
2006-11-15,46.285000000000004
2006-11-22,45.803000000000004
2006-11-29,46.129
2006-12-06,46.431000000000004
2006-12-13,46.656
2006-12-20,47.728
2006-12-27,49.024
2007-01-03,47.986000000000004
2007-01-10,46.373
2007-01-17,45.724000000000004
2007-01-24,45.524
2007-01-31,45.772
2007-02-07,45.819
2007-02-14,45.639
2007-02-21,45.537
2007-02-28,45.719
2007-03-07,45.753
2007-03-14,45.567
2007-03-21,45.451
2007-03-28,45.583
2007-04-04,46.83
2007-04-11,46.345
2007-04-18,46.077
2007-04-25,46.293
2007-05-02,46.734
2007-05-09,46.694
2007-05-16,46.918
2007-05-23,47.259
2007-05-30,47.091
2007-06-06,47.149
2007-06-13,46.989000000000004
2007-06-20,47.051
2007-06-27,47.726
2007-07-04,48.356
2007-07-11,47.713
2007-07-18,47.472
2007-07-25,47.498
2007-08-01,48.077
2007-08-08,48.31
2007-08-15,47.724000000000004
2007-08-22,47.573
2007-08-29,48.06
2007-09-05,48.539
2007-09-12,47.867000000000004
2007-09-19,47.644
2007-09-26,47.752
2007-10-03,48.214
2007-10-10,48.336
2007-10-17,47.688
2007-10-24,47.497
2007-10-31,47.843
2007-11-07,47.986000000000004
2007-11-14,48.005
2007-11-21,47.499
2007-11-28,47.674
2007-12-05,48.104
2007-12-12,48.269
2007-12-19,49.33
2007-12-26,50.724000000000004
2008-01-02,50.157000000000004
2008-01-09,48.156
2008-01-16,47.408
2008-01-23,47.145
2008-01-30,47.252
2008-02-06,47.346000000000004
2008-02-13,47.230000000000004
2008-02-20,47.264
2008-02-27,47.17
2008-03-05,47.287
2008-03-12,47.179
2008-03-19,47.652
2008-03-26,47.418
2008-04-02,47.548
2008-04-09,47.491
2008-04-16,47.438
2008-04-23,47.594
2008-04-30,48.164
2008-05-07,48.31
2008-05-14,48.514
2008-05-21,48.917
2008-05-28,48.629
2008-06-04,48.853
2008-06-11,48.782000000000004
2008-06-18,48.799
2008-06-25,49.300000000000004
2008-07-02,50.176
2008-07-09,49.729
2008-07-16,49.444
2008-07-23,49.403
2008-07-30,49.911
2008-08-06,50.432
2008-08-13,49.875
2008-08-20,49.703
2008-08-27,50.082
2008-09-03,50.692
2008-09-10,50.142
2008-09-17,49.829
2008-09-24,49.833
2008-10-01,50.299
2008-10-08,50.598
2008-10-15,50.866
2008-10-22,50.522
2008-10-29,50.772
2008-11-05,51.116
2008-11-12,51.318
2008-11-19,50.909
2008-11-26,51.098
2008-12-03,51.576
2008-12-10,51.74
2008-12-17,52.269
2008-12-24,54.074
2008-12-31,53.731
2009-01-07,52.249
2009-01-14,51.272
2009-01-21,50.872
2009-01-28,50.952
2009-02-04,51.126
2009-02-11,50.957
