date,value
2000-01-05,20.491
2000-01-12,20.491
2000-01-19,20.491
2000-01-26,20.491
2000-02-02,20.303
2000-02-09,20.303
2000-02-16,20.713
2000-02-23,20.713
2000-03-01,20.688
2000-03-08,20.688
2000-03-15,20.213
2000-03-22,20.587
2000-03-29,20.587
2000-04-05,20.587
2000-04-12,20.587
2000-04-19,20.587
2000-04-26,20.872
2000-05-03,21.233
2000-05-10,21.233
2000-05-17,21.646
2000-05-24,21.646
2000-05-31,21.646
2000-06-07,21.646
2000-06-14,21.646
2000-06-21,22.006
2000-06-28,22.006
2000-07-05,21.901
2000-07-12,21.901
2000-07-19,21.901
2000-07-26,21.902
2000-08-02,22.295
2000-08-09,22.295
2000-08-16,22.702
2000-08-23,22.706
2000-08-30,22.706
2000-09-06,22.624
2000-09-13,22.624
2000-09-20,22.975
2000-09-27,22.976
2000-10-04,22.976
2000-10-11,22.976
2000-10-18,23.267
2000-10-25,23.267
2000-11-01,23.637
2000-11-08,23.637
2000-11-15,24.008
2000-11-22,24.008
2000-11-29,24.358
2000-12-06,23.658
2000-12-13,23.658
2000-12-20,23.636
2000-12-27,23.636
2001-01-03,23.636
2001-01-10,23.636
2001-01-17,23.636
2001-01-24,23.636
2001-01-31,24.025000000000002
2001-02-07,23.89
2001-02-14,24.274
2001-02-21,24.274
2001-02-28,24.274
2001-03-07,24.203
2001-03-14,24.203
2001-03-21,24.561
2001-03-28,24.561
2001-04-04,24.561
2001-04-11,24.561
2001-04-18,24.561
2001-04-25,24.837
2001-05-02,24.723
2001-05-09,25.105
2001-05-16,25.105
2001-05-23,25.105
2001-05-30,25.104
2001-06-06,24.76
2001-06-13,24.76
2001-06-20,25.109
2001-06-27,25.109
2001-07-04,25.109
2001-07-11,25.109
2001-07-18,25.109
2001-07-25,25.112000000000002
2001-08-01,25.479
2001-08-08,25.479
2001-08-15,25.478
2001-08-22,25.861
2001-08-29,25.861
2001-09-05,25.229
2001-09-12,25.229
2001-09-19,25.229
2001-09-26,25.229
2001-10-03,25.127
2001-10-10,25.127
2001-10-17,25.426000000000002
2001-10-24,25.426000000000002
2001-10-31,25.799
2001-11-07,25.799
2001-11-14,25.799
2001-11-21,26.173000000000002
2001-11-28,26.173000000000002
2001-12-05,25.777
2001-12-12,25.777
2001-12-19,25.777
2001-12-26,25.777
2002-01-02,25.776
2002-01-09,25.776
2002-01-16,25.776
2002-01-23,26.086000000000002
2002-01-30,26.086000000000002
2002-02-06,25.962
2002-02-13,26.333000000000002
2002-02-20,26.7
2002-02-27,26.7
2002-03-06,26.7
2002-03-13,27.047
2002-03-20,26.946
2002-03-27,26.946
2002-04-03,26.902
2002-04-10,26.902
2002-04-17,26.902
2002-04-24,27.249000000000002
2002-05-01,27.182000000000002
2002-05-08,27.182000000000002
2002-05-15,27.182000000000002
2002-05-22,27.528000000000002
2002-05-29,27.528000000000002
2002-06-05,27.157
2002-06-12,27.157
2002-06-19,27.157
2002-06-26,27.157
2002-07-03,27.157
2002-07-10,27.157
2002-07-17,27.442
2002-07-24,27.442
2002-07-31,27.442
2002-08-07,27.814
2002-08-14,27.814
2002-08-21,28.178
2002-08-28,28.178
2002-09-04,26.951
2002-09-11,26.951
2002-09-18,26.951
2002-09-25,26.951
2002-10-02,26.951
2002-10-09,26.951
2002-10-16,26.951
2002-10-23,26.951
2002-10-30,26.951
2002-11-06,27.309
2002-11-13,27.309
2002-11-20,27.664
2002-11-27,27.664
2002-12-04,27.303
2002-12-11,27.303
2002-12-18,27.22
2002-12-25,27.22
2003-01-01,27.22
2003-01-08,27.22
2003-01-15,27.22
2003-01-22,27.486
2003-01-29,27.486
2003-02-05,27.37
2003-02-12,27.733
2003-02-19,27.733
2003-02-26,28.088
2003-03-05,28.088
2003-03-12,28.437
2003-03-19,28.437
2003-03-26,28.437
2003-04-02,28.437
2003-04-09,28.437
2003-04-16,28.437
2003-04-23,28.437
2003-04-30,28.437
2003-05-07,28.437
2003-05-14,28.806
2003-05-21,28.806
2003-05-28,28.806
2003-06-04,28.425
2003-06-11,28.425
2003-06-18,28.695
2003-06-25,28.695
2003-07-02,28.695
2003-07-09,28.695
2003-07-16,28.954
2003-07-23,28.954
2003-07-30,28.954
2003-08-06,28.954
2003-08-13,29.321
2003-08-20,29.321
2003-08-27,29.321
2003-09-03,28.211000000000002
2003-09-10,28.211000000000002
2003-09-17,28.211000000000002
2003-09-24,28.46
2003-10-01,28.339000000000002
2003-10-08,28.339000000000002
2003-10-15,28.339000000000002
2003-10-22,28.697
2003-10-29,28.697
2003-11-05,28.697
2003-11-12,28.697
2003-11-19,28.697
2003-11-26,28.697
2003-12-03,28.316
2003-12-10,28.316
2003-12-17,28.316
2003-12-24,28.665
2003-12-31,28.665
2004-01-07,28.665
2004-01-14,28.665
2004-01-21,28.912
2004-01-28,28.912
2004-02-04,28.735
2004-02-11,29.09
2004-02-18,29.09
2004-02-25,29.427
2004-03-03,29.427
2004-03-10,29.427
2004-03-17,29.782
2004-03-24,29.781000000000002
2004-03-31,29.781000000000002
2004-04-07,29.781000000000002
2004-04-14,29.781000000000002
2004-04-21,29.781000000000002
2004-04-28,29.781000000000002
2004-05-05,30.118000000000002
2004-05-12,30.118000000000002
2004-05-19,30.448
2004-05-26,30.448
2004-06-02,29.975
2004-06-09,29.974
2004-06-16,29.974
2004-06-23,29.974
2004-06-30,29.974
2004-07-07,29.974
2004-07-14,29.974
2004-07-21,30.191
2004-07-28,30.19
2004-08-04,30.19
2004-08-11,30.19
2004-08-18,30.528000000000002
2004-08-25,30.528000000000002
2004-09-01,29.219
2004-09-08,29.218
2004-09-15,29.218
2004-09-22,29.497
2004-09-29,29.497
2004-10-06,29.439
2004-10-13,29.438000000000002
2004-10-20,29.645
2004-10-27,29.645
2004-11-03,29.645
2004-11-10,29.645
2004-11-17,29.644000000000002
2004-11-24,29.958000000000002
2004-12-01,29.283
2004-12-08,29.283
2004-12-15,29.562
2004-12-22,29.562
2004-12-29,29.562
2005-01-05,29.562
2005-01-12,29.562
2005-01-19,29.706
2005-01-26,29.705000000000002
2005-02-02,29.705000000000002
2005-02-09,29.918
2005-02-16,29.918
2005-02-23,30.221
2005-03-02,30.156000000000002
2005-03-09,30.155
2005-03-16,30.155
2005-03-23,30.404
2005-03-30,30.403000000000002
2005-04-06,30.403000000000002
2005-04-13,30.403000000000002
2005-04-20,30.403000000000002
2005-04-27,30.403000000000002
2005-05-04,30.402
2005-05-11,30.617
2005-05-18,30.617
2005-05-25,30.922
2005-06-01,30.222
