date,value
2000-01-05,0.002
2000-01-12,1.203
2000-01-19,0.017
2000-01-26,0.015
2000-02-02,0.014
2000-02-09,0.011
2000-02-16,0.011
2000-02-23,0.016
2000-03-01,0.016
2000-03-08,0.02
2000-03-15,0.01
2000-03-22,0.622
2000-03-29,0.016
2000-04-05,0.012
2000-04-12,0.016
2000-04-19,0.012
2000-04-26,0.01
2000-05-03,0.02
2000-05-10,0.016
2000-05-17,0.013000000000000001
2000-05-24,0.013000000000000001
2000-05-31,0.01
2000-06-07,0.014
2000-06-14,0.005
2000-06-21,0.014
2000-06-28,0.016
2000-07-05,0.012
2000-07-12,0.012
2000-07-19,0.011
2000-07-26,0.011
2000-08-02,0.012
2000-08-09,0.014
2000-08-16,0.01
2000-08-23,0.014
2000-08-30,0.014
2000-09-06,0.018000000000000002
2000-09-13,0.015
2000-09-20,0.014
2000-09-27,0.011
2000-10-04,0.009000000000000001
2000-10-11,0.017
2000-10-18,0.014
2000-10-25,0.015
2000-11-01,0.012
2000-11-08,0.013000000000000001
2000-11-15,0.015
2000-11-22,0.016
2000-11-29,0.011
2000-12-06,0.01
2000-12-13,0.016
2000-12-20,0.016
2000-12-27,0.015
2001-01-03,0.012
2001-01-10,0.101
2001-01-17,0.434
2001-01-24,0.437
2001-01-31,0.012
2001-02-07,0.146
2001-02-14,0.6
2001-02-21,0.799
2001-02-28,0.417
2001-03-07,0.457
2001-03-14,0.635
2001-03-21,1.365
2001-03-28,1.112
2001-04-04,1.0130000000000001
2001-04-11,0.9580000000000001
2001-04-18,1.472
2001-04-25,1.3760000000000001
2001-05-02,0.934
2001-05-09,1.444
2001-05-16,1.158
2001-05-23,1.573
2001-05-30,2.258
2001-06-06,1.93
2001-06-13,2.08
2001-06-20,1.715
2001-06-27,1.391
2001-07-04,1.207
2001-07-11,1.414
2001-07-18,1.814
2001-07-25,1.4040000000000001
2001-08-01,1.305
2001-08-08,1.177
2001-08-15,2.278
2001-08-22,3.348
2001-08-29,2.944
2001-09-05,1.428
2001-09-12,0.617
2001-09-19,1.3820000000000001
2001-09-26,1.558
2001-10-03,1.195
2001-10-10,1.172
2001-10-17,1.992
2001-10-24,2.089
2001-10-31,1.037
2001-11-07,1.926
2001-11-14,1.895
2001-11-21,2.7800000000000002
2001-11-28,2.682
2001-12-05,1.937
2001-12-12,2.1550000000000002
2001-12-19,2.477
2001-12-26,1.333
2002-01-02,1.592
2002-01-09,1.594
2002-01-16,2.339
2002-01-23,2.749
2002-01-30,2.493
2002-02-06,2.216
2002-02-13,2.695
2002-02-20,2.934
2002-02-27,2.848
2002-03-06,2.0180000000000002
2002-03-13,2.628
2002-03-20,2.438
2002-03-27,1.1500000000000001
2002-04-03,1.685
2002-04-10,2.041
2002-04-17,2.208
2002-04-24,2.517
2002-05-01,1.5330000000000001
2002-05-08,2.086
2002-05-15,1.996
2002-05-22,2.199
2002-05-29,2.6510000000000002
2002-06-05,1.745
2002-06-12,1.92
2002-06-19,2.4010000000000002
2002-06-26,1.865
2002-07-03,1.542
2002-07-10,1.36
2002-07-17,1.594
2002-07-24,1.83
2002-07-31,1.2530000000000001
2002-08-07,1.77
2002-08-14,2.172
2002-08-21,3.1470000000000002
2002-08-28,2.765
2002-09-04,1.244
2002-09-11,1.847
2002-09-18,1.989
2002-09-25,1.956
2002-10-02,1.79
2002-10-09,1.705
2002-10-16,1.6560000000000001
2002-10-23,2.343
2002-10-30,2.231
2002-11-06,2.844
2002-11-13,2.6790000000000003
2002-11-20,3.559
2002-11-27,3.064
2002-12-04,1.939
2002-12-11,0.974
2002-12-18,2.606
2002-12-25,1.04
2003-01-01,0.535
2003-01-08,1.668
2003-01-15,2.372
2003-01-22,2.023
2003-01-29,1.927
2003-02-05,1.389
2003-02-12,1.98
2003-02-19,1.6620000000000001
2003-02-26,1.983
2003-03-05,1.427
2003-03-12,1.974
2003-03-19,1.899
2003-03-26,1.863
2003-04-02,0.879
2003-04-09,1.349
2003-04-16,0.895
2003-04-23,1.205
2003-04-30,1.193
2003-05-07,1.25
2003-05-14,1.471
2003-05-21,1.258
2003-05-28,2.081
2003-06-04,1.1300000000000001
2003-06-11,1.064
2003-06-18,1.419
2003-06-25,1.17
2003-07-02,0.8240000000000001
2003-07-09,0.979
2003-07-16,1.8800000000000001
2003-07-23,1.861
2003-07-30,1.266
2003-08-06,1.162
2003-08-13,2.099
2003-08-20,1.975
2003-08-27,1.645
2003-09-03,0.537
2003-09-10,1.232
2003-09-17,1.5350000000000001
2003-09-24,1.282
2003-10-01,0.842
2003-10-08,0.89
2003-10-15,1.024
2003-10-22,1.841
2003-10-29,1.724
2003-11-05,1.6560000000000001
2003-11-12,1.5230000000000001
2003-11-19,2.109
2003-11-26,2.403
2003-12-03,1.125
2003-12-10,1.733
2003-12-17,2.206
2003-12-24,0.888
2003-12-31,0.533
2004-01-07,1.022
2004-01-14,1.383
2004-01-21,1.447
2004-01-28,1.413
2004-02-04,0.877
2004-02-11,1.536
