date,value
2007-10-03,0.747
2007-10-10,0.6
2007-10-17,0.0
2007-10-24,0.0
2007-10-31,0.929
2007-11-07,0.0
2007-11-14,0.0
2007-11-21,0.866
2007-11-28,0.0
2007-12-05,0.0
2007-12-12,0.621
2007-12-19,3.956
2007-12-26,4.272
2008-01-02,3.956
2008-01-09,1.923
2008-01-16,0.0
2008-01-23,0.0
2008-01-30,0.0
2008-02-06,0.0
2008-02-13,0.0
2008-02-20,0.0
2008-02-27,0.0
2008-03-05,0.0
2008-03-12,0.451
2008-03-19,0.0
2008-03-26,2.141
2008-04-02,3.4010000000000002
2008-04-09,4.2090000000000005
2008-04-16,4.2090000000000005
2008-04-23,4.12
2008-04-30,5.578
2008-05-07,4.022
2008-05-14,4.022
2008-05-21,3.936
2008-05-28,3.936
2008-06-04,2.992
2008-06-11,2.992
2008-06-18,2.016
2008-06-25,2.016
2008-07-02,0.976
2008-07-09,0.976
2008-07-16,0.0
2008-07-23,0.0
2008-07-30,0.927
2008-08-06,0.0
2008-08-13,0.0
2008-08-20,0.0
2008-08-27,0.0
2008-09-03,0.0
2008-09-10,0.0
2008-09-17,0.0
2008-09-24,1.933
2008-10-01,3.835
2008-10-08,8.156
2008-10-15,11.817
2008-10-22,19.696
2008-10-29,22.559
2008-11-05,24.150000000000002
2008-11-12,27.857
2008-11-19,28.34
2008-11-26,32.069
2008-12-03,32.657000000000004
2008-12-10,35.393
2008-12-17,34.601
2008-12-24,38.031
2008-12-31,35.327
2009-01-07,35.337
2009-01-14,34.286
2009-01-21,34.602000000000004
2009-01-28,32.697
2009-02-04,36.693
2009-02-11,33.621
2009-02-18,37.811
2009-02-25,35.433
2009-03-04,35.679
2009-03-11,36.044000000000004
2009-03-18,33.694
2009-03-25,33.682
2009-04-01,34.244
2009-04-08,32.834
2009-04-15,31.407
2009-04-22,31.389
2009-04-29,29.334
2009-05-06,29.400000000000002
2009-05-13,27.665
2009-05-20,27.442
2009-05-27,24.056
2009-06-03,23.909
2009-06-10,26.589000000000002
2009-06-17,29.708000000000002
2009-06-24,29.744
