date,value
2020-07-29,0.091
2020-08-05,0.88
2020-08-12,0.166
2020-08-19,0.03
2020-08-26,0.048
2020-09-02,0.032
2020-09-09,0.452
2020-09-16,0.037
2020-09-23,1.178
2020-09-30,0.532
2020-10-07,1.035
2020-10-14,1.33
2020-10-21,0.844
2020-10-28,0.426
2020-11-04,0.882
2020-11-11,0.786
2020-11-18,0.23500000000000001
2020-11-25,1.302
2020-12-02,1.666
2020-12-09,1.6580000000000001
2020-12-16,1.987
2020-12-23,2.832
2020-12-30,2.8850000000000002
2021-01-06,3.6910000000000003
2021-01-13,2.878
2021-01-20,3.873
2021-01-27,6.953
2021-02-03,8.488
2021-02-10,7.206
2021-02-17,7.016
2021-02-24,7.198
2021-03-03,9.186
2021-03-10,8.516
2021-03-17,16.419
2021-03-24,19.381
2021-03-31,18.759
2021-04-07,19.309
2021-04-14,19.154
2021-04-21,18.702
2021-04-28,18.924
2021-05-05,24.479
2021-05-12,25.618000000000002
2021-05-19,25.742
2021-05-26,27.851
2021-06-02,23.934
2021-06-09,28.072
2021-06-16,26.287
2021-06-23,28.119
2021-06-30,25.387
2021-07-07,28.609
2021-07-14,27.48
2021-07-21,27.402
2021-07-28,26.206
2021-08-04,30.007
2021-08-11,29.782
2021-08-18,28.874000000000002
2021-08-25,28.863
2021-09-01,30.93
2021-09-08,28.801000000000002
2021-09-15,29.274
2021-09-22,29.591
2021-09-29,27.503
2021-10-06,29.855
2021-10-13,30.102
2021-10-20,32.465
2021-10-27,32.848
2021-11-03,32.3
2021-11-10,32.791000000000004
2021-11-17,32.973
2021-11-24,34.503
2021-12-01,35.396
2021-12-08,36.502
2021-12-15,37.288000000000004
2021-12-22,37.550000000000004
2021-12-29,37.635
2022-01-05,38.485
2022-01-12,33.766
2022-01-19,33.2
2022-01-26,35.486000000000004
2022-02-02,37.800000000000004
2022-02-09,34.765
2022-02-16,34.366
2022-02-23,35.536
2022-03-02,29.732
2022-03-09,39.412
2022-03-16,39.355000000000004
2022-03-23,38.241
2022-03-30,37.183
2022-04-06,37.101
2022-04-13,38.259
2022-04-20,36.816
2022-04-27,44.579
2022-05-04,41.426
2022-05-11,38.087
2022-05-18,42.410000000000004
2022-05-25,44.348
2022-06-01,43.138
2022-06-08,42.997
2022-06-15,42.658
2022-06-22,41.027
2022-06-29,36.581
2022-07-06,39.114000000000004
2022-07-13,37.951
2022-07-20,37.63
2022-07-27,38.066
2022-08-03,34.011
2022-08-10,25.184
2022-08-17,23.449
2022-08-24,22.476
2022-08-31,21.487000000000002
2022-09-07,26.739
2022-09-14,26.762
2022-09-21,26.492
2022-09-28,26.758
2022-10-05,23.732
2022-10-12,21.923000000000002
2022-10-19,18.63
2022-10-26,19.743000000000002
2022-11-02,21.01
2022-11-09,21.101
2022-11-16,20.157
2022-11-23,17.147000000000002
2022-11-30,20.251
2022-12-07,19.169
2022-12-14,18.529
2022-12-21,19.092
2022-12-28,19.485
2023-01-04,16.777
2023-01-11,16.068
2023-01-18,15.215
2023-01-25,15.351
2023-02-01,14.695
2023-02-08,15.234
2023-02-15,13.963000000000001
2023-02-22,13.696
2023-03-01,14.639000000000001
2023-03-08,13.173
2023-03-15,13.327
2023-03-22,11.098
2023-03-29,16.248
2023-04-05,15.445
2023-04-12,18.471
2023-04-19,17.603
2023-04-26,15.854000000000001
2023-05-03,11.496
2023-05-10,14.905000000000001
2023-05-17,13.931000000000001
2023-05-24,14.797
2023-05-31,13.097
2023-06-07,15.039
2023-06-14,20.448
2023-06-21,15.783
2023-06-28,19.606
2023-07-05,17.101
2023-07-12,15.438
2023-07-19,11.764000000000001
2023-07-26,10.214
2023-08-02,15.831
2023-08-09,15.344000000000001
2023-08-16,11.945
2023-08-23,10.567
2023-08-30,10.721
2023-09-06,11.604000000000001
2023-09-13,11.292
2023-09-20,9.235
2023-09-27,9.935
2023-10-04,10.719
2023-10-11,9.941
2023-10-18,9.198
2023-10-25,9.870000000000001
2023-11-01,3.968
2023-11-08,6.247
2023-11-15,7.269
2023-11-22,5.456
2023-11-29,6.76
2023-12-06,5.9270000000000005
2023-12-13,5.811
2023-12-20,5.811
2023-12-27,6.631
2024-01-03,6.332
2024-01-10,5.3180000000000005
2024-01-17,6.687
2024-01-24,6.022
2024-01-31,5.864
2024-02-07,7.03
2024-02-14,6.596
2024-02-21,5.619
2024-02-28,4.964
2024-03-06,5.9030000000000005
2024-03-13,5.485
2024-03-20,4.635
2024-03-27,3.879
2024-04-03,5.362
2024-04-10,4.621
2024-04-17,4.376
2024-04-24,2.8770000000000002
2024-05-01,2.839
2024-05-08,3.59
2024-05-15,2.955
2024-05-22,4.635
2024-05-29,4.226
2024-06-05,4.852
2024-06-12,5.364
2024-06-19,3.754
2024-06-26,3.835
2024-07-03,4.985
2024-07-10,4.072
2024-07-17,4.894
2024-07-24,5.22
2024-07-31,5.0600000000000005
2024-08-07,7.097
2024-08-14,6.6290000000000004
2024-08-21,5.461
2024-08-28,5.958
2024-09-04,4.183
2024-09-11,3.612
2024-09-18,2.766
2024-09-25,3.212
2024-10-02,0.0
2024-10-09,0.0
2024-10-16,0.0
2024-10-23,0.0
2024-10-30,0.0
2024-11-06,0.0
2024-11-13,0.0
2024-11-20,0.0
2024-11-27,0.0
2024-12-04,0.0
2024-12-11,0.0
2024-12-18,0.0
2024-12-25,0.0
2025-01-01,0.0
2025-01-08,0.0
2025-01-15,0.0
2025-01-22,0.0
2025-01-29,0.0
2025-02-05,0.0
2025-02-12,0.0
2025-02-19,0.0
2025-02-26,0.0
2025-03-05,0.0
2025-03-12,0.0
2025-03-19,0.0
2025-03-26,0.0
2025-04-02,0.0
2025-04-09,0.0
2025-04-16,0.0
2025-04-23,0.0
2025-04-30,0.0
2025-05-07,0.0
2025-05-14,0.0
2025-05-21,0.0
2025-05-28,0.0
2025-06-04,0.0
2025-06-11,0.0
2025-06-18,0.0
2025-06-25,0.0
2025-07-02,0.0
2025-07-09,0.0
2025-07-16,0.0
2025-07-23,0.0
2025-07-30,0.0
2025-08-06,0.0
2025-08-13,0.0
2025-08-20,0.0
2025-08-27,0.0
2025-09-03,0.0
2025-09-10,0.0
2025-09-17,0.0
2025-09-24,0.0
2025-10-01,0.0
2025-10-08,0.0
2025-10-15,0.0
2025-10-22,0.0
2025-10-29,0.0
2025-11-05,0.0
2025-11-12,0.0
2025-11-19,0.0
2025-11-26,0.0
2025-12-03,0.0
2025-12-10,0.0
2025-12-17,0.0
2025-12-24,0.0
2025-12-31,0.0
2026-01-07,0.0
2026-01-14,0.0
2026-01-21,0.0
2026-01-28,0.0
2026-02-04,0.0
2026-02-11,0.0
2026-02-18,0.0
