date,value
2000-01-05,1.518
2000-01-12,0.9480000000000001
2000-01-19,1.002
2000-01-26,0.883
2000-02-02,1.963
2000-02-09,0.715
2000-02-16,0.923
2000-02-23,1.0070000000000001
2000-03-01,1.1320000000000001
2000-03-08,0.779
2000-03-15,2.204
2000-03-22,0.779
2000-03-29,1.131
2000-04-05,0.8290000000000001
2000-04-12,1.048
2000-04-19,0.9380000000000001
2000-04-26,1.092
2000-05-03,0.9560000000000001
2000-05-10,0.677
2000-05-17,0.771
2000-05-24,0.725
2000-05-31,1.393
2000-06-07,0.554
2000-06-14,0.51
2000-06-21,0.8180000000000001
2000-06-28,1.2750000000000001
2000-07-05,0.457
2000-07-12,0.493
2000-07-19,0.562
2000-07-26,0.465
2000-08-02,0.5700000000000001
2000-08-09,0.629
2000-08-16,0.498
2000-08-23,0.166
2000-08-30,0.661
2000-09-06,0.427
2000-09-13,0.489
2000-09-20,0.518
2000-09-27,0.361
2000-10-04,0.505
2000-10-11,0.635
2000-10-18,0.787
2000-10-25,0.59
2000-11-01,1.81
2000-11-08,0.427
2000-11-15,0.634
2000-11-22,0.504
2000-11-29,0.582
2000-12-06,0.279
2000-12-13,0.671
2000-12-20,0.545
2000-12-27,0.6
2001-01-03,0.581
2001-01-10,0.499
2001-01-17,0.266
2001-01-24,0.362
2001-01-31,0.784
2001-02-07,0.389
2001-02-14,0.451
2001-02-21,0.279
2001-02-28,1.434
2001-03-07,0.36
2001-03-14,0.326
2001-03-21,0.272
2001-03-28,0.361
2001-04-04,0.5640000000000001
2001-04-11,0.384
2001-04-18,0.5760000000000001
2001-04-25,0.545
2001-05-02,0.755
2001-05-09,0.492
2001-05-16,0.249
2001-05-23,0.34500000000000003
2001-05-30,3.096
2001-06-06,0.624
2001-06-13,0.406
2001-06-20,0.526
2001-06-27,0.429
2001-07-04,0.961
2001-07-11,0.43
2001-07-18,0.501
2001-07-25,0.435
2001-08-01,0.93
2001-08-08,0.586
2001-08-15,0.40700000000000003
2001-08-22,0.299
2001-08-29,0.311
2001-09-05,0.761
2001-09-12,1.026
2001-09-19,0.607
2001-09-26,0.453
2001-10-03,0.555
2001-10-10,0.442
2001-10-17,0.254
2001-10-24,0.364
2001-10-31,1.353
2001-11-07,0.20800000000000002
2001-11-14,0.463
2001-11-21,0.377
2001-11-28,0.53
2001-12-05,0.382
2001-12-12,0.359
2001-12-19,0.455
2001-12-26,0.8310000000000001
2002-01-02,1.122
2002-01-09,0.591
2002-01-16,0.515
2002-01-23,0.55
2002-01-30,0.7030000000000001
2002-02-06,0.429
2002-02-13,0.439
2002-02-20,0.437
2002-02-27,0.5630000000000001
2002-03-06,0.463
2002-03-13,0.274
2002-03-20,0.586
2002-03-27,0.8300000000000001
2002-04-03,1.115
2002-04-10,0.425
2002-04-17,0.602
2002-04-24,0.253
2002-05-01,1.274
2002-05-08,0.34700000000000003
2002-05-15,0.438
2002-05-22,0.665
2002-05-29,0.444
2002-06-05,0.523
2002-06-12,0.7000000000000001
2002-06-19,0.436
2002-06-26,0.358
2002-07-03,0.655
2002-07-10,0.41200000000000003
2002-07-17,0.785
2002-07-24,0.29
2002-07-31,1.383
2002-08-07,0.35100000000000003
2002-08-14,0.52
2002-08-21,0.322
2002-08-28,0.319
2002-09-04,0.783
2002-09-11,0.588
2002-09-18,0.623
2002-09-25,0.785
2002-10-02,0.552
2002-10-09,0.491
2002-10-16,0.508
2002-10-23,0.401
2002-10-30,0.584
2002-11-06,0.597
2002-11-13,0.686
2002-11-20,0.51
2002-11-27,0.869
2002-12-04,0.508
2002-12-11,0.423
2002-12-18,1.175
2002-12-25,0.47400000000000003
2003-01-01,1.191
2003-01-08,0.403
2003-01-15,0.585
2003-01-22,0.317
2003-01-29,0.373
2003-02-05,0.502
2003-02-12,0.277
2003-02-19,0.488
2003-02-26,0.532
2003-03-05,0.589
2003-03-12,0.5710000000000001
2003-03-19,0.422
2003-03-26,0.628
2003-04-02,1.115
2003-04-09,0.585
2003-04-16,0.586
2003-04-23,0.52
2003-04-30,1.04
2003-05-07,0.385
2003-05-14,0.384
2003-05-21,0.307
2003-05-28,0.544
2003-06-04,0.438
2003-06-11,0.5670000000000001
2003-06-18,0.35100000000000003
2003-06-25,0.649
2003-07-02,1.047
2003-07-09,1.12
2003-07-16,0.497
2003-07-23,0.369
2003-07-30,0.533
2003-08-06,0.402
2003-08-13,0.293
2003-08-20,0.5710000000000001
2003-08-27,0.615
2003-09-03,0.365
2003-09-10,0.668
2003-09-17,0.52
2003-09-24,0.41100000000000003
2003-10-01,0.845
2003-10-08,0.41000000000000003
2003-10-15,0.664
2003-10-22,0.389
2003-10-29,0.467
2003-11-05,0.109
2003-11-12,0.061
2003-11-19,0.05
2003-11-26,0.058
2003-12-03,0.056
2003-12-10,0.059000000000000004
2003-12-17,0.05
2003-12-24,0.05
2003-12-31,0.5
2004-01-07,0.049
2004-01-14,0.05
2004-01-21,0.05
2004-01-28,0.05
2004-02-04,0.05
2004-02-11,0.05
2004-02-18,0.05
2004-02-25,0.05
2004-03-03,0.056
2004-03-10,0.055
2004-03-17,0.514
2004-03-24,0.05
2004-03-31,0.2
2004-04-07,0.052000000000000005
2004-04-14,0.05
2004-04-21,0.05
2004-04-28,0.11
2004-05-05,0.05
2004-05-12,0.051000000000000004
2004-05-19,0.05
2004-05-26,0.05
2004-06-02,0.05
2004-06-09,0.05
2004-06-16,0.05
2004-06-23,0.05
2004-06-30,0.907
2004-07-07,0.052000000000000005
2004-07-14,0.05
2004-07-21,0.056
2004-07-28,0.05
2004-08-04,0.05
2004-08-11,0.05
2004-08-18,0.05
2004-08-25,0.07100000000000001
2004-09-01,0.2
2004-09-08,0.051000000000000004
2004-09-15,0.05
2004-09-22,0.052000000000000005
2004-09-29,0.20500000000000002
2004-10-06,0.054
2004-10-13,0.05
2004-10-20,0.05
2004-10-27,0.1
2004-11-03,0.05
2004-11-10,0.05
2004-11-17,0.05
2004-11-24,0.05
2004-12-01,0.3
2004-12-08,0.051000000000000004
2004-12-15,0.05
2004-12-22,0.05
2004-12-29,0.05
2005-01-05,0.254
2005-01-12,0.05
2005-01-19,0.05
2005-01-26,0.05
2005-02-02,0.051000000000000004
2005-02-09,0.051000000000000004
2005-02-16,0.066
2005-02-23,0.166
2005-03-02,0.063
2005-03-09,0.05
2005-03-16,0.011
2005-03-23,0.085
2005-03-30,0.1
2005-04-06,0.051000000000000004
2005-04-13,0.05
2005-04-20,0.05
2005-04-27,0.05
2005-05-04,0.052000000000000005
2005-05-11,0.05
2005-05-18,0.05
2005-05-25,0.05
2005-06-01,0.17500000000000002
2005-06-08,0.05
2005-06-15,0.061
2005-06-22,0.05
2005-06-29,0.1
2005-07-06,0.062
2005-07-13,0.05
2005-07-20,0.05
2005-07-27,0.05
2005-08-03,0.052000000000000005
2005-08-10,0.05
2005-08-17,0.05
2005-08-24,0.05
2005-08-31,0.2
2005-09-07,0.054
2005-09-14,0.05
2005-09-21,0.05
2005-09-28,0.05
2005-10-05,0.05
2005-10-12,0.05
