date,value
2000-01-05,41.081
2000-01-12,37.816
2000-01-19,35.029
2000-01-26,34.537
2000-02-02,35.62
2000-02-09,34.485
2000-02-16,34.121
2000-02-23,35.17
2000-03-01,34.447
2000-03-08,33.995
2000-03-15,35.106
2000-03-22,34.244
2000-03-29,34.234
2000-04-05,34.033
2000-04-12,34.36
2000-04-19,34.667
2000-04-26,34.864
2000-05-03,34.625
2000-05-10,34.333
2000-05-17,34.986000000000004
2000-05-24,34.902
2000-05-31,35.544000000000004
2000-06-07,34.559
2000-06-14,34.338
2000-06-21,34.721000000000004
2000-06-28,35.983000000000004
2000-07-05,35.24
2000-07-12,35.965
2000-07-19,35.713
2000-07-26,34.926
2000-08-02,35.44
2000-08-09,35.958
2000-08-16,34.956
2000-08-23,34.558
2000-08-30,35.695
2000-09-06,35.855000000000004
2000-09-13,35.364
2000-09-20,34.998
2000-09-27,35.012
2000-10-04,35.39
2000-10-11,35.761
2000-10-18,35.373
2000-10-25,35.168
2000-11-01,36.644
2000-11-08,35.443
2000-11-15,35.726
2000-11-22,35.685
2000-11-29,35.654
2000-12-06,35.615
2000-12-13,36.278
2000-12-20,37.377
2000-12-27,38.485
2001-01-03,37.226
2001-01-10,35.628
2001-01-17,35.019
2001-01-24,35.001
2001-01-31,35.225
2001-02-07,35.001
2001-02-14,35.517
2001-02-21,35.479
2001-02-28,36.475
2001-03-07,35.505
2001-03-14,35.539
2001-03-21,36.007
2001-03-28,36.146
2001-04-04,36.488
2001-04-11,36.980000000000004
2001-04-18,37.314
2001-04-25,37.155
2001-05-02,37.104
2001-05-09,37.443
2001-05-16,37.202
2001-05-23,38.164
2001-05-30,41.623
2001-06-06,38.624
2001-06-13,38.333
2001-06-20,38.058
2001-06-27,38.245
2001-07-04,38.968
2001-07-11,38.254
2001-07-18,38.501
2001-07-25,38.227000000000004
2001-08-01,39.211
2001-08-08,38.959
2001-08-15,39.322
2001-08-22,40.06
2001-08-29,40.142
2001-09-05,39.389
2001-09-12,38.511
2001-09-19,38.47
2001-09-26,38.655
2001-10-03,38.833
2001-10-10,38.912
2001-10-17,38.94
2001-10-24,39.009
2001-10-31,39.315
2001-11-07,39.192
2001-11-14,39.62
2001-11-21,39.943
2001-11-28,40.213
2001-12-05,39.619
2001-12-12,40.118
2001-12-19,41.295
2001-12-26,41.855000000000004
2002-01-02,42.008
2002-01-09,39.603
2002-01-16,39.511
2002-01-23,39.74
2002-01-30,39.778
2002-02-06,39.334
2002-02-13,39.752
2002-02-20,39.94
2002-02-27,40.135
2002-03-06,39.376
2002-03-13,39.636
2002-03-20,39.586
2002-03-27,39.472
2002-04-03,40.055
2002-04-10,39.458
2002-04-17,39.714
2002-04-24,39.793
2002-05-01,40.239000000000004
2002-05-08,39.904
2002-05-15,40.04
2002-05-22,40.809
2002-05-29,40.892
2002-06-05,40.075
2002-06-12,40.52
2002-06-19,40.968
2002-06-26,41.146
2002-07-03,41.648
2002-07-10,40.857
2002-07-17,41.561
2002-07-24,41.44
2002-07-31,42.579
2002-08-07,42.329
2002-08-14,42.513
2002-08-21,42.987
2002-08-28,42.99
2002-09-04,42.211
2002-09-11,42.103
2002-09-18,42.004
2002-09-25,42.305
2002-10-02,42.067
2002-10-09,42.074
2002-10-16,42.238
2002-10-23,42.186
2002-10-30,42.255
2002-11-06,42.945
2002-11-13,42.971000000000004
2002-11-20,43.215
2002-11-27,43.281
2002-12-04,42.077
2002-12-11,41.718
2002-12-18,44.339
2002-12-25,43.784
2003-01-01,43.964
2003-01-08,42.1
2003-01-15,42.042
2003-01-22,41.116
2003-01-29,41.196
2003-02-05,40.925000000000004
2003-02-12,41.131
2003-02-19,40.942
2003-02-26,41.405
2003-03-05,41.031
2003-03-12,41.441
2003-03-19,40.998
2003-03-26,41.255
2003-04-02,41.048
2003-04-09,40.995
2003-04-16,41.156
2003-04-23,41.146
2003-04-30,41.751
2003-05-07,41.144
2003-05-14,41.503
2003-05-21,41.459
2003-05-28,42.339
2003-06-04,41.367
2003-06-11,41.341
2003-06-18,41.410000000000004
2003-06-25,42.002
2003-07-02,42.763
2003-07-09,42.638
2003-07-16,42.612
2003-07-23,42.426
2003-07-30,42.537
2003-08-06,42.611000000000004
2003-08-13,42.933
2003-08-20,43.151
2003-08-27,43.225
2003-09-03,42.258
2003-09-10,42.643
2003-09-17,42.45
2003-09-24,42.105000000000004
2003-10-01,42.398
2003-10-08,42.175000000000004
2003-10-15,42.618
2003-10-22,42.768
2003-10-29,42.910000000000004
2003-11-05,42.606
2003-11-12,42.669000000000004
2003-11-19,42.707
2003-11-26,43.052
2003-12-03,42.089
2003-12-10,42.845
2003-12-17,43.829
2003-12-24,44.351
2003-12-31,44.118
2004-01-07,42.398
2004-01-14,41.741
2004-01-21,41.518
2004-01-28,41.576
2004-02-04,41.236000000000004
2004-02-11,41.657000000000004
2004-02-18,41.403
2004-02-25,41.801
2004-03-03,41.505
2004-03-10,41.589
2004-03-17,42.244
2004-03-24,41.826
2004-03-31,42.369
2004-04-07,41.885
2004-04-14,42.014
2004-04-21,42.159
2004-04-28,42.424
2004-05-05,42.679
2004-05-12,42.679
2004-05-19,43.063
2004-05-26,43.197
2004-06-02,43.029
2004-06-09,42.628
2004-06-16,42.67
2004-06-23,43.278
2004-06-30,44.845
2004-07-07,43.641
2004-07-14,43.408
2004-07-21,43.685
2004-07-28,43.99
2004-08-04,43.923
2004-08-11,44.018
2004-08-18,44.475
2004-08-25,44.531
2004-09-01,43.729
2004-09-08,43.774
2004-09-15,43.88
2004-09-22,43.599000000000004
2004-09-29,43.819
2004-10-06,44.068
2004-10-13,44.253
2004-10-20,44.216
2004-10-27,44.496
2004-11-03,44.492000000000004
2004-11-10,44.625
2004-11-17,44.602000000000004
2004-11-24,45.375
2004-12-01,44.113
2004-12-08,43.887
2004-12-15,45.467
2004-12-22,46.358000000000004
2004-12-29,46.395
2005-01-05,45.336
2005-01-12,43.821
2005-01-19,43.628
2005-01-26,43.687
2005-02-02,43.448
2005-02-09,43.714
2005-02-16,43.266
2005-02-23,43.709
2005-03-02,43.6
2005-03-09,43.624
2005-03-16,43.825
2005-03-23,44.094
2005-03-30,44.114000000000004
2005-04-06,44.124
2005-04-13,43.842
2005-04-20,43.935
2005-04-27,44.133
2005-05-04,44.154
2005-05-11,44.68
2005-05-18,44.738
2005-05-25,45.585
2005-06-01,44.806
2005-06-08,45.132
2005-06-15,45.012
2005-06-22,45.204
2005-06-29,45.755
2005-07-06,45.554
2005-07-13,45.732
2005-07-20,45.962
2005-07-27,46.018
2005-08-03,46.235
2005-08-10,46.305
2005-08-17,46.511
2005-08-24,47.065
2005-08-31,47.635
2005-09-07,45.833
2005-09-14,45.535000000000004
2005-09-21,45.386
2005-09-28,45.666000000000004
2005-10-05,45.662
2005-10-12,46.075
2005-10-19,45.756
2005-10-26,45.923
2005-11-02,45.85
2005-11-09,46.192
2005-11-16,46.242000000000004
2005-11-23,46.692
2005-11-30,46.988
2005-12-07,46.108000000000004
2005-12-14,46.882
2005-12-21,48.678000000000004
2005-12-28,48.381
2006-01-04,48.328
2006-01-11,46.483000000000004
2006-01-18,45.584
2006-01-25,45.658
2006-02-01,45.402
2006-02-08,46.019
2006-02-15,45.548
2006-02-22,45.791000000000004
2006-03-01,45.478
2006-03-08,45.529
2006-03-15,45.53
2006-03-22,45.487
2006-03-29,45.562
2006-04-05,45.412
2006-04-12,46.242000000000004
2006-04-19,45.89
2006-04-26,46.662
2006-05-03,46.697
2006-05-10,47.866
2006-05-17,47.371
2006-05-24,47.789
2006-05-31,48.199
2006-06-07,47.079
2006-06-14,47.165
2006-06-21,47.193
2006-06-28,47.737
2006-07-05,48.025
2006-07-12,47.525
2006-07-19,47.61
2006-07-26,47.814
2006-08-02,48.19
2006-08-09,48.67
2006-08-16,48.656
2006-08-23,49.053000000000004
2006-08-30,49.165
2006-09-06,48.653
2006-09-13,48.061
2006-09-20,48.104
2006-09-27,48.316
2006-10-04,48.31
2006-10-11,48.713
2006-10-18,48.99
2006-10-25,48.838
2006-11-01,49.902
2006-11-08,49.016
2006-11-15,49.058
2006-11-22,49.415
2006-11-29,49.454
2006-12-06,48.397
2006-12-13,49.781
2006-12-20,50.615
2006-12-27,50.646
2007-01-03,50.058
2007-01-10,48.279
2007-01-17,48.048
2007-01-24,48.136
2007-01-31,48.249
2007-02-07,48.253
2007-02-14,48.523
2007-02-21,48.073
2007-02-28,48.07
2007-03-07,48.868
2007-03-14,47.889
2007-03-21,47.928000000000004
2007-03-28,48.342
2007-04-04,49.647
2007-04-11,48.652
2007-04-18,48.696
2007-04-25,49.1
2007-05-02,49.141
2007-05-09,49.806000000000004
2007-05-16,49.759
2007-05-23,50.004
2007-05-30,51.391
2007-06-06,49.166000000000004
2007-06-13,49.584
