date,value
2003-01-01,15.0
2003-04-01,39.0
2003-07-01,43.0
2003-10-01,40.0
2004-01-01,45.0
2004-04-01,21.0
2004-07-01,33.0
2004-10-01,29.0
2005-01-01,33.0
2005-04-01,18.0
2005-07-01,10.0
2005-10-01,14.0
2006-01-01,15.0
2006-04-01,15.0
2006-07-01,15.0
2006-10-01,26.0
2007-01-01,28.0
2007-04-01,14.0
2007-07-01,16.0
2007-10-01,30.0
2008-01-01,28.0
2008-04-01,13.0
2008-07-01,18.0
2008-10-01,43.0
2009-01-01,37.0
2009-04-01,49.0
2009-07-01,49.0
2009-10-01,61.0
2010-01-01,54.0
2010-04-01,50.0
2010-07-01,53.0
2010-10-01,47.0
2011-01-01,21.0
2011-04-01,18.0
2011-07-01,41.0
2011-10-01,41.0
2012-01-01,28.0
2012-04-01,44.0
2012-07-01,52.0
2012-10-01,54.0
2013-01-01,61.0
2013-04-01,64.0
2013-07-01,70.0
2013-10-01,68.0
2014-01-01,63.0
2014-04-01,64.0
2014-07-01,59.0
2014-10-01,68.0
2015-01-01,60.0
2015-04-01,68.0
2015-07-01,63.0
2015-10-01,70.0
2016-01-01,60.0
2016-04-01,67.0
2016-07-01,76.0
2016-10-01,66.0
2017-01-01,64.0
2017-04-01,70.0
2017-07-01,55.0
2017-10-01,56.0
2018-01-01,41.0
2018-04-01,32.0
2018-07-01,36.0
2018-10-01,35.0
2019-01-01,64.0
2019-04-01,64.0
2019-07-01,64.0
2019-10-01,59.0
2020-01-01,53.0
2020-04-01,37.0
2020-07-01,44.0
2020-10-01,60.0
2021-01-01,35.0
2021-04-01,8.0
2021-07-01,10.0
2021-10-01,2.0
2022-01-01,1.0
2022-04-01,1.0
2022-07-01,2.0
2022-10-01,0.0
2023-01-01,1.0
2023-04-01,2.0
2023-07-01,4.0
2023-10-01,3.0
2024-01-01,3.0
2024-04-01,3.0
2024-07-01,10.0
2024-10-01,24.0
2025-01-01,23.0
2025-04-01,12.0
2025-07-01,21.0
2025-10-01,16.0
2026-01-01,14.0
