date,value
1992-01-01,83.1
1992-02-01,83.2
1992-03-01,83.6
1992-04-01,83.7
1992-05-01,83.9
1992-06-01,84.1
1992-07-01,84.1
1992-08-01,84.2
1992-09-01,84.3
1992-10-01,84.4
1992-11-01,84.5
1992-12-01,84.7
1993-01-01,84.9
1993-02-01,85.2
1993-03-01,85.2
1993-04-01,85.3
1993-05-01,85.4
1993-06-01,85.4
1993-07-01,85.5
1993-08-01,85.7
1993-09-01,85.8
1993-10-01,86.0
1993-11-01,86.1
1993-12-01,86.1
1994-01-01,86.0
1994-02-01,85.3
1994-03-01,85.3
1994-04-01,85.3
1994-05-01,85.2
1994-06-01,85.3
1994-07-01,85.6
1994-08-01,85.8
1994-09-01,85.9
1994-10-01,85.8
1994-11-01,86.1
1994-12-01,86.4
1995-01-01,86.6
1995-02-01,87.0
1995-03-01,87.2
1995-04-01,87.4
1995-05-01,87.7
1995-06-01,87.7
1995-07-01,87.8
1995-08-01,87.7
1995-09-01,87.8
1995-10-01,87.8
1995-11-01,87.9
1995-12-01,87.9
1996-01-01,88.0
1996-02-01,88.1
1996-03-01,88.5
1996-04-01,88.7
1996-05-01,88.9
1996-06-01,88.9
1996-07-01,88.9
1996-08-01,89.0
1996-09-01,89.1
1996-10-01,89.4
1996-11-01,89.7
1996-12-01,89.9
1997-01-01,90.0
1997-02-01,90.1
1997-03-01,90.2
1997-04-01,90.2
1997-05-01,90.2
1997-06-01,90.3
1997-07-01,90.4
1997-08-01,90.6
1997-09-01,90.6
1997-10-01,90.6
1997-11-01,90.5
1997-12-01,90.6
1998-01-01,91.1
1998-02-01,91.1
1998-03-01,91.1
1998-04-01,91.0
1998-05-01,91.1
1998-06-01,91.2
1998-07-01,91.2
1998-08-01,91.3
1998-09-01,91.1
1998-10-01,91.6
1998-11-01,91.6
1998-12-01,91.6
1999-01-01,91.8
1999-02-01,91.8
1999-03-01,92.0
1999-04-01,92.5
1999-05-01,92.6
1999-06-01,92.6
1999-07-01,92.8
1999-08-01,93.2
1999-09-01,93.5
1999-10-01,93.6
1999-11-01,93.7
1999-12-01,94.0
2000-01-01,94.0
2000-02-01,94.3
2000-03-01,94.8
2000-04-01,94.4
2000-05-01,94.7
2000-06-01,95.3
2000-07-01,95.6
2000-08-01,95.5
2000-09-01,95.9
2000-10-01,96.3
2000-11-01,96.8
2000-12-01,97.0
2001-01-01,96.8
2001-02-01,96.9
2001-03-01,97.1
2001-04-01,97.8
2001-05-01,98.4
2001-06-01,98.4
2001-07-01,98.1
2001-08-01,98.2
2001-09-01,98.4
2001-10-01,98.1
2001-11-01,97.4
2001-12-01,97.7
2002-01-01,98.1
2002-02-01,98.4
2002-03-01,98.8
2002-04-01,99.5
2002-05-01,99.4
2002-06-01,99.6
2002-07-01,100.3
2002-08-01,100.7
2002-09-01,100.8
2002-10-01,101.3
2002-11-01,101.6
2002-12-01,101.5
2003-01-01,102.4
2003-02-01,102.9
2003-03-01,103.0
2003-04-01,102.3
2003-05-01,102.1
2003-06-01,102.3
2003-07-01,102.5
2003-08-01,102.8
2003-09-01,103.0
2003-10-01,102.9
2003-11-01,103.1
2003-12-01,103.6
2004-01-01,103.7
2004-02-01,103.7
2004-03-01,103.7
2004-04-01,104.0
2004-05-01,104.7
2004-06-01,104.8
2004-07-01,104.8
2004-08-01,104.7
2004-09-01,104.8
2004-10-01,105.2
2004-11-01,105.7
2004-12-01,105.8
2005-01-01,105.8
2005-02-01,105.9
2005-03-01,106.2
2005-04-01,106.4
2005-05-01,106.3
2005-06-01,106.6
2005-07-01,106.8
2005-08-01,107.3
