date,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from table-service restaurants,Food purchased from fast food and take-out restaurants,Food purchased from cafeterias and other restaurants,Rent,Tenants' insurance premiums,"Tenants' maintenance, repairs and other expenses",Mortgage interest cost,Homeowners' replacement cost,Property taxes and other special charges,Homeowners' home and mortgage insurance,Homeowners' maintenance and repairs,Other owned accommodation expenses,Electricity,Water,Natural gas,Fuel oil and other fuels,Communications,Child care and housekeeping services,Household cleaning products,"Paper, plastic and aluminum foil supplies",Other household goods and services,Furniture and household textiles,Household equipment,Services related to household furnishings and equipment,Women's clothing,Men's clothing,Children's clothing,Women's footwear (excluding athletic),Men's footwear (excluding athletic),Children's footwear (excluding athletic),Athletic footwear,Clothing accessories (2013=100),Watches,Jewellery,"Purchase, leasing and rental of passenger vehicles",Operation of passenger vehicles,Local and commuter transportation,Inter-city transportation,Health care goods,Health care services,Personal care supplies and equipment,Personal care services,Recreational equipment and services (excluding recreational vehicles),Purchase and operation of recreational vehicles,"Home entertainment equipment, parts and services",Travel services,Other cultural and recreational services,Education,Reading material (excluding textbooks),Alcoholic beverages served in licensed establishments,Alcoholic beverages purchased from stores,Cigarettes,Other tobacco products and smokers' supplies
1984-08-01,62.0,,68.1,65.2,80.4,71.8,,,,,64.1,64.0,74.3,86.1,59.8,49.6,49.0,65.7,,53.4,44.4,59.6,69.8,86.0,,75.8,62.5,,71.5,84.1,53.2,68.9,71.1,72.1,65.0,,,89.6,,86.7,,56.5,42.9,36.4,77.3,52.2,114.1,53.9,107.0,,,30.5,44.3,51.8,53.6,28.6,,,,
1984-09-01,62.6,,68.8,65.3,79.4,59.5,,,,,64.4,64.1,74.3,86.4,59.9,49.6,49.3,66.0,,53.4,44.6,59.9,71.0,86.0,,75.2,63.0,,71.7,84.8,53.4,69.7,71.5,71.7,66.0,,,88.1,,88.4,,56.5,42.9,35.7,76.9,52.2,114.1,53.9,107.6,,,32.0,44.3,51.8,53.8,28.7,,,,
1984-10-01,62.7,,69.0,65.2,77.1,60.7,,,,,64.6,64.9,74.3,86.6,59.8,52.4,49.3,66.3,,53.4,44.6,59.9,71.0,86.0,,75.7,63.1,,72.8,85.2,53.4,70.0,71.5,72.9,66.1,,,89.8,,88.4,,56.5,42.9,31.4,77.2,52.2,115.5,53.9,107.2,,,32.3,45.1,51.8,54.7,29.3,,,,
1984-11-01,62.3,,69.6,65.8,73.3,62.9,,,,,64.8,65.4,75.8,86.6,59.8,52.4,49.4,66.9,,53.4,44.6,59.9,74.9,86.0,,75.4,63.3,,72.2,85.7,53.9,70.3,71.6,72.5,66.4,,,91.9,,88.1,,57.7,43.0,31.2,77.2,52.7,115.8,54.3,107.3,,,32.3,45.4,52.7,54.7,29.5,,,,
1984-12-01,63.6,,69.9,66.4,70.5,60.3,,,,,65.0,65.4,75.2,86.7,59.9,52.4,49.1,66.7,,53.5,44.6,60.3,74.9,86.1,,76.3,63.3,,72.8,85.3,54.0,69.7,70.9,72.1,66.3,,,91.5,,88.0,,58.2,43.0,32.2,77.3,52.7,114.7,54.3,106.2,,,32.3,45.4,52.7,54.8,29.4,,,,
1985-01-01,63.4,59.0,70.8,67.0,71.5,65.5,74.2,56.1,58.9,,65.2,65.0,76.7,86.9,60.0,52.4,48.8,67.3,,55.0,46.3,60.0,76.8,86.9,55.6,76.2,63.4,60.8,72.2,85.2,54.0,68.5,70.9,72.1,65.1,68.2,,91.1,81.7,86.4,63.3,58.7,44.5,31.3,77.6,52.7,114.9,54.4,106.2,49.3,41.6,32.3,45.7,52.7,54.7,29.5,,59.9,51.5,
1985-02-01,63.7,59.2,70.6,67.3,75.8,69.8,74.5,56.2,59.0,,65.4,64.6,78.1,87.0,60.2,52.4,49.0,67.7,,55.0,46.3,60.2,76.8,86.9,56.0,76.9,63.2,61.1,72.5,85.7,54.0,70.6,71.9,73.1,65.8,67.8,,90.0,81.6,87.3,63.4,58.5,44.6,32.8,78.4,53.4,115.5,54.4,106.8,51.0,41.6,32.5,46.1,52.9,54.7,29.6,,60.4,51.5,
1985-03-01,63.4,59.2,70.3,67.4,76.4,68.1,74.4,56.2,59.2,,65.4,65.1,78.1,87.3,60.2,52.4,49.1,68.0,,55.1,46.4,60.3,77.1,86.9,56.0,77.2,63.8,61.3,74.0,86.3,54.7,70.7,72.4,73.4,66.2,69.2,,90.7,80.5,86.7,63.4,58.3,44.6,35.0,77.9,53.4,115.5,54.4,106.9,51.9,41.6,32.6,46.5,53.2,54.7,29.6,,60.4,51.5,
1985-04-01,63.7,59.8,70.3,68.3,80.2,73.2,74.6,56.3,59.6,,65.6,65.8,78.7,87.5,60.5,52.4,49.4,67.9,,55.3,47.0,60.3,77.1,86.9,56.2,77.3,63.3,61.8,73.2,86.1,54.7,71.2,72.2,73.5,66.7,69.3,,90.6,79.1,86.0,63.5,58.4,44.9,35.1,77.3,53.4,115.2,54.7,104.9,52.3,41.6,32.6,46.6,53.2,55.3,29.8,,60.6,53.8,
1985-05-01,62.7,59.7,70.3,68.0,80.3,68.4,74.7,56.5,59.6,,65.8,64.8,79.9,87.6,60.6,52.4,49.4,68.2,,55.9,47.2,60.3,77.1,87.0,56.2,77.4,63.3,62.1,74.1,86.0,54.7,71.1,72.1,73.4,66.7,68.6,,91.5,80.5,84.7,63.4,58.3,45.0,36.4,77.9,53.9,115.1,56.2,105.0,53.6,42.4,32.6,46.8,54.0,56.0,31.5,,60.7,53.8,
