date,value
1976-06-01,22.8
1976-07-01,22.8
1976-08-01,22.8
1976-09-01,23.8
1976-10-01,24.1
1976-11-01,24.0
1976-12-01,24.0
1977-01-01,24.5
1977-02-01,24.5
1977-03-01,25.5
1977-04-01,25.7
1977-05-01,25.8
1977-06-01,25.8
1977-07-01,25.8
1977-08-01,25.8
1977-09-01,26.5
1977-10-01,26.7
1977-11-01,26.8
1977-12-01,26.7
1978-01-01,26.8
1978-02-01,27.1
1978-03-01,28.1
1978-04-01,28.0
1978-05-01,28.0
1978-06-01,27.9
1978-07-01,28.0
1978-08-01,28.4
1978-09-01,29.1
1978-10-01,29.1
1978-11-01,29.1
1978-12-01,29.3
1979-01-01,29.9
1979-02-01,30.0
1979-03-01,30.0
1979-04-01,30.2
1979-05-01,30.3
1979-06-01,30.3
1979-07-01,30.6
1979-08-01,30.7
1979-09-01,32.0
1979-10-01,32.3
1979-11-01,32.6
1979-12-01,33.0
1980-01-01,33.6
1980-02-01,33.7
1980-03-01,34.6
1980-04-01,34.9
1980-05-01,35.0
1980-06-01,35.2
1980-07-01,35.6
1980-08-01,36.0
1980-09-01,36.0
1980-10-01,38.3
1980-11-01,39.3
1980-12-01,39.4
1981-01-01,41.9
1981-02-01,42.1
1981-03-01,44.1
1981-04-01,44.1
1981-05-01,45.1
1981-06-01,47.3
1981-07-01,47.8
1981-08-01,48.0
1981-09-01,49.5
1981-10-01,50.0
1981-11-01,50.0
1981-12-01,51.4
1982-01-01,52.0
1982-02-01,52.1
1982-03-01,54.9
1982-04-01,55.1
1982-05-01,55.8
1982-06-01,55.9
1982-07-01,55.9
1982-08-01,56.4
1982-09-01,58.9
1982-10-01,58.2
1982-11-01,58.6
1982-12-01,58.6
1983-01-01,57.7
1983-02-01,56.6
1983-03-01,61.3
1983-04-01,58.5
1983-05-01,56.5
1983-06-01,61.6
1983-07-01,62.2
1983-08-01,62.6
1983-09-01,62.4
1983-10-01,61.8
1983-11-01,61.3
1983-12-01,62.2
1984-01-01,63.7
1984-02-01,64.0
1984-03-01,62.6
1984-04-01,62.8
1984-05-01,62.4
1984-06-01,63.0
1984-07-01,64.1
1984-08-01,63.3
1984-09-01,63.6
1984-10-01,63.6
1984-11-01,65.4
1984-12-01,66.1
1985-01-01,67.2
1985-02-01,67.0
1985-03-01,67.0
1985-04-01,67.0
1985-05-01,67.0
1985-06-01,66.8
1985-07-01,66.0
1985-08-01,66.2
1985-09-01,67.7
1985-10-01,68.1
1985-11-01,68.5
1985-12-01,68.8
1986-01-01,69.4
1986-02-01,69.4
1986-03-01,67.1
1986-04-01,62.6
1986-05-01,61.0
1986-06-01,60.8
1986-07-01,60.6
1986-08-01,60.4
1986-09-01,59.6
1986-10-01,59.1
1986-11-01,59.7
1986-12-01,59.9
1987-01-01,60.7
1987-02-01,62.0
1987-03-01,63.2
1987-04-01,63.6
1987-05-01,63.7
1987-06-01,64.4
1987-07-01,64.7
1987-08-01,65.0
1987-09-01,65.5
1987-10-01,65.3
1987-11-01,65.5
1987-12-01,65.5
1988-01-01,65.5
1988-02-01,64.6
1988-03-01,64.1
1988-04-01,64.8
1988-05-01,65.4
1988-06-01,65.2
1988-07-01,65.3
1988-08-01,64.2
1988-09-01,64.3
1988-10-01,63.9
1988-11-01,63.3
1988-12-01,63.1
1989-01-01,63.6
1989-02-01,64.0
1989-03-01,64.4
1989-04-01,65.0
1989-05-01,67.5
1989-06-01,67.9
1989-07-01,68.1
1989-08-01,68.1
1989-09-01,68.0
1989-10-01,67.8
1989-11-01,68.1
1989-12-01,67.8
1990-01-01,69.4
1990-02-01,70.2
1990-03-01,70.8
1990-04-01,71.4
1990-05-01,72.2
1990-06-01,72.6
1990-07-01,72.4
1990-08-01,72.6
1990-09-01,73.4
1990-10-01,76.7
1990-11-01,79.3
1990-12-01,79.2
1991-01-01,82.6
1991-02-01,77.9
1991-03-01,75.4
1991-04-01,74.1
1991-05-01,76.3
1991-06-01,76.5
1991-07-01,77.5
1991-08-01,77.3
1991-09-01,77.8
1991-10-01,76.3
1991-11-01,76.3
1991-12-01,75.4
1992-01-01,77.6
1992-02-01,75.6
1992-03-01,75.1
1992-04-01,75.2
1992-05-01,76.3
1992-06-01,77.5
1992-07-01,79.0
1992-08-01,78.1
1992-09-01,77.6
1992-10-01,77.5
1992-11-01,78.3
1992-12-01,78.2
1993-01-01,78.6
1993-02-01,78.2
1993-03-01,77.6
1993-04-01,77.7
1993-05-01,78.2
1993-06-01,78.9
1993-07-01,78.6
1993-08-01,78.1
1993-09-01,78.4
1993-10-01,78.0
1993-11-01,78.0
1993-12-01,77.1
1994-01-01,76.4
1994-02-01,77.3
1994-03-01,77.5
1994-04-01,77.4
1994-05-01,78.1
1994-06-01,79.2
1994-07-01,79.9
1994-08-01,80.6
1994-09-01,79.8
1994-10-01,78.2
1994-11-01,79.5
1994-12-01,78.8
1995-01-01,78.5
1995-02-01,78.7
1995-03-01,79.2
1995-04-01,79.5
1995-05-01,81.3
1995-06-01,81.2
1995-07-01,80.6
1995-08-01,79.5
1995-09-01,79.7
1995-10-01,78.8
1995-11-01,78.5
1995-12-01,79.5
1996-01-01,79.5
1996-02-01,79.3
1996-03-01,80.6
1996-04-01,81.7
1996-05-01,84.3
1996-06-01,83.1
1996-07-01,81.0
1996-08-01,81.1
1996-09-01,81.7
1996-10-01,83.4
1996-11-01,83.3
1996-12-01,83.8
1997-01-01,84.4
1997-02-01,84.9
1997-03-01,84.5
1997-04-01,83.1
1997-05-01,83.2
1997-06-01,83.6
1997-07-01,82.9
1997-08-01,84.6
1997-09-01,84.9
1997-10-01,84.2
1997-11-01,83.2
1997-12-01,82.9
1998-01-01,82.3
1998-02-01,80.8
1998-03-01,79.9
1998-04-01,80.0
1998-05-01,81.2
1998-06-01,81.1
1998-07-01,80.4
1998-08-01,80.3
1998-09-01,79.1
1998-10-01,80.8
1998-11-01,80.3
1998-12-01,79.4
1999-01-01,79.5
1999-02-01,78.9
1999-03-01,80.0
1999-04-01,83.0
1999-05-01,83.6
1999-06-01,83.0
1999-07-01,84.8
1999-08-01,87.8
1999-09-01,89.0
1999-10-01,90.1
1999-11-01,89.3
1999-12-01,91.3
2000-01-01,91.5
2000-02-01,94.2
2000-03-01,97.9
2000-04-01,94.3
2000-05-01,95.4
2000-06-01,99.1
2000-07-01,99.9
2000-08-01,98.2
2000-09-01,102.5
2000-10-01,103.8
2000-11-01,105.4
2000-12-01,103.7
2001-01-01,101.0
2001-02-01,100.2
2001-03-01,101.5
2001-04-01,105.2
2001-05-01,110.7
2001-06-01,109.3
2001-07-01,102.7
2001-08-01,102.9
2001-09-01,105.7
2001-10-01,101.0
2001-11-01,92.2
2001-12-01,91.9
2002-01-01,94.0
2002-02-01,94.4
2002-03-01,98.1
2002-04-01,99.9
2002-05-01,99.1
2002-06-01,98.0
2002-07-01,99.5
2002-08-01,102.9
2002-09-01,103.9
2002-10-01,106.8
2002-11-01,105.1
2002-12-01,98.4
2003-01-01,108.3
2003-02-01,113.0
2003-03-01,115.3
2003-04-01,106.0
2003-05-01,103.7
2003-06-01,105.7
2003-07-01,106.2
2003-08-01,110.7
2003-09-01,110.6
2003-10-01,105.7
2003-11-01,104.4
2003-12-01,105.1
2004-01-01,107.1
2004-02-01,109.5
2004-03-01,110.6
2004-04-01,112.8
2004-05-01,120.5
2004-06-01,119.4
2004-07-01,117.5
2004-08-01,117.6
2004-09-01,117.0
2004-10-01,119.5
2004-11-01,117.1
2004-12-01,113.6
2005-01-01,115.0
2005-02-01,117.5
2005-03-01,121.0
2005-04-01,124.9
2005-05-01,122.5
2005-06-01,124.1
2005-07-01,128.3
2005-08-01,132.2
2005-09-01,142.1
2005-10-01,135.6
2005-11-01,127.4
2005-12-01,125.2
2006-01-01,132.7
2006-02-01,127.1
2006-03-01,130.0
