date,value
1976-08-01,30.3
1976-09-01,30.4
1976-10-01,30.9
1976-11-01,31.1
1976-12-01,31.3
1977-01-01,31.4
1977-02-01,31.7
1977-03-01,31.9
1977-04-01,32.1
1977-05-01,32.2
1977-06-01,32.4
1977-07-01,32.6
1977-08-01,32.8
1977-09-01,32.9
1977-10-01,33.3
1977-11-01,33.5
1977-12-01,33.5
1978-01-01,33.8
1978-02-01,34.0
1978-03-01,34.2
1978-04-01,34.3
1978-05-01,34.4
1978-06-01,34.5
1978-07-01,34.8
1978-08-01,35.0
1978-09-01,35.2
1978-10-01,35.4
1978-11-01,35.7
1978-12-01,35.8
1979-01-01,35.9
1979-02-01,36.1
1979-03-01,36.3
1979-04-01,36.5
1979-05-01,36.9
1979-06-01,37.1
1979-07-01,37.3
1979-08-01,37.5
1979-09-01,37.8
1979-10-01,38.0
1979-11-01,38.3
1979-12-01,38.5
1980-01-01,38.7
1980-02-01,38.9
1980-03-01,39.2
1980-04-01,39.5
1980-05-01,39.7
1980-06-01,40.1
1980-07-01,40.4
1980-08-01,40.7
1980-09-01,41.0
1980-10-01,41.4
1980-11-01,41.5
1980-12-01,41.8
1981-01-01,42.4
1981-02-01,42.9
1981-03-01,43.2
1981-04-01,43.7
1981-05-01,44.0
1981-06-01,44.6
1981-07-01,45.0
1981-08-01,45.5
1981-09-01,45.8
1981-10-01,46.6
1981-11-01,47.1
1981-12-01,47.5
1982-01-01,48.2
1982-02-01,48.8
1982-03-01,49.2
1982-04-01,49.6
1982-05-01,50.0
1982-06-01,50.5
1982-07-01,51.0
1982-08-01,51.5
1982-09-01,51.6
1982-10-01,52.3
1982-11-01,52.7
1982-12-01,52.8
1983-01-01,52.8
1983-02-01,53.0
1983-03-01,53.2
1983-04-01,53.3
1983-05-01,53.5
1983-06-01,53.8
1983-07-01,54.1
1983-08-01,54.4
1983-09-01,54.5
1983-10-01,54.8
1983-11-01,54.9
1983-12-01,55.0
1984-01-01,55.0
1984-02-01,55.2
