date,value
2005-01-01,100.0
2005-02-01,99.8
2005-03-01,99.7
2005-04-01,99.4
2005-05-01,99.0
2005-06-01,99.4
2005-07-01,100.2
2005-08-01,101.9
2005-09-01,104.3
2005-10-01,107.4
2005-11-01,111.1
2005-12-01,114.5
2006-01-01,119.5
2006-02-01,124.5
2006-03-01,129.7
2006-04-01,135.8
2006-05-01,142.6
2006-06-01,149.5
2006-07-01,154.7
2006-08-01,159.1
2006-09-01,161.7
2006-10-01,163.4
2006-11-01,164.8
2006-12-01,167.2
2007-01-01,169.1
2007-02-01,171.5
2007-03-01,174.0
2007-04-01,175.7
2007-05-01,177.5
2007-06-01,178.4
2007-07-01,179.6
2007-08-01,180.1
2007-09-01,180.9
2007-10-01,180.6
2007-11-01,180.1
2007-12-01,179.0
2008-01-01,179.0
2008-02-01,177.7
2008-03-01,175.9
2008-04-01,173.9
2008-05-01,171.2
2008-06-01,169.0
2008-07-01,166.8
2008-08-01,166.2
2008-09-01,165.7
2008-10-01,164.6
2008-11-01,163.4
2008-12-01,161.4
2009-01-01,157.6
2009-02-01,155.4
2009-03-01,153.2
2009-04-01,151.9
2009-05-01,152.0
2009-06-01,153.6
2009-07-01,155.5
2009-08-01,157.7
2009-09-01,159.5
2009-10-01,162.2
2009-11-01,164.1
2009-12-01,167.1
2010-01-01,167.5
2010-02-01,168.1
2010-03-01,168.7
2010-04-01,168.7
2010-05-01,168.1
2010-06-01,166.9
2010-07-01,166.0
2010-08-01,164.7
2010-09-01,164.1
2010-10-01,163.0
2010-11-01,163.1
2010-12-01,162.8
2011-01-01,163.2
2011-02-01,163.5
2011-03-01,164.3
2011-04-01,164.8
2011-05-01,165.0
2011-06-01,165.7
2011-07-01,166.1
2011-08-01,166.2
2011-09-01,166.0
2011-10-01,166.2
2011-11-01,165.8
2011-12-01,166.9
2012-01-01,167.1
2012-02-01,167.3
2012-03-01,167.6
2012-04-01,168.6
2012-05-01,169.7
2012-06-01,170.9
2012-07-01,171.0
2012-08-01,171.9
2012-09-01,172.7
2012-10-01,173.9
2012-11-01,174.7
2012-12-01,175.6
2013-01-01,176.6
2013-02-01,178.0
2013-03-01,179.5
2013-04-01,180.4
2013-05-01,181.1
2013-06-01,182.1
2013-07-01,183.4
2013-08-01,184.8
2013-09-01,186.4
2013-10-01,187.9
2013-11-01,188.9
2013-12-01,190.5
2014-01-01,192.3
2014-02-01,195.0
2014-03-01,196.9
2014-04-01,198.5
2014-05-01,199.8
2014-06-01,200.7
2014-07-01,200.9
2014-08-01,201.1
2014-09-01,201.7
2014-10-01,202.2
2014-11-01,203.2
