date,value
2005-01-01,100.0
2005-02-01,100.5
2005-03-01,100.2
2005-04-01,100.2
2005-05-01,99.6
2005-06-01,99.7
2005-07-01,100.6
2005-08-01,101.0
2005-09-01,101.8
2005-10-01,104.4
2005-11-01,106.7
2005-12-01,109.1
2006-01-01,111.1
2006-02-01,113.8
2006-03-01,115.7
2006-04-01,121.3
2006-05-01,126.9
2006-06-01,133.0
2006-07-01,140.1
2006-08-01,147.3
2006-09-01,153.6
2006-10-01,159.1
2006-11-01,164.3
2006-12-01,170.1
2007-01-01,175.7
2007-02-01,182.3
2007-03-01,188.6
2007-04-01,194.5
2007-05-01,199.4
2007-06-01,203.9
2007-07-01,200.9
2007-08-01,198.8
2007-09-01,196.0
2007-10-01,192.6
2007-11-01,189.3
2007-12-01,187.4
2008-01-01,186.5
2008-02-01,185.8
2008-03-01,184.3
2008-04-01,181.8
2008-05-01,178.9
2008-06-01,175.9
2008-07-01,173.9
2008-08-01,172.0
2008-09-01,170.6
2008-10-01,169.5
2008-11-01,168.2
2008-12-01,166.8
2009-01-01,165.1
2009-02-01,163.0
2009-03-01,160.2
2009-04-01,160.9
2009-05-01,161.8
2009-06-01,163.8
2009-07-01,166.4
2009-08-01,168.7
2009-09-01,170.7
2009-10-01,172.7
2009-11-01,175.1
2009-12-01,176.6
2010-01-01,177.5
2010-02-01,178.5
2010-03-01,179.5
2010-04-01,179.9
2010-05-01,180.4
2010-06-01,179.7
2010-07-01,178.6
2010-08-01,177.5
2010-09-01,176.4
2010-10-01,176.1
2010-11-01,175.9
2010-12-01,176.3
2011-01-01,176.6
2011-02-01,176.2
2011-03-01,177.5
2011-04-01,178.0
2011-05-01,178.3
2011-06-01,178.4
2011-07-01,178.8
2011-08-01,179.2
2011-09-01,179.9
2011-10-01,180.0
2011-11-01,180.2
2011-12-01,180.0
2012-01-01,180.4
2012-02-01,181.2
2012-03-01,180.9
2012-04-01,182.6
2012-05-01,182.4
2012-06-01,183.1
2012-07-01,183.8
2012-08-01,183.7
2012-09-01,184.5
2012-10-01,185.6
2012-11-01,186.2
2012-12-01,187.2
2013-01-01,187.8
2013-02-01,188.7
2013-03-01,188.8
2013-04-01,189.6
2013-05-01,190.3
2013-06-01,191.4
2013-07-01,192.1
2013-08-01,193.2
2013-09-01,194.0
2013-10-01,194.5
2013-11-01,195.0
2013-12-01,196.3
2014-01-01,197.3
2014-02-01,198.7
2014-03-01,200.5
2014-04-01,201.8
2014-05-01,202.6
2014-06-01,203.1
2014-07-01,203.6
2014-08-01,204.5
2014-09-01,204.7
2014-10-01,205.5
2014-11-01,206.2
2014-12-01,207.9
2015-01-01,206.8
2015-02-01,206.2
2015-03-01,206.8
2015-04-01,206.1
2015-05-01,206.1
2015-06-01,205.0
2015-07-01,205.0
2015-08-01,204.6
2015-09-01,204.7
2015-10-01,204.6
2015-11-01,204.8
2015-12-01,203.8
2016-01-01,203.1
2016-02-01,202.8
2016-03-01,201.4
2016-04-01,200.6
2016-05-01,200.3
2016-06-01,201.1
2016-07-01,201.2
2016-08-01,202.3
2016-09-01,202.6
2016-10-01,202.9
2016-11-01,202.5
2016-12-01,202.5
2017-01-01,203.1
2017-02-01,203.0
2017-03-01,203.1
2017-04-01,204.0
2017-05-01,204.2
2017-06-01,204.2
2017-07-01,204.8
2017-08-01,204.1
2017-09-01,204.0
2017-10-01,203.2
2017-11-01,203.6
2017-12-01,204.0
2018-01-01,204.4
2018-02-01,205.5
2018-03-01,205.3
2018-04-01,205.1
2018-05-01,205.2
2018-06-01,204.6
2018-07-01,203.7
2018-08-01,203.0
2018-09-01,202.0
2018-10-01,202.0
2018-11-01,201.8
2018-12-01,201.9
2019-01-01,200.5
2019-02-01,199.8
2019-03-01,199.7
2019-04-01,199.6
2019-05-01,199.3
2019-06-01,198.9
2019-07-01,198.7
2019-08-01,198.7
2019-09-01,198.9
2019-10-01,199.6
2019-11-01,199.6
2019-12-01,199.0
2020-01-01,199.6
2020-02-01,198.0
2020-03-01,197.0
2020-04-01,195.0
2020-05-01,194.5
2020-06-01,196.0
2020-07-01,197.6
2020-08-01,200.5
2020-09-01,203.0
2020-10-01,204.5
2020-11-01,206.9
2020-12-01,207.7
2021-01-01,208.2
2021-02-01,208.8
2021-03-01,209.0
2021-04-01,211.6
2021-05-01,213.1
2021-06-01,213.5
2021-07-01,214.4
2021-08-01,215.2
2021-09-01,216.1
2021-10-01,218.9
2021-11-01,218.2
2021-12-01,218.2
2022-01-01,222.4
2022-02-01,226.4
2022-03-01,230.0
2022-04-01,232.3
2022-05-01,231.3
2022-06-01,229.5
2022-07-01,227.8
2022-08-01,223.8
2022-09-01,220.7
2022-10-01,217.4
2022-11-01,216.7
2022-12-01,215.5
2023-01-01,214.2
2023-02-01,212.1
2023-03-01,211.6
2023-04-01,210.7
2023-05-01,211.0
2023-06-01,212.1
2023-07-01,213.3
2023-08-01,215.4
2023-09-01,217.5
2023-10-01,218.6
2023-11-01,219.7
2023-12-01,220.1
2024-01-01,219.6
2024-02-01,220.5
2024-03-01,220.5
2024-04-01,222.4
2024-05-01,223.8
2024-06-01,227.0
2024-07-01,228.7
2024-08-01,231.3
2024-09-01,233.3
2024-10-01,234.7
2024-11-01,236.3
2024-12-01,236.8
2025-01-01,244.7
2025-02-01,247.2
2025-03-01,248.9
2025-04-01,247.8
2025-05-01,247.6
2025-06-01,246.4
2025-07-01,242.4
2025-08-01,244.8
2025-09-01,244.5
2025-10-01,245.1
2025-11-01,244.7
2025-12-01,244.0
2026-01-01,243.3
2026-02-01,242.3
2026-03-01,242.0
2026-04-01,244.2
