date,value
2005-01-01,100.0
2005-02-01,100.4
2005-03-01,100.7
2005-04-01,101.6
2005-05-01,100.6
2005-06-01,101.2
2005-07-01,101.7
2005-08-01,101.6
2005-09-01,102.0
2005-10-01,102.7
2005-11-01,102.8
2005-12-01,102.6
2006-01-01,103.1
2006-02-01,103.8
2006-03-01,103.8
2006-04-01,104.6
2006-05-01,104.7
2006-06-01,105.1
2006-07-01,105.0
2006-08-01,105.9
2006-09-01,106.2
2006-10-01,106.5
2006-11-01,107.2
2006-12-01,108.0
2007-01-01,109.0
2007-02-01,109.3
2007-03-01,110.3
2007-04-01,110.4
2007-05-01,111.5
2007-06-01,111.8
2007-07-01,112.9
2007-08-01,113.4
2007-09-01,114.2
2007-10-01,115.0
2007-11-01,115.8
2007-12-01,116.8
2008-01-01,116.7
2008-02-01,117.4
2008-03-01,118.1
2008-04-01,118.6
2008-05-01,118.9
2008-06-01,119.7
2008-07-01,119.7
2008-08-01,120.4
2008-09-01,120.5
2008-10-01,120.1
2008-11-01,120.1
2008-12-01,120.2
2009-01-01,120.1
2009-02-01,120.1
2009-03-01,120.0
2009-04-01,120.8
2009-05-01,121.4
2009-06-01,121.8
2009-07-01,122.9
2009-08-01,123.5
2009-09-01,124.3
2009-10-01,125.7
2009-11-01,127.0
2009-12-01,126.0
2010-01-01,128.0
2010-02-01,128.8
2010-03-01,129.7
2010-04-01,130.0
2010-05-01,131.5
2010-06-01,131.9
2010-07-01,132.6
2010-08-01,132.2
2010-09-01,132.8
2010-10-01,133.9
2010-11-01,135.1
2010-12-01,135.7
2011-01-01,136.1
2011-02-01,136.9
2011-03-01,137.5
2011-04-01,137.5
2011-05-01,137.8
2011-06-01,138.0
2011-07-01,138.5
2011-08-01,139.6
2011-09-01,140.3
2011-10-01,140.6
2011-11-01,140.6
2011-12-01,141.5
2012-01-01,142.5
2012-02-01,142.7
2012-03-01,143.0
2012-04-01,143.7
2012-05-01,143.8
2012-06-01,143.9
2012-07-01,144.4
2012-08-01,144.8
2012-09-01,145.0
2012-10-01,144.0
2012-11-01,144.0
2012-12-01,144.6
2013-01-01,144.8
2013-02-01,144.8
2013-03-01,145.1
2013-04-01,144.6
2013-05-01,144.7
2013-06-01,144.9
2013-07-01,145.0
2013-08-01,145.7
2013-09-01,144.5
2013-10-01,145.0
2013-11-01,144.9
2013-12-01,145.1
2014-01-01,145.5
2014-02-01,145.8
2014-03-01,145.1
2014-04-01,146.4
2014-05-01,145.5
2014-06-01,145.9
2014-07-01,145.7
2014-08-01,146.0
2014-09-01,146.7
2014-10-01,146.7
2014-11-01,147.6
2014-12-01,147.1
2015-01-01,146.7
2015-02-01,147.7
2015-03-01,148.6
2015-04-01,148.6
2015-05-01,149.4
2015-06-01,149.7
2015-07-01,149.2
2015-08-01,149.0
2015-09-01,149.8
2015-10-01,150.1
2015-11-01,150.5
2015-12-01,150.7
2016-01-01,151.3
2016-02-01,151.5
2016-03-01,151.9
2016-04-01,152.6
2016-05-01,153.3
2016-06-01,154.4
2016-07-01,154.9
2016-08-01,154.3
2016-09-01,155.6
2016-10-01,156.6
2016-11-01,157.7
2016-12-01,159.8
2017-01-01,159.0
2017-02-01,158.4
2017-03-01,160.4
2017-04-01,161.5
2017-05-01,162.6
2017-06-01,163.2
2017-07-01,164.4
2017-08-01,166.6
2017-09-01,165.8
2017-10-01,167.7
2017-11-01,168.1
2017-12-01,169.3
2018-01-01,169.3
2018-02-01,170.2
2018-03-01,170.8
2018-04-01,171.1
2018-05-01,172.1
2018-06-01,172.3
2018-07-01,173.9
2018-08-01,175.8
2018-09-01,176.8
2018-10-01,176.5
2018-11-01,177.7
2018-12-01,177.7
2019-01-01,178.9
2019-02-01,179.0
2019-03-01,179.2
2019-04-01,180.0
2019-05-01,180.7
2019-06-01,183.0
2019-07-01,184.1
2019-08-01,184.3
2019-09-01,188.2
2019-10-01,190.1
2019-11-01,190.5
2019-12-01,192.1
2020-01-01,195.1
2020-02-01,197.2
2020-03-01,199.6
2020-04-01,198.0
2020-05-01,197.2
2020-06-01,200.3
2020-07-01,206.1
2020-08-01,210.2
2020-09-01,213.4
2020-10-01,216.6
2020-11-01,219.8
2020-12-01,223.1
2021-01-01,224.2
2021-02-01,230.2
2021-03-01,240.0
2021-04-01,245.0
2021-05-01,248.6
2021-06-01,250.9
2021-07-01,250.9
2021-08-01,251.9
2021-09-01,254.0
2021-10-01,258.3
2021-11-01,262.8
2021-12-01,266.8
2022-01-01,277.4
2022-02-01,279.3
2022-03-01,282.4
2022-04-01,284.1
2022-05-01,285.4
2022-06-01,282.6
2022-07-01,277.6
2022-08-01,273.7
2022-09-01,268.7
2022-10-01,266.1
2022-11-01,265.4
2022-12-01,265.4
2023-01-01,266.0
2023-02-01,264.3
2023-03-01,264.9
2023-04-01,266.9
2023-05-01,268.8
2023-06-01,270.0
2023-07-01,273.7
2023-08-01,275.9
2023-09-01,275.2
2023-10-01,275.1
2023-11-01,275.4
2023-12-01,274.8
2024-01-01,276.8
2024-02-01,277.3
2024-03-01,279.8
2024-04-01,278.4
2024-05-01,279.4
2024-06-01,283.1
2024-07-01,282.4
2024-08-01,285.4
2024-09-01,290.0
2024-10-01,291.6
2024-11-01,293.0
2024-12-01,294.4
2025-01-01,294.9
2025-02-01,297.8
2025-03-01,298.9
2025-04-01,301.7
2025-05-01,303.9
2025-06-01,303.9
2025-07-01,306.3
2025-08-01,305.1
2025-09-01,308.8
2025-10-01,310.3
2025-11-01,309.9
2025-12-01,311.7
2026-01-01,311.9
2026-02-01,315.1
2026-03-01,313.6
2026-04-01,312.8
