date,value
2005-01-01,100.0
2005-02-01,100.8
2005-03-01,99.7
2005-04-01,100.2
2005-05-01,100.1
2005-06-01,100.6
2005-07-01,100.8
2005-08-01,101.0
2005-09-01,100.2
2005-10-01,101.7
2005-11-01,102.3
2005-12-01,102.5
2006-01-01,103.2
2006-02-01,103.0
2006-03-01,104.0
2006-04-01,104.0
2006-05-01,104.1
2006-06-01,104.3
2006-07-01,105.0
2006-08-01,105.7
2006-09-01,105.9
2006-10-01,106.0
2006-11-01,105.8
2006-12-01,106.6
2007-01-01,107.8
2007-02-01,108.9
2007-03-01,109.4
2007-04-01,109.7
2007-05-01,110.3
2007-06-01,110.9
2007-07-01,111.3
2007-08-01,112.1
2007-09-01,113.3
2007-10-01,114.3
2007-11-01,115.7
2007-12-01,116.2
2008-01-01,116.0
2008-02-01,117.5
2008-03-01,117.4
2008-04-01,118.1
2008-05-01,119.1
2008-06-01,119.9
2008-07-01,120.3
2008-08-01,119.7
2008-09-01,120.3
2008-10-01,119.5
2008-11-01,119.9
2008-12-01,119.9
2009-01-01,119.6
2009-02-01,119.0
2009-03-01,119.8
2009-04-01,120.5
2009-05-01,121.8
2009-06-01,122.3
2009-07-01,124.1
2009-08-01,126.2
2009-09-01,126.2
2009-10-01,128.3
2009-11-01,128.8
2009-12-01,131.2
2010-01-01,132.0
2010-02-01,131.9
2010-03-01,133.5
2010-04-01,133.8
2010-05-01,133.7
2010-06-01,134.9
2010-07-01,133.2
2010-08-01,133.9
2010-09-01,135.0
2010-10-01,133.8
2010-11-01,136.5
2010-12-01,135.9
2011-01-01,137.6
2011-02-01,138.5
2011-03-01,138.9
2011-04-01,139.7
2011-05-01,140.3
2011-06-01,140.3
2011-07-01,141.6
2011-08-01,141.3
2011-09-01,142.0
2011-10-01,143.1
2011-11-01,142.6
2011-12-01,142.9
2012-01-01,142.9
2012-02-01,144.6
2012-03-01,143.8
2012-04-01,144.5
2012-05-01,144.0
2012-06-01,144.3
2012-07-01,144.1
2012-08-01,144.4
2012-09-01,143.5
2012-10-01,143.8
2012-11-01,144.6
2012-12-01,145.3
2013-01-01,145.3
2013-02-01,144.4
2013-03-01,144.8
2013-04-01,144.7
2013-05-01,144.8
2013-06-01,145.2
2013-07-01,145.8
2013-08-01,144.8
2013-09-01,148.4
2013-10-01,146.5
2013-11-01,145.7
2013-12-01,145.9
2014-01-01,146.1
2014-02-01,146.8
2014-03-01,146.9
2014-04-01,147.5
2014-05-01,147.7
2014-06-01,147.1
2014-07-01,147.0
2014-08-01,147.0
2014-09-01,146.3
