date,value
2005-01-01,100.0
2005-02-01,100.2
2005-03-01,100.7
2005-04-01,101.0
2005-05-01,101.6
2005-06-01,102.2
2005-07-01,102.7
2005-08-01,103.4
2005-09-01,103.5
2005-10-01,104.4
2005-11-01,104.8
2005-12-01,105.3
2006-01-01,106.0
2006-02-01,106.5
2006-03-01,107.1
2006-04-01,107.6
2006-05-01,107.9
2006-06-01,108.0
2006-07-01,108.1
2006-08-01,108.3
2006-09-01,108.8
2006-10-01,108.6
2006-11-01,109.2
2006-12-01,109.7
2007-01-01,109.8
2007-02-01,111.2
2007-03-01,112.0
2007-04-01,112.7
2007-05-01,113.4
2007-06-01,114.4
2007-07-01,115.2
2007-08-01,115.9
2007-09-01,116.5
2007-10-01,117.5
2007-11-01,118.0
2007-12-01,118.8
2008-01-01,119.7
2008-02-01,119.6
2008-03-01,119.4
2008-04-01,119.2
2008-05-01,118.8
2008-06-01,118.2
2008-07-01,117.6
2008-08-01,117.1
2008-09-01,116.4
2008-10-01,115.3
2008-11-01,114.2
2008-12-01,112.7
2009-01-01,111.3
2009-02-01,110.2
2009-03-01,110.4
2009-04-01,111.2
2009-05-01,112.8
2009-06-01,114.8
2009-07-01,116.8
2009-08-01,118.6
2009-09-01,120.5
2009-10-01,122.5
2009-11-01,124.4
2009-12-01,126.6
2010-01-01,127.3
2010-02-01,128.5
2010-03-01,129.0
2010-04-01,128.9
2010-05-01,128.3
2010-06-01,127.8
2010-07-01,127.1
2010-08-01,127.5
2010-09-01,127.8
2010-10-01,128.4
2010-11-01,129.2
2010-12-01,130.2
2011-01-01,131.2
2011-02-01,132.3
2011-03-01,133.3
2011-04-01,134.2
2011-05-01,135.4
2011-06-01,136.6
2011-07-01,137.7
2011-08-01,138.8
2011-09-01,139.7
2011-10-01,140.5
2011-11-01,141.8
2011-12-01,142.9
2012-01-01,144.0
2012-02-01,144.9
2012-03-01,145.9
2012-04-01,146.9
2012-05-01,147.5
2012-06-01,147.6
2012-07-01,148.1
2012-08-01,148.0
2012-09-01,148.4
2012-10-01,148.5
2012-11-01,148.3
2012-12-01,149.9
2013-01-01,149.3
2013-02-01,149.7
2013-03-01,150.5
2013-04-01,151.1
2013-05-01,152.0
2013-06-01,152.6
2013-07-01,153.4
2013-08-01,154.5
2013-09-01,155.5
2013-10-01,157.1
2013-11-01,158.5
2013-12-01,159.5
2014-01-01,159.9
2014-02-01,161.4
2014-03-01,161.9
2014-04-01,162.5
2014-05-01,163.5
2014-06-01,164.8
2014-07-01,165.7
2014-08-01,166.9
2014-09-01,168.4
2014-10-01,169.8
2014-11-01,171.1
2014-12-01,172.9
2015-01-01,174.4
2015-02-01,175.4
2015-03-01,176.7
2015-04-01,178.4
2015-05-01,179.5
2015-06-01,181.6
2015-07-01,183.9
2015-08-01,185.6
2015-09-01,187.0
2015-10-01,188.2
2015-11-01,190.1
2015-12-01,191.6
2016-01-01,193.3
2016-02-01,195.6
2016-03-01,198.8
2016-04-01,202.9
2016-05-01,207.5
2016-06-01,212.0
2016-07-01,216.1
2016-08-01,220.3
2016-09-01,224.2
2016-10-01,227.5
2016-11-01,230.7
2016-12-01,233.7
2017-01-01,238.8
2017-02-01,249.1
2017-03-01,260.5
2017-04-01,263.1
2017-05-01,258.1
2017-06-01,252.3
2017-07-01,246.0
2017-08-01,243.8
2017-09-01,241.8
2017-10-01,241.1
2017-11-01,240.2
2017-12-01,239.3
2018-01-01,237.8
2018-02-01,236.2
2018-03-01,236.3
2018-04-01,236.7
2018-05-01,237.0
2018-06-01,237.6
2018-07-01,239.0
2018-08-01,239.4
2018-09-01,241.1
2018-10-01,241.2
2018-11-01,240.8
2018-12-01,240.5
2019-01-01,238.6
2019-02-01,236.7
2019-03-01,236.3
2019-04-01,237.4
2019-05-01,238.5
2019-06-01,241.1
2019-07-01,243.0
2019-08-01,244.8
2019-09-01,246.5
2019-10-01,249.1
2019-11-01,250.6
2019-12-01,251.6
2020-01-01,252.7
2020-02-01,255.5
2020-03-01,256.8
2020-04-01,253.2
2020-05-01,254.9
2020-06-01,261.0
2020-07-01,267.1
2020-08-01,273.3
2020-09-01,275.6
2020-10-01,278.3
2020-11-01,282.8
2020-12-01,286.6
2021-01-01,291.9
2021-02-01,298.4
2021-03-01,303.5
2021-04-01,308.2
2021-05-01,315.6
2021-06-01,319.7
2021-07-01,325.7
2021-08-01,330.8
2021-09-01,340.3
2021-10-01,350.0
2021-11-01,359.2
2021-12-01,366.1
2022-01-01,383.0
2022-02-01,395.4
2022-03-01,388.9
2022-04-01,378.9
2022-05-01,367.3
2022-06-01,357.1
2022-07-01,347.4
2022-08-01,342.3
2022-09-01,339.3
2022-10-01,336.4
2022-11-01,334.1
2022-12-01,330.2
2023-01-01,325.2
2023-02-01,324.0
2023-03-01,326.8
2023-04-01,334.9
2023-05-01,342.6
2023-06-01,347.1
2023-07-01,349.0
2023-08-01,347.0
2023-09-01,343.6
2023-10-01,337.9
2023-11-01,331.2
2023-12-01,328.1
2024-01-01,325.1
2024-02-01,327.3
2024-03-01,328.4
2024-04-01,327.3
2024-05-01,325.2
2024-06-01,326.3
2024-07-01,325.7
2024-08-01,324.4
2024-09-01,323.0
2024-10-01,321.9
2024-11-01,322.8
2024-12-01,321.7
2025-01-01,322.5
2025-02-01,318.4
2025-03-01,314.5
2025-04-01,311.3
2025-05-01,311.4
2025-06-01,308.3
2025-07-01,307.2
2025-08-01,306.5
2025-09-01,305.1
2025-10-01,304.7
2025-11-01,303.1
2025-12-01,300.8
2026-01-01,296.2
2026-02-01,293.5
2026-03-01,291.9
2026-04-01,291.8
