date,value
2005-01-01,100.0
2005-02-01,100.3
2005-03-01,100.8
2005-04-01,101.0
2005-05-01,101.6
2005-06-01,102.2
2005-07-01,103.7
2005-08-01,105.2
2005-09-01,107.4
2005-10-01,109.0
2005-11-01,110.6
2005-12-01,112.3
2006-01-01,114.1
2006-02-01,115.8
2006-03-01,117.2
2006-04-01,119.0
2006-05-01,120.7
2006-06-01,122.5
2006-07-01,124.0
2006-08-01,125.5
2006-09-01,126.6
2006-10-01,127.8
2006-11-01,128.8
2006-12-01,129.6
2007-01-01,130.8
2007-02-01,132.0
2007-03-01,132.9
2007-04-01,134.4
2007-05-01,135.6
2007-06-01,137.3
2007-07-01,138.9
2007-08-01,140.5
2007-09-01,142.0
2007-10-01,143.9
2007-11-01,145.9
2007-12-01,147.8
2008-01-01,148.8
2008-02-01,149.4
2008-03-01,150.3
2008-04-01,149.7
2008-05-01,149.1
2008-06-01,148.9
2008-07-01,146.7
2008-08-01,144.7
2008-09-01,142.8
2008-10-01,139.7
2008-11-01,136.7
2008-12-01,133.9
2009-01-01,132.6
2009-02-01,131.3
2009-03-01,129.9
2009-04-01,131.2
2009-05-01,133.0
2009-06-01,135.1
2009-07-01,138.2
2009-08-01,141.5
2009-09-01,145.0
2009-10-01,147.9
2009-11-01,150.7
2009-12-01,153.4
2010-01-01,155.2
2010-02-01,155.7
2010-03-01,157.6
2010-04-01,158.1
2010-05-01,158.1
2010-06-01,157.3
2010-07-01,156.6
2010-08-01,156.8
2010-09-01,157.2
2010-10-01,158.8
2010-11-01,160.7
2010-12-01,163.3
2011-01-01,166.1
2011-02-01,169.8
2011-03-01,171.7
2011-04-01,174.3
2011-05-01,177.1
2011-06-01,179.3
2011-07-01,181.5
2011-08-01,183.3
2011-09-01,183.5
2011-10-01,184.5
2011-11-01,185.4
2011-12-01,185.5
2012-01-01,185.6
2012-02-01,187.3
2012-03-01,187.1
2012-04-01,186.9
2012-05-01,184.9
2012-06-01,183.9
2012-07-01,181.6
2012-08-01,181.8
2012-09-01,181.7
2012-10-01,181.7
2012-11-01,181.0
2012-12-01,180.8
2013-01-01,179.7
2013-02-01,180.2
2013-03-01,179.1
2013-04-01,179.3
2013-05-01,179.7
2013-06-01,180.5
2013-07-01,181.8
2013-08-01,183.3
2013-09-01,184.9
2013-10-01,186.2
2013-11-01,188.0
2013-12-01,189.1
2014-01-01,190.1
2014-02-01,189.2
2014-03-01,189.2
2014-04-01,188.9
2014-05-01,189.2
2014-06-01,189.4
2014-07-01,190.4
2014-08-01,191.5
2014-09-01,193.9
2014-10-01,196.1
2014-11-01,198.6
2014-12-01,200.6
2015-01-01,202.7
2015-02-01,204.3
2015-03-01,207.1
2015-04-01,209.4
2015-05-01,212.8
2015-06-01,216.6
2015-07-01,220.4
2015-08-01,224.8
2015-09-01,229.1
2015-10-01,234.5
2015-11-01,239.4
2015-12-01,244.6
