date,value
2014-01-01,72.98
2014-02-01,73.34
2014-03-01,73.46
2014-04-01,73.65
2014-05-01,73.92
2014-06-01,74.29
2014-07-01,74.58
2014-08-01,75.0
2014-09-01,75.47
2014-10-01,75.97
2014-11-01,76.49
2014-12-01,77.01
2015-01-01,77.47
2015-02-01,77.7
2015-03-01,78.09
2015-04-01,78.59
2015-05-01,79.11
2015-06-01,79.86
2015-07-01,80.71
2015-08-01,81.56
2015-09-01,82.27
2015-10-01,83.06
2015-11-01,83.91
2015-12-01,84.72
2016-01-01,85.69
2016-02-01,86.9
2016-03-01,88.17
2016-04-01,89.62
2016-05-01,91.26
2016-06-01,92.75
2016-07-01,94.17
2016-08-01,95.1
2016-09-01,96.06
2016-10-01,96.66
2016-11-01,97.43
2016-12-01,97.95
2017-01-01,99.28
2017-02-01,101.69
2017-03-01,104.32
2017-04-01,105.51
2017-05-01,105.07
2017-06-01,104.26
2017-07-01,103.28
2017-08-01,102.97
2017-09-01,102.87
2017-10-01,103.06
2017-11-01,103.29
2017-12-01,103.51
2018-01-01,103.2
2018-02-01,102.85
2018-03-01,102.58
2018-04-01,102.33
2018-05-01,102.27
2018-06-01,102.14
2018-07-01,102.23
2018-08-01,102.14
2018-09-01,102.04
2018-10-01,101.94
2018-11-01,101.42
2018-12-01,101.13
2019-01-01,100.17
2019-02-01,99.03
2019-03-01,98.47
2019-04-01,98.49
2019-05-01,98.63
2019-06-01,99.21
2019-07-01,99.75
2019-08-01,100.19
2019-09-01,100.73
2019-10-01,101.37
2019-11-01,101.79
2019-12-01,102.18
2020-01-01,102.56
2020-02-01,103.02
2020-03-01,103.24
2020-04-01,101.81
2020-05-01,102.58
2020-06-01,104.63
2020-07-01,107.15
2020-08-01,109.6
2020-09-01,111.32
2020-10-01,112.67
2020-11-01,114.35
2020-12-01,116.24
2021-01-01,118.92
2021-02-01,122.39
2021-03-01,126.11
2021-04-01,128.17
2021-05-01,130.41
2021-06-01,132.2
2021-07-01,133.67
2021-08-01,135.5
2021-09-01,138.24
2021-10-01,141.4
2021-11-01,144.7
2021-12-01,147.81
2022-01-01,154.63
2022-02-01,159.61
2022-03-01,159.47
2022-04-01,155.96
2022-05-01,152.67
2022-06-01,148.65
2022-07-01,144.93
2022-08-01,142.1
2022-09-01,140.11
2022-10-01,138.55
2022-11-01,137.22
2022-12-01,135.68
2023-01-01,134.34
2023-02-01,134.0
2023-03-01,134.69
2023-04-01,137.08
2023-05-01,139.32
2023-06-01,141.04
2023-07-01,141.96
2023-08-01,141.83
2023-09-01,140.81
2023-10-01,139.34
2023-11-01,137.43
2023-12-01,136.27
2024-01-01,135.42
2024-02-01,135.71
2024-03-01,135.98
2024-04-01,135.71
2024-05-01,135.37
2024-06-01,135.71
2024-07-01,135.75
2024-08-01,135.64
2024-09-01,135.41
2024-10-01,135.06
2024-11-01,135.25
2024-12-01,135.08
2025-01-01,135.02
2025-02-01,133.92
2025-03-01,133.15
2025-04-01,132.15
2025-05-01,132.03
2025-06-01,131.45
2025-07-01,131.24
2025-08-01,130.95
2025-09-01,130.76
2025-10-01,130.6
2025-11-01,129.95
2025-12-01,129.39
2026-01-01,128.29
2026-02-01,127.5
