date,value
2014-01-01,91.46
2014-02-01,92.29
2014-03-01,92.73
2014-04-01,93.84
2014-05-01,99.17
2014-06-01,99.62
2014-07-01,102.06
2014-08-01,102.38
2014-09-01,103.61
2014-10-01,101.4
2014-11-01,101.17
2014-12-01,97.29
2015-01-01,94.61
2015-02-01,95.74
2015-03-01,99.26
2015-04-01,100.84
2015-05-01,105.64
2015-06-01,106.68
2015-07-01,106.04
2015-08-01,107.23
2015-09-01,103.6
2015-10-01,105.01
2015-11-01,107.65
2015-12-01,106.49
2016-01-01,106.67
2016-02-01,109.38
2016-03-01,109.69
2016-04-01,114.15
2016-05-01,112.44
2016-06-01,112.95
2016-07-01,111.89
2016-08-01,109.53
2016-09-01,108.73
2016-10-01,111.21
2016-11-01,104.04
2016-12-01,105.25
2017-01-01,103.34
2017-02-01,110.88
2017-03-01,112.75
2017-04-01,112.14
2017-05-01,106.31
2017-06-01,99.0
2017-07-01,97.47
2017-08-01,97.08
2017-09-01,99.24
2017-10-01,100.6
2017-11-01,105.64
2017-12-01,111.62
2018-01-01,96.18
2018-02-01,91.3
2018-03-01,93.58
2018-04-01,91.32
2018-05-01,90.51
2018-06-01,94.97
2018-07-01,94.51
2018-08-01,95.05
2018-09-01,95.55
2018-10-01,94.43
2018-11-01,93.25
2018-12-01,91.02
2019-01-01,93.21
2019-02-01,87.11
2019-03-01,90.73
2019-04-01,96.13
2019-05-01,99.68
2019-06-01,101.07
2019-07-01,104.58
2019-08-01,104.51
2019-09-01,106.15
2019-10-01,105.67
2019-11-01,106.93
2019-12-01,104.24
2020-01-01,101.29
2020-02-01,105.84
2020-03-01,90.36
2020-04-01,39.97
2020-05-01,63.21
2020-06-01,105.66
2020-07-01,134.52
2020-08-01,142.75
2020-09-01,144.89
2020-10-01,139.77
2020-11-01,137.89
2020-12-01,143.97
2021-01-01,147.96
2021-02-01,150.92
2021-03-01,160.65
2021-04-01,143.25
2021-05-01,132.27
2021-06-01,121.82
2021-07-01,119.99
2021-08-01,120.25
2021-09-01,124.0
2021-10-01,132.28
2021-11-01,134.66
2021-12-01,131.4
2022-01-01,133.89
2022-02-01,138.99
2022-03-01,129.68
2022-04-01,110.96
2022-05-01,98.11
2022-06-01,91.27
2022-07-01,86.9
2022-08-01,86.47
2022-09-01,83.59
2022-10-01,83.68
2022-11-01,81.41
2022-12-01,82.33
2023-01-01,81.74
2023-02-01,84.51
2023-03-01,87.14
2023-04-01,95.17
2023-05-01,97.59
2023-06-01,96.8
2023-07-01,96.44
2023-08-01,92.19
2023-09-01,89.98
2023-10-01,82.09
2023-11-01,81.0
2023-12-01,89.13
2024-01-01,96.33
2024-02-01,96.66
2024-03-01,98.11
2024-04-01,93.79
2024-05-01,90.89
2024-06-01,93.19
2024-07-01,91.11
2024-08-01,92.58
2024-09-01,95.33
2024-10-01,101.1
2024-11-01,103.6
2024-12-01,102.59
2025-01-01,99.05
2025-02-01,92.8
2025-03-01,88.07
2025-04-01,88.95
2025-05-01,91.16
2025-06-01,93.28
2025-07-01,96.41
2025-08-01,97.52
2025-09-01,96.27
2025-10-01,96.68
2025-11-01,95.41
2025-12-01,92.18
2026-01-01,86.74
2026-02-01,85.6
