date,value
2014-01-01,2.46
2014-04-01,2.77
2014-07-01,2.32
2014-10-01,2.15
2015-01-01,2.05
2015-04-01,1.81
2015-07-01,1.72
2015-10-01,1.64
2016-01-01,2.28
2016-04-01,3.21
2016-07-01,3.95
2016-10-01,4.73
2017-01-01,5.03
2017-04-01,5.15
2017-07-01,5.27
2017-10-01,5.38
2018-01-01,5.38
2018-04-01,5.27
2018-07-01,5.16
2018-10-01,5.27
2019-01-01,5.46
2019-04-01,5.77
2019-07-01,6.2
2019-10-01,6.35
2020-01-01,6.3
2020-04-01,6.15
2020-07-01,5.83
2020-10-01,5.26
2021-01-01,4.7
2021-04-01,4.0
2021-07-01,3.55
2021-10-01,3.37
2022-01-01,3.24
2022-04-01,3.38
2022-07-01,3.67
2022-10-01,3.82
2023-01-01,4.02
2023-04-01,4.89
2023-07-01,5.77
2023-10-01,6.53
2024-01-01,7.34
2024-04-01,7.52
2024-07-01,7.14
2024-10-01,6.91
2025-01-01,6.5
2025-04-01,5.95
2025-07-01,5.65
2025-10-01,5.37
