date,value
2014-01-01,2.3
2014-04-01,2.36
2014-07-01,2.21
2014-10-01,2.14
2015-01-01,2.1
2015-04-01,2.07
2015-07-01,2.06
2015-10-01,2.06
2016-01-01,2.18
2016-04-01,2.5
2016-07-01,2.6
2016-10-01,2.7
2017-01-01,2.72
2017-04-01,2.47
2017-07-01,2.32
2017-10-01,2.29
2018-01-01,2.21
2018-04-01,2.11
2018-07-01,2.03
2018-10-01,1.81
2019-01-01,1.63
2019-04-01,1.47
2019-07-01,1.39
2019-10-01,1.32
2020-01-01,1.28
2020-04-01,1.22
2020-07-01,1.27
2020-10-01,1.29
2021-01-01,1.24
2021-04-01,1.26
2021-07-01,1.26
2021-10-01,1.37
2022-01-01,1.53
2022-04-01,1.55
2022-07-01,1.51
2022-10-01,1.42
2023-01-01,1.27
2023-04-01,1.29
2023-07-01,1.28
2023-10-01,1.23
2024-01-01,1.15
2024-04-01,1.04
2024-07-01,1.0
2024-10-01,1.03
2025-01-01,1.05
2025-04-01,1.01
2025-07-01,0.98
2025-10-01,0.88
