date,value
2014-01-01,2.74
2014-04-01,2.85
2014-07-01,2.65
2014-10-01,2.57
2015-01-01,2.68
2015-04-01,2.82
2015-07-01,2.93
2015-10-01,3.12
2016-01-01,3.47
2016-04-01,3.57
2016-07-01,3.57
2016-10-01,3.42
2017-01-01,3.12
2017-04-01,3.17
2017-07-01,3.22
2017-10-01,3.26
2018-01-01,3.22
2018-04-01,3.07
2018-07-01,3.07
2018-10-01,2.99
2019-01-01,2.76
2019-04-01,2.56
2019-07-01,2.33
2019-10-01,2.35
2020-01-01,2.45
2020-04-01,2.42
2020-07-01,2.54
2020-10-01,2.51
2021-01-01,2.44
2021-04-01,2.44
2021-07-01,2.41
2021-10-01,2.64
2022-01-01,2.99
2022-04-01,3.26
2022-07-01,3.45
2022-10-01,3.46
2023-01-01,3.31
2023-04-01,3.27
2023-07-01,3.1
2023-10-01,2.9
2024-01-01,2.84
2024-04-01,2.73
2024-07-01,2.76
2024-10-01,2.78
2025-01-01,2.69
2025-04-01,2.62
2025-07-01,2.54
2025-10-01,2.39
