date,value
2014-01-01,53.76
2014-02-01,53.24
2014-03-01,52.88
2014-04-01,52.5
2014-05-01,52.91
2014-06-01,53.61
2014-07-01,54.85
2014-08-01,56.07
2014-09-01,56.48
2014-10-01,56.5
2014-11-01,57.11
2014-12-01,54.17
2015-01-01,50.33
2015-02-01,53.12
2015-03-01,54.27
2015-04-01,55.49
2015-05-01,58.29
2015-06-01,58.73
2015-07-01,59.04
2015-08-01,58.02
2015-09-01,58.2
2015-10-01,59.43
2015-11-01,59.37
2015-12-01,57.54
2016-01-01,58.12
2016-02-01,58.6
2016-03-01,61.42
2016-04-01,64.58
2016-05-01,66.92
2016-06-01,65.51
2016-07-01,63.97
2016-08-01,62.83
2016-09-01,64.44
2016-10-01,63.7
2016-11-01,60.04
2016-12-01,63.59
2017-01-01,63.56
2017-02-01,65.85
2017-03-01,65.91
2017-04-01,60.05
2017-05-01,57.55
2017-06-01,54.6
2017-07-01,54.45
2017-08-01,56.78
2017-09-01,55.9
2017-10-01,55.97
2017-11-01,55.04
2017-12-01,56.46
2018-01-01,59.76
2018-02-01,54.27
2018-03-01,54.62
2018-04-01,55.18
2018-05-01,51.2
2018-06-01,55.1
2018-07-01,55.29
2018-08-01,55.9
2018-09-01,53.41
2018-10-01,53.27
2018-11-01,53.98
2018-12-01,52.46
2019-01-01,51.43
2019-02-01,54.36
2019-03-01,54.89
2019-04-01,56.12
2019-05-01,58.62
2019-06-01,59.23
2019-07-01,61.16
2019-08-01,60.91
2019-09-01,61.43
2019-10-01,63.93
2019-11-01,66.65
2019-12-01,66.1
2020-01-01,62.89
2020-02-01,64.5
2020-03-01,65.44
2020-04-01,63.71
2020-05-01,58.76
2020-06-01,65.66
2020-07-01,74.19
2020-08-01,69.63
2020-09-01,77.61
2020-10-01,74.43
2020-11-01,76.78
2020-12-01,75.23
2021-01-01,87.14
2021-02-01,80.28
2021-03-01,76.58
2021-04-01,73.46
2021-05-01,74.93
2021-06-01,72.91
2021-07-01,77.38
2021-08-01,75.33
2021-09-01,78.91
2021-10-01,81.78
2021-11-01,79.14
2021-12-01,76.79
2022-01-01,83.75
2022-02-01,71.38
2022-03-01,67.69
2022-04-01,59.64
2022-05-01,53.22
2022-06-01,49.38
2022-07-01,50.78
2022-08-01,53.83
2022-09-01,55.04
2022-10-01,53.32
2022-11-01,51.84
2022-12-01,53.98
2023-01-01,53.41
2023-02-01,59.45
2023-03-01,64.2
2023-04-01,68.21
2023-05-01,65.1
2023-06-01,61.02
2023-07-01,57.78
2023-08-01,54.9
2023-09-01,51.75
2023-10-01,46.98
2023-11-01,46.86
2023-12-01,54.81
2024-01-01,59.71
2024-02-01,56.86
2024-03-01,58.6
2024-04-01,53.67
2024-05-01,52.96
2024-06-01,52.79
2024-07-01,51.16
2024-08-01,52.24
2024-09-01,51.34
2024-10-01,55.79
2024-11-01,56.6
2024-12-01,55.21
2025-01-01,50.35
2025-02-01,49.2
2025-03-01,45.93
2025-04-01,46.75
2025-05-01,46.83
2025-06-01,49.32
2025-07-01,50.92
2025-08-01,50.38
2025-09-01,50.29
2025-10-01,51.37
2025-11-01,51.76
2025-12-01,51.81
2026-01-01,46.37
2026-02-01,47.63
