date,value
1981-01-01,-3685.0
1981-04-01,-4256.0
1981-07-01,-4353.0
1981-10-01,-3104.0
1982-01-01,-427.0
1982-04-01,376.0
1982-07-01,1598.0
1982-10-01,337.0
1983-01-01,-468.0
1983-04-01,92.0
1983-07-01,-1301.0
1983-10-01,-1854.0
1984-01-01,-1410.0
1984-04-01,-804.0
1984-07-01,-400.0
1984-10-01,503.0
1985-01-01,-488.0
1985-04-01,-1981.0
1985-07-01,-3007.0
1985-10-01,-2819.0
1986-01-01,-4137.0
1986-04-01,-3844.0
1986-07-01,-4301.0
1986-10-01,-3833.0
1987-01-01,-3511.0
1987-04-01,-4025.0
1987-07-01,-4602.0
1987-10-01,-6370.0
1988-01-01,-4804.0
1988-04-01,-4145.0
1988-07-01,-5768.0
1988-10-01,-4469.0
1989-01-01,-5214.0
1989-04-01,-7351.0
1989-07-01,-6724.0
1989-10-01,-7278.0
1990-01-01,-7402.0
1990-04-01,-5404.0
1990-07-01,-5093.0
1990-10-01,-5972.0
1991-01-01,-6444.0
1991-04-01,-6067.0
1991-07-01,-7136.0
1991-10-01,-6525.0
1992-01-01,-7265.0
1992-04-01,-6608.0
1992-07-01,-6901.0
1992-10-01,-5142.0
1993-01-01,-6062.0
1993-04-01,-6832.0
1993-07-01,-7758.0
1993-10-01,-8012.0
1994-01-01,-5351.0
1994-04-01,-6395.0
1994-07-01,-3571.0
1994-10-01,-3499.0
1995-01-01,-1706.0
1995-04-01,-4350.0
1995-07-01,-1834.0
1995-10-01,1046.0
1996-01-01,22.0
1996-04-01,2565.0
1996-07-01,1012.0
1996-10-01,-28.0
1997-01-01,-727.0
1997-04-01,-2314.0
1997-07-01,-5584.0
1997-10-01,-3504.0
1998-01-01,-3901.0
1998-04-01,-3743.0
1998-07-01,-2699.0
1998-10-01,-2245.0
1999-01-01,-358.0
1999-04-01,-627.0
1999-07-01,1849.0
1999-10-01,937.0
2000-01-01,5582.0
2000-04-01,6171.0
2000-07-01,7720.0
2000-10-01,8735.0
2001-01-01,10680.0
2001-04-01,7332.0
2001-07-01,4100.0
2001-10-01,3213.0
2002-01-01,7087.0
2002-04-01,5525.0
2002-07-01,4226.0
2002-10-01,3876.0
2003-01-01,3645.0
2003-04-01,947.0
2003-07-01,5219.0
2003-10-01,5636.0
2004-01-01,6825.0
2004-04-01,9024.0
2004-07-01,7909.0
2004-10-01,7566.0
2005-01-01,3116.0
2005-04-01,3880.0
2005-07-01,7913.0
2005-10-01,12492.0
2006-01-01,6827.0
2006-04-01,4529.0
2006-07-01,4934.0
2006-10-01,5335.0
2007-01-01,3970.0
2007-04-01,5906.0
2007-07-01,1222.0
2007-10-01,1891.0
2008-01-01,3691.0
2008-04-01,5570.0
2008-07-01,4074.0
2008-10-01,-10895.0
2009-01-01,-10665.0
2009-04-01,-10941.0
2009-07-01,-13019.0
2009-10-01,-11090.0
2010-01-01,-13318.0
2010-04-01,-14502.0
2010-07-01,-20035.0
2010-10-01,-11496.0
2011-01-01,-13405.0
2011-04-01,-13715.0
2011-07-01,-9923.0
2011-10-01,-11068.0
2012-01-01,-13187.0
2012-04-01,-17328.0
2012-07-01,-17288.0
2012-10-01,-16776.0
2013-01-01,-15119.0
2013-04-01,-15599.0
2013-07-01,-14062.0
2013-10-01,-14979.0
2014-01-01,-11805.0
2014-04-01,-10216.0
2014-07-01,-9549.0
2014-10-01,-14709.0
2015-01-01,-19319.0
2015-04-01,-16654.0
2015-07-01,-15683.0
2015-10-01,-17913.0
2016-01-01,-18642.0
2016-04-01,-17807.0
2016-07-01,-16411.0
2016-10-01,-9693.0
2017-01-01,-12576.0
2017-04-01,-14958.0
2017-07-01,-16828.0
2017-10-01,-15637.0
2018-01-01,-15056.0
2018-04-01,-12566.0
2018-07-01,-9192.0
2018-10-01,-16327.0
2019-01-01,-17476.0
2019-04-01,-6523.0
2019-07-01,-12648.0
2019-10-01,-8536.0
2020-01-01,-17822.0
2020-04-01,-7080.0
2020-07-01,-12375.0
2020-10-01,-7512.0
2021-01-01,-1731.0
2021-04-01,-625.0
2021-07-01,2286.0
2021-10-01,-417.0
2022-01-01,2433.0
2022-04-01,3453.0
2022-07-01,-8552.0
2022-10-01,-10456.0
2023-01-01,-6628.0
2023-04-01,-5693.0
2023-07-01,-5986.0
2023-10-01,-2122.0
2024-01-01,-5839.0
2024-04-01,-3709.0
2024-07-01,-4628.0
2024-10-01,-798.0
2025-01-01,-2915.0
2025-04-01,-21800.0
2025-07-01,-5062.0
2025-10-01,-1009.0
2026-01-01,-8310.0
2026-04-01,8836.0
