date,value
1997-01-01,695830.0
1997-02-01,684520.0
1997-03-01,673220.0
1997-04-01,667970.0
1997-05-01,672020.0
1997-06-01,651310.0
1997-07-01,633480.0
1997-08-01,621340.0
1997-09-01,624140.0
1997-10-01,624100.0
1997-11-01,620480.0
1997-12-01,590360.0
1998-01-01,633010.0
1998-02-01,615480.0
1998-03-01,615820.0
1998-04-01,621850.0
1998-05-01,609410.0
1998-06-01,622180.0
1998-07-01,629740.0
1998-08-01,610760.0
1998-09-01,609170.0
1998-10-01,605860.0
1998-11-01,597620.0
1998-12-01,595510.0
1999-01-01,586400.0
1999-02-01,584970.0
1999-03-01,585170.0
1999-04-01,581910.0
1999-05-01,580050.0
1999-06-01,569800.0
1999-07-01,552850.0
1999-08-01,555380.0
1999-09-01,555180.0
1999-10-01,547410.0
1999-11-01,538290.0
1999-12-01,538460.0
2000-01-01,523620.0
2000-02-01,530090.0
2000-03-01,523580.0
2000-04-01,520770.0
2000-05-01,515970.0
2000-06-01,520940.0
2000-07-01,520580.0
2000-08-01,512920.0
2000-09-01,514410.0
2000-10-01,512200.0
2000-11-01,510350.0
2000-12-01,509530.0
2001-01-01,512370.0
2001-02-01,516730.0
2001-03-01,531810.0
2001-04-01,541120.0
2001-05-01,542340.0
2001-06-01,544620.0
2001-07-01,539350.0
2001-08-01,554300.0
2001-09-01,560940.0
2001-10-01,572530.0
2001-11-01,589390.0
2001-12-01,597740.0
2002-01-01,606880.0
2002-02-01,601280.0
2002-03-01,595740.0
2002-04-01,577650.0
2002-05-01,585470.0
2002-06-01,574090.0
2002-07-01,576740.0
2002-08-01,568960.0
2002-09-01,574430.0
2002-10-01,571540.0
2002-11-01,567250.0
2002-12-01,569550.0
2003-01-01,565420.0
2003-02-01,571530.0
2003-03-01,577880.0
2003-04-01,586080.0
2003-05-01,594120.0
2003-06-01,599620.0
2003-07-01,618560.0
2003-08-01,600720.0
2003-09-01,593580.0
2003-10-01,593880.0
2003-11-01,590600.0
