date,value
1961-01-01,
1961-04-01,4.831
1961-07-01,6.26
1961-10-01,0.959
1962-01-01,5.873
1962-04-01,1.413
1962-07-01,-1.06
1962-10-01,4.498
1963-01-01,1.647
1963-04-01,4.448
1963-07-01,1.412
1963-10-01,4.317
1964-01-01,4.614
1964-04-01,0.672
1964-07-01,4.657
1964-10-01,1.673
1965-01-01,2.249
1965-04-01,5.573
1965-07-01,3.836
1965-10-01,4.88
1966-01-01,1.528
1966-04-01,1.206
1966-07-01,4.085
1966-10-01,0.085
1967-01-01,2.064
1967-04-01,4.246
1967-07-01,-0.28
1967-10-01,4.529
1968-01-01,2.456
1968-04-01,1.096
1968-07-01,4.374
1968-10-01,3.235
1969-01-01,5.226
1969-04-01,-1.018
1969-07-01,2.143
1969-10-01,2.819
1970-01-01,-2.132
1970-04-01,1.572
1970-07-01,4.242
1970-10-01,2.025
1971-01-01,-1.402
1971-04-01,7.803
1971-07-01,5.048
1971-10-01,4.798
1972-01-01,0.753
1972-04-01,5.684
1972-07-01,1.703
1972-10-01,5.149
1973-01-01,6.064
1973-04-01,1.521
1973-07-01,1.58
1973-10-01,3.85
1974-01-01,5.82
1974-04-01,1.027
1974-07-01,0.952
1974-10-01,-2.465
1975-01-01,4.559
1975-04-01,2.704
1975-07-01,3.928
1975-10-01,3.716
1976-01-01,-0.136
1976-04-01,5.577
1976-07-01,0.789
1976-10-01,4.302
1977-01-01,-0.807
1977-04-01,-0.532
1977-07-01,3.321
1977-10-01,2.061
1978-01-01,1.572
1978-04-01,1.448
1978-07-01,1.018
1978-10-01,0.609
1979-01-01,2.995
1979-04-01,0.004
1979-07-01,0.582
1979-10-01,0.526
1980-01-01,1.366
1980-04-01,-0.807
1980-07-01,3.553
1980-10-01,1.226
1981-01-01,0.351
1981-04-01,-0.199
1981-07-01,-1.073
1981-10-01,0.492
1982-01-01,-3.023
1982-04-01,-1.616
1982-07-01,-0.813
1982-10-01,-0.725
1983-01-01,3.094
1983-04-01,2.744
1983-07-01,2.586
1983-10-01,2.356
1984-01-01,2.143
1984-04-01,2.273
1984-07-01,0.242
1984-10-01,3.722
1985-01-01,2.526
1985-04-01,1.912
1985-07-01,4.276
1985-10-01,2.247
1986-01-01,-0.32
1986-04-01,2.598
1986-07-01,3.011
1986-10-01,0.11
1987-01-01,2.318
1987-04-01,3.58
1987-07-01,1.965
1987-10-01,2.378
1988-01-01,1.333
1988-04-01,3.088
1988-07-01,1.336
1988-10-01,2.712
1989-01-01,1.57
1989-04-01,2.764
1989-07-01,-0.724
1989-10-01,1.387
1990-01-01,3.303
1990-04-01,-2.625
1990-07-01,0.013
1990-10-01,-0.758
1991-01-01,-4.53
1991-04-01,3.751
1991-07-01,-0.209
1991-10-01,1.267
1992-01-01,0.0
1992-04-01,0.873
1992-07-01,1.205
1992-10-01,0.823
1993-01-01,1.24
1993-04-01,0.867
1993-07-01,1.571
1993-10-01,0.64
1994-01-01,3.926
1994-04-01,0.344
1994-07-01,0.983
1994-10-01,2.576
1995-01-01,-0.11
1995-04-01,1.613
1995-07-01,2.317
1995-10-01,-0.003
1996-01-01,2.91
1996-04-01,0.275
1996-07-01,0.71
1996-10-01,3.841
1997-01-01,3.546
1997-04-01,1.749
1997-07-01,2.997
1997-10-01,1.587
1998-01-01,0.233
1998-04-01,2.822
1998-07-01,1.253
1998-10-01,0.502
1999-01-01,3.188
1999-04-01,2.086
1999-07-01,2.679
1999-10-01,2.173
2000-01-01,2.433
2000-04-01,1.892
2000-07-01,2.738
2000-10-01,0.369
2001-01-01,1.751
2001-04-01,0.338
2001-07-01,0.495
2001-10-01,2.659
2002-01-01,3.32
2002-04-01,2.68
2002-07-01,0.449
2002-10-01,2.202
2003-01-01,1.166
2003-04-01,1.88
2003-07-01,2.051
2003-10-01,0.408
2004-01-01,2.907
2004-04-01,1.09
2004-07-01,2.019
2004-10-01,1.728
2005-01-01,2.967
2005-04-01,1.872
2005-07-01,1.447
2005-10-01,2.015
2006-01-01,2.972
2006-04-01,1.9
2006-07-01,2.334
2006-10-01,2.201
2007-01-01,1.91
2007-04-01,3.251
2007-07-01,2.008
2007-10-01,3.907
2008-01-01,1.682
2008-04-01,0.241
2008-07-01,0.126
2008-10-01,-2.534
2009-01-01,-0.654
2009-04-01,1.913
2009-07-01,2.476
2009-10-01,1.576
2010-01-01,2.538
2010-04-01,1.899
2010-07-01,1.82
2010-10-01,2.063
2011-01-01,0.396
2011-04-01,0.975
2011-07-01,0.915
2011-10-01,1.356
2012-01-01,1.258
2012-04-01,0.253
2012-07-01,1.339
2012-10-01,1.207
2013-01-01,1.404
2013-04-01,2.033
2013-07-01,1.645
2013-10-01,1.386
2014-01-01,0.734
2014-04-01,2.019
2014-07-01,1.612
2014-10-01,1.6
2015-01-01,0.42
2015-04-01,1.087
2015-07-01,1.685
2015-10-01,1.598
2016-01-01,0.133
2016-04-01,0.893
2016-07-01,1.621
2016-10-01,1.734
2017-01-01,2.507
2017-04-01,3.011
2017-07-01,2.169
2017-10-01,1.326
2018-01-01,1.538
2018-04-01,1.282
2018-07-01,1.31
2018-10-01,-0.025
2019-01-01,1.228
2019-04-01,0.553
2019-07-01,1.0
2019-10-01,1.526
2020-01-01,-4.72
2020-04-01,-27.428
2020-07-01,31.832
2020-10-01,1.065
2021-01-01,1.108
2021-04-01,-0.08
2021-07-01,11.517
2021-10-01,2.19
2022-01-01,1.633
2022-04-01,5.604
2022-07-01,1.498
2022-10-01,1.105
2023-01-01,1.077
2023-04-01,0.012
2023-07-01,0.433
2023-10-01,1.517
2024-01-01,1.067
2024-04-01,0.831
2024-07-01,2.511
2024-10-01,1.422
2025-01-01,0.657
2025-04-01,2.483
2025-07-01,-0.456
2025-10-01,0.909
