date,value
1961-01-01,
1961-04-01,-0.802
1961-07-01,2.227
1961-10-01,1.514
1962-01-01,0.708
1962-04-01,0.243
1962-07-01,-1.157
1962-10-01,3.748
1963-01-01,0.606
1963-04-01,1.615
1963-07-01,0.485
1963-10-01,6.996
1964-01-01,1.263
1964-04-01,4.783
1964-07-01,-1.195
1964-10-01,-1.6
1965-01-01,0.637
1965-04-01,1.026
1965-07-01,2.887
1965-10-01,4.095
1966-01-01,1.211
1966-04-01,1.359
1966-07-01,4.449
1966-10-01,0.672
1967-01-01,1.332
1967-04-01,5.092
1967-07-01,-0.357
1967-10-01,0.213
1968-01-01,4.152
1968-04-01,3.028
1968-07-01,2.169
1968-10-01,3.476
1969-01-01,0.972
1969-04-01,-0.87
1969-07-01,1.094
1969-10-01,5.029
1970-01-01,3.145
1970-04-01,-0.032
1970-07-01,0.849
1970-10-01,-0.385
1971-01-01,1.54
1971-04-01,1.308
1971-07-01,4.303
1971-10-01,-2.66
1972-01-01,0.979
1972-04-01,6.799
1972-07-01,-2.504
1972-10-01,7.776
1973-01-01,3.737
1973-04-01,0.75
1973-07-01,-4.64
1973-10-01,2.521
1974-01-01,-3.142
1974-04-01,-1.044
1974-07-01,1.572
1974-10-01,-3.636
1975-01-01,-6.415
1975-04-01,1.097
1975-07-01,-0.3
1975-10-01,-0.273
1976-01-01,2.726
1976-04-01,4.961
1976-07-01,2.022
1976-10-01,-2.799
1977-01-01,3.627
1977-04-01,1.77
1977-07-01,0.561
1977-10-01,1.27
1978-01-01,3.85
1978-04-01,3.006
1978-07-01,1.558
1978-10-01,1.992
1979-01-01,2.385
1979-04-01,-4.309
1979-07-01,3.599
1979-10-01,-0.95
1980-01-01,3.177
1980-04-01,-4.685
1980-07-01,0.623
1980-10-01,4.892
1981-01-01,-2.049
1981-04-01,2.968
1981-07-01,-2.459
1981-10-01,0.731
1982-01-01,-2.123
1982-04-01,1.844
1982-07-01,3.043
1982-10-01,-8.62
1983-01-01,2.693
1983-04-01,6.724
1983-07-01,1.396
1983-10-01,7.274
1984-01-01,5.258
1984-04-01,3.632
1984-07-01,6.336
1984-10-01,-1.691
1985-01-01,0.872
1985-04-01,0.977
1985-07-01,0.559
1985-10-01,1.575
1986-01-01,0.675
1986-04-01,0.997
1986-07-01,3.587
1986-10-01,-0.277
1987-01-01,1.06
1987-04-01,-1.493
1987-07-01,1.658
1987-10-01,3.324
1988-01-01,5.675
1988-04-01,1.759
1988-07-01,-2.437
1988-10-01,2.651
1989-01-01,1.864
1989-04-01,-4.048
1989-07-01,0.559
1989-10-01,2.573
1990-01-01,1.525
1990-04-01,3.543
1990-07-01,-0.578
1990-10-01,-2.664
1991-01-01,-1.958
1991-04-01,4.203
1991-07-01,3.695
1991-10-01,-0.164
1992-01-01,0.868
1992-04-01,2.849
1992-07-01,1.597
1992-10-01,2.937
1993-01-01,4.035
1993-04-01,3.301
1993-07-01,0.905
1993-10-01,3.426
1994-01-01,0.81
1994-04-01,8.839
1994-07-01,5.224
1994-10-01,5.398
1995-01-01,3.975
1995-04-01,-3.158
1995-07-01,0.148
1995-10-01,5.393
1996-01-01,0.409
1996-04-01,5.713
1996-07-01,3.159
1996-10-01,-4.097
1997-01-01,8.411
1997-04-01,1.957
1997-07-01,4.418
1997-10-01,2.8
1998-01-01,5.107
1998-04-01,1.75
1998-07-01,3.26
1998-10-01,6.474
1999-01-01,6.185
1999-04-01,0.239
1999-07-01,5.864
1999-10-01,4.735
2000-01-01,5.827
2000-04-01,2.642
2000-07-01,1.483
2000-10-01,0.321
2001-01-01,-3.058
2001-04-01,-2.287
2001-07-01,-3.589
2001-10-01,0.585
2002-01-01,2.78
2002-04-01,-0.258
2002-07-01,3.651
2002-10-01,-2.287
2003-01-01,-2.577
2003-04-01,-3.033
2003-07-01,1.769
2003-10-01,4.615
2004-01-01,-0.142
2004-04-01,7.065
2004-07-01,-0.517
2004-10-01,-1.468
2005-01-01,1.444
2005-04-01,-0.542
2005-07-01,2.15
2005-10-01,3.512
2006-01-01,-2.008
2006-04-01,-0.537
2006-07-01,-0.072
2006-10-01,1.079
2007-01-01,1.446
2007-04-01,2.191
2007-07-01,-2.578
2007-10-01,-3.114
2008-01-01,-1.93
2008-04-01,1.259
2008-07-01,-1.162
2008-10-01,-6.301
2009-01-01,-10.819
2009-04-01,-4.624
2009-07-01,2.992
2009-10-01,2.748
2010-01-01,1.625
2010-04-01,3.778
2010-07-01,-0.02
2010-10-01,2.88
2011-01-01,0.214
2011-04-01,-1.78
2011-07-01,6.736
2011-10-01,1.623
2012-01-01,-0.22
2012-04-01,0.109
2012-07-01,-0.81
2012-10-01,-0.301
2013-01-01,1.93
2013-04-01,2.235
2013-07-01,-0.874
2013-10-01,1.707
2014-01-01,-0.409
2014-04-01,7.575
2014-07-01,1.943
2014-10-01,0.691
2015-01-01,-1.277
2015-04-01,1.681
2015-07-01,2.574
2015-10-01,-1.041
2016-01-01,2.893
2016-04-01,-5.149
2016-07-01,3.599
2016-10-01,1.295
2017-01-01,0.921
2017-04-01,1.784
2017-07-01,-4.506
2017-10-01,2.213
2018-01-01,2.137
2018-04-01,3.975
2018-07-01,-0.613
2018-10-01,-0.378
2019-01-01,-0.068
2019-04-01,5.266
2019-07-01,-1.137
2019-10-01,-2.707
2020-01-01,-2.102
2020-04-01,-16.546
2020-07-01,17.162
2020-10-01,1.465
2021-01-01,3.348
2021-04-01,-4.217
2021-07-01,-0.206
2021-10-01,4.076
2022-01-01,-0.219
2022-04-01,4.899
2022-07-01,1.562
2022-10-01,-0.06
2023-01-01,4.799
2023-04-01,1.644
2023-07-01,-0.213
2023-10-01,1.726
2024-01-01,-0.732
2024-04-01,-0.34
2024-07-01,-0.207
2024-10-01,2.911
2025-01-01,1.298
2025-04-01,-8.534
2025-07-01,1.138
2025-10-01,1.824
