date,value
1961-01-01,
1961-04-01,0.278
1961-07-01,2.692
1961-10-01,-0.416
1962-01-01,0.604
1962-04-01,2.388
1962-07-01,-0.97
1962-10-01,1.009
1963-01-01,1.232
1963-04-01,-0.053
1963-07-01,1.355
1963-10-01,0.386
1964-01-01,3.621
1964-04-01,-1.134
1964-07-01,-0.451
1964-10-01,1.806
1965-01-01,1.011
1965-04-01,0.276
1965-07-01,0.833
1965-10-01,1.419
1966-01-01,1.38
1966-04-01,1.979
1966-07-01,1.583
1966-10-01,2.135
1967-01-01,0.096
1967-04-01,3.124
1967-07-01,0.394
1967-10-01,0.781
1968-01-01,0.717
1968-04-01,1.549
1968-07-01,2.046
1968-10-01,1.389
1969-01-01,-0.139
1969-04-01,1.501
1969-07-01,0.081
1969-10-01,1.303
1970-01-01,2.923
1970-04-01,3.052
1970-07-01,-1.974
1970-10-01,1.74
1971-01-01,-1.318
1971-04-01,3.151
1971-07-01,1.455
1971-10-01,1.195
1972-01-01,-1.648
1972-04-01,1.348
1972-07-01,1.848
1972-10-01,1.463
1973-01-01,-0.17
1973-04-01,0.897
1973-07-01,0.427
1973-10-01,3.228
1974-01-01,-0.514
1974-04-01,2.193
1974-07-01,1.2
1974-10-01,1.131
1975-01-01,0.706
1975-04-01,3.03
1975-07-01,1.083
1975-10-01,-0.081
1976-01-01,-0.378
1976-04-01,1.053
1976-07-01,-0.455
1976-10-01,0.97
1977-01-01,1.69
1977-04-01,1.87
1977-07-01,-0.67
1977-10-01,0.692
1978-01-01,-0.199
1978-04-01,0.582
1978-07-01,0.142
1978-10-01,0.154
1979-01-01,-0.202
1979-04-01,1.224
1979-07-01,-0.716
1979-10-01,0.566
1980-01-01,0.542
1980-04-01,1.071
1980-07-01,1.218
1980-10-01,-0.359
1981-01-01,0.401
1981-04-01,-0.167
1981-07-01,1.018
1981-10-01,0.234
1982-01-01,-0.727
1982-04-01,0.896
1982-07-01,0.766
1982-10-01,0.26
1983-01-01,-1.672
1983-04-01,1.747
1983-07-01,0.972
1983-10-01,0.102
1984-01-01,0.226
1984-04-01,0.037
1984-07-01,1.023
1984-10-01,1.155
1985-01-01,1.367
1985-04-01,0.764
1985-07-01,-0.701
1985-10-01,2.214
1986-01-01,0.048
1986-04-01,-0.585
1986-07-01,0.87
1986-10-01,-0.328
1987-01-01,0.77
1987-04-01,0.685
1987-07-01,-0.618
1987-10-01,1.081
1988-01-01,1.022
1988-04-01,0.794
1988-07-01,0.384
1988-10-01,0.024
1989-01-01,0.322
1989-04-01,1.171
1989-07-01,1.001
1989-10-01,-0.12
1990-01-01,1.717
1990-04-01,-1.046
1990-07-01,1.939
1990-10-01,1.006
1991-01-01,-0.478
1991-04-01,1.797
1991-07-01,-0.701
1991-10-01,0.754
1992-01-01,0.156
1992-04-01,-0.553
1992-07-01,-0.02
1992-10-01,1.581
1993-01-01,-0.949
1993-04-01,0.418
1993-07-01,-1.136
1993-10-01,-0.076
1994-01-01,-1.403
1994-04-01,1.19
1994-07-01,0.09
1994-10-01,-0.473
1995-01-01,-0.105
1995-04-01,-0.26
1995-07-01,-0.705
1995-10-01,-0.793
1996-01-01,0.064
1996-04-01,-0.008
1996-07-01,-1.3
1996-10-01,-0.186
1997-01-01,0.673
1997-04-01,-0.61
1997-07-01,0.167
1997-10-01,-0.016
1998-01-01,2.157
1998-04-01,-0.821
1998-07-01,0.308
1998-10-01,-0.22
1999-01-01,0.9
1999-04-01,0.506
1999-07-01,1.257
1999-10-01,0.102
2000-01-01,0.885
2000-04-01,0.863
2000-07-01,0.366
2000-10-01,0.465
2001-01-01,0.976
2001-04-01,0.961
2001-07-01,0.224
2001-10-01,0.109
2002-01-01,0.572
2002-04-01,0.327
2002-07-01,0.79
2002-10-01,0.605
2003-01-01,0.867
2003-04-01,0.279
2003-07-01,0.209
2003-10-01,0.635
2004-01-01,0.522
2004-04-01,-0.147
2004-07-01,0.647
2004-10-01,0.421
2005-01-01,-0.418
2005-04-01,0.275
2005-07-01,0.44
2005-10-01,0.857
2006-01-01,0.308
2006-04-01,0.813
2006-07-01,0.253
2006-10-01,0.487
2007-01-01,0.315
2007-04-01,0.365
2007-07-01,1.074
2007-10-01,0.028
2008-01-01,0.689
2008-04-01,1.685
2008-07-01,-0.028
2008-10-01,1.128
2009-01-01,0.008
2009-04-01,0.673
2009-07-01,0.471
2009-10-01,0.737
2010-01-01,0.794
2010-04-01,-0.097
2010-07-01,0.307
2010-10-01,0.606
2011-01-01,0.069
2011-04-01,0.321
2011-07-01,0.38
2011-10-01,0.186
2012-01-01,0.112
2012-04-01,-0.229
2012-07-01,0.521
2012-10-01,-0.056
2013-01-01,-0.9
2013-04-01,-0.375
2013-07-01,0.421
2013-10-01,0.516
2014-01-01,0.237
2014-04-01,-0.312
2014-07-01,0.037
2014-10-01,-0.247
2015-01-01,1.095
2015-04-01,0.088
2015-07-01,0.487
2015-10-01,-0.232
2016-01-01,0.694
2016-04-01,0.889
2016-07-01,-0.016
2016-10-01,0.177
2017-01-01,0.84
2017-04-01,0.122
2017-07-01,0.62
2017-10-01,0.709
2018-01-01,0.802
2018-04-01,0.846
2018-07-01,0.286
2018-10-01,0.574
2019-01-01,-0.373
2019-04-01,-0.061
2019-07-01,0.671
2019-10-01,0.743
2020-01-01,-0.097
2020-04-01,-2.699
2020-07-01,6.113
2020-10-01,1.247
2021-01-01,1.317
2021-04-01,0.986
2021-07-01,0.416
2021-10-01,0.641
2022-01-01,0.829
2022-04-01,0.037
2022-07-01,0.83
2022-10-01,0.741
2023-01-01,-0.102
2023-04-01,0.854
2023-07-01,1.001
2023-10-01,-0.26
2024-01-01,1.306
2024-04-01,0.968
2024-07-01,1.089
2024-10-01,0.509
2025-01-01,0.306
2025-04-01,0.949
2025-07-01,-0.609
2025-10-01,0.662
