date,value
1961-01-01,
1961-04-01,0.232
1961-07-01,-0.677
1961-10-01,-5.237
1962-01-01,-0.067
1962-04-01,2.0
1962-07-01,0.762
1962-10-01,2.426
1963-01-01,-0.339
1963-04-01,-1.893
1963-07-01,-2.849
1963-10-01,-2.947
1964-01-01,-2.823
1964-04-01,-2.583
1964-07-01,1.109
1964-10-01,-1.749
1965-01-01,-4.107
1965-04-01,-1.825
1965-07-01,-2.345
1965-10-01,-5.361
1966-01-01,-1.157
1966-04-01,-1.289
1966-07-01,-2.575
1966-10-01,-2.836
1967-01-01,-0.136
1967-04-01,-0.899
1967-07-01,0.084
1967-10-01,0.636
1968-01-01,-6.49
1968-04-01,2.761
1968-07-01,-3.002
1968-10-01,-7.771
1969-01-01,-3.303
1969-04-01,-0.334
1969-07-01,0.846
1969-10-01,-2.937
1970-01-01,2.572
1970-04-01,-0.788
1970-07-01,-0.163
1970-10-01,4.269
1971-01-01,-1.183
1971-04-01,-5.95
1971-07-01,-4.307
1971-10-01,-2.119
1972-01-01,-0.068
1972-04-01,-5.058
1972-07-01,-2.145
1972-10-01,-3.998
1973-01-01,-4.477
1973-04-01,-0.86
1973-07-01,-0.842
1973-10-01,-5.613
1974-01-01,-2.458
1974-04-01,-0.845
1974-07-01,-1.516
1974-10-01,0.714
1975-01-01,2.309
1975-04-01,2.377
1975-07-01,0.227
1975-10-01,-1.567
1976-01-01,-3.716
1976-04-01,-3.478
1976-07-01,2.07
1976-10-01,0.032
1977-01-01,-0.106
1977-04-01,-1.572
1977-07-01,1.876
1977-10-01,2.506
1978-01-01,0.259
1978-04-01,-5.96
1978-07-01,-0.146
1978-10-01,-4.966
1979-01-01,-1.0
1979-04-01,1.004
1979-07-01,-2.12
1979-10-01,-0.881
1980-01-01,1.637
1980-04-01,4.074
1980-07-01,3.52
1980-10-01,-6.522
1981-01-01,1.227
1981-04-01,-6.578
1981-07-01,4.779
1981-10-01,3.822
1982-01-01,7.388
1982-04-01,4.761
1982-07-01,0.3
1982-10-01,4.142
1983-01-01,-4.591
1983-04-01,-3.894
1983-07-01,-6.98
1983-10-01,-7.454
1984-01-01,-3.728
1984-04-01,-1.268
1984-07-01,-3.293
1984-10-01,4.279
1985-01-01,-4.151
1985-04-01,-4.888
1985-07-01,-2.56
1985-10-01,-0.597
1986-01-01,-2.199
1986-04-01,0.734
1986-07-01,-4.308
1986-10-01,0.087
1987-01-01,1.064
1987-04-01,-1.455
1987-07-01,-2.66
1987-10-01,-8.03
1988-01-01,-3.978
1988-04-01,-0.016
1988-07-01,-2.452
1988-10-01,-1.107
1989-01-01,-2.646
1989-04-01,-0.688
1989-07-01,0.671
1989-10-01,-3.362
1990-01-01,-0.552
1990-04-01,-0.243
1990-07-01,1.868
1990-10-01,1.31
1991-01-01,-0.235
1991-04-01,-1.878
1991-07-01,-4.496
1991-10-01,-1.933
1992-01-01,0.128
1992-04-01,-1.105
1992-07-01,-1.77
1992-10-01,2.295
1993-01-01,-4.963
1993-04-01,-3.576
1993-07-01,-0.681
1993-10-01,-3.107
1994-01-01,0.061
1994-04-01,-5.72
1994-07-01,-1.195
1994-10-01,-6.081
1995-01-01,-0.029
1995-04-01,-1.064
1995-07-01,0.589
1995-10-01,-1.397
1996-01-01,-2.818
1996-04-01,0.21
1996-07-01,-5.1
1996-10-01,-2.898
1997-01-01,-8.297
1997-04-01,-3.181
1997-07-01,-6.128
1997-10-01,-2.188
1998-01-01,-1.92
1998-04-01,-0.808
1998-07-01,3.503
1998-10-01,-6.283
1999-01-01,-3.054
1999-04-01,-2.875
1999-07-01,-3.723
1999-10-01,-7.966
2000-01-01,-3.378
2000-04-01,-0.907
2000-07-01,-1.531
2000-10-01,1.36
2001-01-01,4.13
2001-04-01,1.048
2001-07-01,3.377
2001-10-01,3.487
2002-01-01,-0.887
2002-04-01,-6.739
2002-07-01,-2.711
2002-10-01,0.339
2003-01-01,-1.226
2003-04-01,-0.263
2003-07-01,-0.205
2003-10-01,-6.018
2004-01-01,-1.156
2004-04-01,-3.567
2004-07-01,-3.876
2004-10-01,-1.504
2005-01-01,-4.354
2005-04-01,0.995
2005-07-01,-2.354
2005-10-01,-3.053
2006-01-01,-1.191
2006-04-01,-3.39
2006-07-01,0.196
2006-10-01,0.044
2007-01-01,-2.864
2007-04-01,-2.098
2007-07-01,-3.101
2007-10-01,-2.625
2008-01-01,-0.164
2008-04-01,-0.925
2008-07-01,3.612
2008-10-01,8.349
2009-01-01,12.59
2009-04-01,1.87
2009-07-01,-7.357
2009-10-01,-4.649
2010-01-01,-5.308
2010-04-01,-3.434
2010-07-01,-2.369
2010-10-01,-0.508
2011-01-01,-2.776
2011-04-01,-1.2
2011-07-01,-1.029
2011-10-01,-1.275
2012-01-01,-2.31
2012-04-01,-0.032
2012-07-01,-1.395
2012-10-01,0.445
2013-01-01,-1.516
2013-04-01,-1.36
2013-07-01,0.591
2013-10-01,-0.244
2014-01-01,0.766
2014-04-01,-4.392
2014-07-01,-0.544
2014-10-01,-1.059
2015-01-01,0.603
2015-04-01,-0.327
2015-07-01,1.657
2015-10-01,-0.056
2016-01-01,-0.355
2016-04-01,-0.385
2016-07-01,-1.544
2016-10-01,2.55
2017-01-01,-4.48
2017-04-01,-2.532
2017-07-01,-0.549
2017-10-01,-3.256
2018-01-01,-1.725
2018-04-01,-2.368
2018-07-01,3.507
2018-10-01,1.674
2019-01-01,-3.653
2019-04-01,0.703
2019-07-01,0.82
2019-10-01,1.672
2020-01-01,-0.144
2020-04-01,26.321
2020-07-01,-28.448
