date,value
1961-01-01,
1961-04-01,1.446
1961-07-01,-7.135
1961-10-01,9.153
1962-01-01,1.507
1962-04-01,-3.429
1962-07-01,6.956
1962-10-01,-2.521
1963-01-01,0.477
1963-04-01,-1.778
1963-07-01,1.444
1963-10-01,0.943
1964-01-01,1.773
1964-04-01,-4.151
1964-07-01,-0.455
1964-10-01,-4.151
1965-01-01,14.871
1965-04-01,-3.504
1965-07-01,-4.946
1965-10-01,1.079
1966-01-01,2.014
1966-04-01,5.069
1966-07-01,-6.311
1966-10-01,-0.033
1967-01-01,-4.154
1967-04-01,-1.411
1967-07-01,2.729
1967-10-01,-2.915
1968-01-01,0.219
1968-04-01,2.973
1968-07-01,1.323
1968-10-01,0.947
1969-01-01,0.67
1969-04-01,0.382
1969-07-01,0.83
1969-10-01,0.825
1970-01-01,-5.01
1970-04-01,0.368
1970-07-01,1.129
1970-10-01,-8.363
1971-01-01,-0.949
1971-04-01,0.995
1971-07-01,3.552
1971-10-01,1.155
1972-01-01,-3.805
1972-04-01,2.813
1972-07-01,1.655
1972-10-01,-1.185
1973-01-01,0.769
1973-04-01,-0.605
1973-07-01,4.262
1973-10-01,0.65
1974-01-01,-1.454
1974-04-01,5.772
1974-07-01,-2.601
1974-10-01,2.707
1975-01-01,-3.46
1975-04-01,-5.888
1975-07-01,-1.346
1975-10-01,1.604
1976-01-01,5.305
1976-04-01,-1.462
1976-07-01,1.523
1976-10-01,-3.472
1977-01-01,1.87
1977-04-01,0.056
1977-07-01,-2.377
1977-10-01,0.619
1978-01-01,-2.099
1978-04-01,-0.085
1978-07-01,1.996
1978-10-01,2.69
1979-01-01,0.461
1979-04-01,6.398
1979-07-01,-5.933
1979-10-01,3.568
1980-01-01,-5.638
1980-04-01,3.618
1980-07-01,-11.701
1980-10-01,3.116
1981-01-01,4.362
1981-04-01,5.221
1981-07-01,-4.72
1981-10-01,-5.891
1982-01-01,-1.451
1982-04-01,-4.714
1982-07-01,-1.977
1982-10-01,0.249
1983-01-01,7.641
1983-04-01,-1.631
1983-07-01,4.93
1983-10-01,2.001
1984-01-01,3.374
1984-04-01,3.113
1984-07-01,-2.512
1984-10-01,-1.495
1985-01-01,2.038
1985-04-01,-1.065
1985-07-01,2.316
1985-10-01,-1.363
1986-01-01,1.843
1986-04-01,-0.847
1986-07-01,-3.362
1986-10-01,-1.436
1987-01-01,1.42
1987-04-01,-1.052
1987-07-01,1.113
1987-10-01,4.967
1988-01-01,0.155
1988-04-01,-2.858
1988-07-01,0.424
1988-10-01,-0.667
1989-01-01,-1.408
1989-04-01,4.373
1989-07-01,1.013
1989-10-01,-5.308
1990-01-01,-0.617
1990-04-01,0.541
1990-07-01,-3.546
1990-10-01,0.47
1991-01-01,1.241
1991-04-01,-4.972
1991-07-01,2.349
1991-10-01,-0.385
1992-01-01,-0.084
1992-04-01,1.098
1992-07-01,-0.351
1992-10-01,-1.928
1993-01-01,2.984
1993-04-01,1.022
1993-07-01,2.593
1993-10-01,-0.543
1994-01-01,0.675
1994-04-01,-0.164
1994-07-01,-0.428
1994-10-01,0.631
1995-01-01,2.66
1995-04-01,2.51
1995-07-01,-1.439
1995-10-01,-2.266
1996-01-01,-1.672
1996-04-01,-3.416
1996-07-01,3.164
1996-10-01,2.659
