date,value
1961-01-01,
1961-04-01,2.368
1961-07-01,3.081
1961-10-01,0.106
1962-01-01,1.362
1962-04-01,-0.45
1962-07-01,2.822
1962-10-01,-0.729
1963-01-01,-0.669
1963-04-01,1.851
1963-07-01,1.488
1963-10-01,3.97
1964-01-01,3.999
1964-04-01,1.138
1964-07-01,1.436
1964-10-01,5.839
1965-01-01,0.114
1965-04-01,1.278
1965-07-01,5.036
1965-10-01,3.267
1966-01-01,3.245
1966-04-01,3.144
1966-07-01,-0.883
1966-10-01,1.254
1967-01-01,0.223
1967-04-01,-0.399
1967-07-01,-1.351
1967-10-01,-1.348
1968-01-01,1.907
1968-04-01,0.079
1968-07-01,0.048
1968-10-01,2.161
1969-01-01,0.923
1969-04-01,1.472
1969-07-01,0.762
1969-10-01,0.653
1970-01-01,0.142
1970-04-01,-3.084
1970-07-01,2.304
1970-10-01,1.4
1971-01-01,0.608
1971-04-01,3.799
1971-07-01,2.235
1971-10-01,1.712
1972-01-01,0.214
1972-04-01,1.199
1972-07-01,-0.709
1972-10-01,-0.944
1973-01-01,4.785
1973-04-01,1.98
1973-07-01,1.747
1973-10-01,3.348
1974-01-01,3.681
1974-04-01,-3.318
1974-07-01,0.068
1974-10-01,-0.472
1975-01-01,0.858
1975-04-01,2.675
1975-07-01,3.923
1975-10-01,1.656
1976-01-01,1.047
1976-04-01,3.35
1976-07-01,-2.424
1976-10-01,0.562
1977-01-01,1.42
1977-04-01,0.705
1977-07-01,1.049
1977-10-01,-0.705
1978-01-01,-0.348
1978-04-01,2.182
1978-07-01,-0.077
1978-10-01,1.193
1979-01-01,1.089
1979-04-01,0.906
1979-07-01,4.819
1979-10-01,0.49
1980-01-01,1.192
1980-04-01,-2.351
1980-07-01,3.875
1980-10-01,2.768
1981-01-01,4.809
1981-04-01,2.708
1981-07-01,-2.382
1981-10-01,-1.031
1982-01-01,-3.075
1982-04-01,-6.429
1982-07-01,-3.932
1982-10-01,1.997
1983-01-01,-0.505
1983-04-01,1.796
1983-07-01,0.886
1983-10-01,0.558
1984-01-01,0.256
1984-04-01,-0.144
1984-07-01,0.741
1984-10-01,0.036
1985-01-01,1.988
1985-04-01,3.781
1985-07-01,2.67
1985-10-01,0.753
1986-01-01,0.851
1986-04-01,-0.217
1986-07-01,-0.553
1986-10-01,0.25
1987-01-01,2.222
1987-04-01,3.869
1987-07-01,4.587
1987-10-01,1.428
1988-01-01,1.775
1988-04-01,0.957
1988-07-01,2.98
1988-10-01,-1.261
1989-01-01,3.915
1989-04-01,-0.747
1989-07-01,-0.414
1989-10-01,3.035
1990-01-01,-1.42
1990-04-01,-2.18
1990-07-01,-2.382
1990-10-01,-3.004
1991-01-01,0.665
1991-04-01,-0.947
1991-07-01,0.265
1991-10-01,1.123
1992-01-01,-0.559
1992-04-01,-3.341
1992-07-01,1.569
1992-10-01,-3.252
1993-01-01,-0.836
1993-04-01,1.764
1993-07-01,1.623
1993-10-01,1.043
1994-01-01,1.015
1994-04-01,2.478
1994-07-01,0.048
1994-10-01,0.55
1995-01-01,-1.946
1995-04-01,-0.172
1995-07-01,-0.18
1995-10-01,0.35
