date,value
1961-01-01,363923.0
1961-04-01,373138.0
1961-07-01,382218.0
1961-10-01,387418.0
1962-01-01,397727.0
1962-04-01,400888.0
1962-07-01,406015.0
1962-10-01,413982.0
1963-01-01,416607.0
1963-04-01,422666.0
1963-07-01,425878.0
1963-10-01,439206.0
1964-01-01,450201.0
1964-04-01,451887.0
1964-07-01,456710.0
1964-10-01,459001.0
1965-01-01,473602.0
1965-04-01,477938.0
1965-07-01,484608.0
1965-10-01,496485.0
1966-01-01,506146.0
1966-04-01,517072.0
1966-07-01,516825.0
1966-10-01,523230.0
1967-01-01,522051.0
1967-04-01,532927.0
1967-07-01,534607.0
1967-10-01,536936.0
1968-01-01,541513.0
1968-04-01,556071.0
1968-07-01,563816.0
1968-10-01,571623.0
1969-01-01,579449.0
1969-04-01,581833.0
1969-07-01,588288.0
1969-10-01,596601.0
1970-01-01,600288.0
1970-04-01,600338.0
1970-07-01,606551.0
1970-10-01,607472.0
1971-01-01,604347.0
1971-04-01,621993.0
1971-07-01,639182.0
1971-10-01,646168.0
1972-01-01,644006.0
1972-04-01,662263.0
1972-07-01,664228.0
1972-10-01,679830.0
1973-01-01,697278.0
1973-04-01,703930.0
1973-07-01,707203.0
1973-10-01,720247.0
1974-01-01,726208.0
1974-04-01,733657.0
1974-07-01,733798.0
1974-10-01,729975.0
1975-01-01,725998.0
1975-04-01,735312.0
1975-07-01,749419.0
1975-10-01,758091.0
1976-01-01,771302.0
1976-04-01,787935.0
1976-07-01,791573.0
1976-10-01,792852.0
1977-01-01,805013.0
1977-04-01,809121.0
1977-07-01,813877.0
1977-10-01,826774.0
1978-01-01,833914.0
1978-04-01,839590.0
1978-07-01,847422.0
1978-10-01,855457.0
1979-01-01,862282.0
1979-04-01,873721.0
1979-07-01,880126.0
1979-10-01,886031.0
1980-01-01,892183.0
1980-04-01,891793.0
1980-07-01,891052.0
1980-10-01,903381.0
1981-01-01,922843.0
1981-04-01,932933.0
1981-07-01,924545.0
1981-10-01,920293.0
1982-01-01,909761.0
1982-04-01,899287.0
1982-07-01,891312.0
1982-10-01,883087.0
1983-01-01,897519.0
1983-04-01,915225.0
1983-07-01,925507.0
1983-10-01,937013.0
1984-01-01,953242.0
1984-04-01,971741.0
1984-07-01,975919.0
1984-10-01,991150.0
1985-01-01,1006378.0
1985-04-01,1009615.0
1985-07-01,1022432.0
1985-10-01,1038020.0
1986-01-01,1037494.0
1986-04-01,1043457.0
1986-07-01,1044769.0
1986-10-01,1037206.0
1987-01-01,1061180.0
1987-04-01,1074774.0
1987-07-01,1091195.0
1987-10-01,1105292.0
1988-01-01,1121396.0
1988-04-01,1131347.0
1988-07-01,1131515.0
1988-10-01,1139280.0
1989-01-01,1152444.0
1989-04-01,1156927.0
1989-07-01,1161104.0
1989-10-01,1158793.0
1990-01-01,1169937.0
1990-04-01,1165243.0
1990-07-01,1156892.0
1990-10-01,1146591.0
1991-01-01,1130096.0
1991-04-01,1135520.0
1991-07-01,1137026.0
1991-10-01,1139024.0
1992-01-01,1139828.0
1992-04-01,1141127.0
1992-07-01,1147308.0
1992-10-01,1153845.0
1993-01-01,1161171.0
1993-04-01,1171748.0
1993-07-01,1182954.0
1993-10-01,1188014.0
1994-01-01,1205531.0
1994-04-01,1223130.0
1994-07-01,1238811.0
1994-10-01,1247810.0
1995-01-01,1259275.0
1995-04-01,1259810.0
1995-07-01,1261475.0
1995-10-01,1266566.0
1996-01-01,1268404.0
1996-04-01,1277434.0
1996-07-01,1288163.0
1996-10-01,1298369.0
1997-01-01,1315766.0
1997-04-01,1330573.0
1997-07-01,1346347.0
1997-10-01,1359358.0
1998-01-01,1378552.0
1998-04-01,1379282.0
1998-07-01,1391850.0
1998-10-01,1410709.0
1999-01-01,1436180.0
1999-04-01,1448025.0
1999-07-01,1470722.0
1999-10-01,1491326.0
2000-01-01,1514676.0
2000-04-01,1532503.0
2000-07-01,1548212.0
2000-10-01,1551274.0
2001-01-01,1560006.0
2001-04-01,1564912.0
2001-07-01,1563812.0
2001-10-01,1573191.0
2002-01-01,1596194.0
2002-04-01,1605625.0
2002-07-01,1619509.0
2002-10-01,1628404.0
2003-01-01,1637464.0
2003-04-01,1635089.0
2003-07-01,1641202.0
2003-10-01,1652484.0
2004-01-01,1664500.0
2004-04-01,1684222.0
2004-07-01,1704135.0
2004-10-01,1716434.0
2005-01-01,1722445.0
2005-04-01,1734894.0
2005-07-01,1755919.0
2005-10-01,1773358.0
2006-01-01,1787756.0
2006-04-01,1788650.0
2006-07-01,1793685.0
2006-10-01,1800828.0
2007-01-01,1812321.0
2007-04-01,1829823.0
2007-07-01,1836679.0
2007-10-01,1839093.0
2008-01-01,1840473.0
2008-04-01,1847179.0
2008-07-01,1862358.0
2008-10-01,1840749.0
2009-01-01,1799211.0
2009-04-01,1779803.0
2009-07-01,1787763.0
2009-10-01,1808535.0
2010-01-01,1830446.0
2010-04-01,1840031.0
2010-07-01,1852912.0
2010-10-01,1873698.0
2011-01-01,1887968.0
2011-04-01,1891395.0
2011-07-01,1917274.0
2011-10-01,1932511.0
2012-01-01,1933731.0
2012-04-01,1940017.0
2012-07-01,1942672.0
2012-10-01,1946670.0
2013-01-01,1964095.0
2013-04-01,1975406.0
2013-07-01,1991650.0
2013-10-01,2012494.0
2014-01-01,2015895.0
2014-04-01,2034271.0
2014-07-01,2053771.0
2014-10-01,2067966.0
2015-01-01,2056452.0
2015-04-01,2050838.0
2015-07-01,2058182.0
2015-10-01,2059546.0
2016-01-01,2071732.0
2016-04-01,2061412.0
2016-07-01,2082805.0
2016-10-01,2094490.0
2017-01-01,2120843.0
2017-04-01,2143166.0
2017-07-01,2143839.0
2017-10-01,2154716.0
2018-01-01,2179765.0
2018-04-01,2196768.0
2018-07-01,2207849.0
2018-10-01,2213050.0
2019-01-01,2218376.0
2019-04-01,2242662.0
2019-07-01,2248933.0
2019-10-01,2255354.0
2020-01-01,2211376.0
2020-04-01,1968126.0
2020-07-01,2146901.0
2020-10-01,2187228.0
2021-01-01,2224489.0
2021-04-01,2221882.0
2021-07-01,2266642.0
2021-10-01,2307224.0
2022-01-01,2331146.0
2022-04-01,2357666.0
2022-07-01,2376734.0
2022-10-01,2378229.0
2023-01-01,2403264.0
2023-04-01,2407099.0
2023-07-01,2408306.0
2023-10-01,2409551.0
2024-01-01,2427108.0
2024-04-01,2446913.0
2024-07-01,2466957.0
2024-10-01,2484261.0
2025-01-01,2497104.0
2025-04-01,2491233.0
2025-07-01,2505960.0
2025-10-01,2502165.0
