date,value
1961-01-01,
1961-04-01,7.639
1961-07-01,12.133
1961-10-01,0.69
1962-01-01,7.956
1962-04-01,3.541
1962-07-01,0.975
1962-10-01,4.889
1963-01-01,2.283
1963-04-01,6.352
1963-07-01,4.231
1963-10-01,8.727
1964-01-01,12.234
1964-04-01,0.676
1964-07-01,5.707
1964-10-01,9.451
1965-01-01,3.466
1965-04-01,7.119
1965-07-01,9.779
1965-10-01,9.661
1966-01-01,6.277
1966-04-01,6.333
1966-07-01,4.909
1966-10-01,3.494
1967-01-01,2.263
1967-04-01,7.07
1967-07-01,-1.285
1967-10-01,3.877
1968-01-01,4.967
1968-04-01,2.612
1968-07-01,6.537
1968-10-01,6.654
1969-01-01,6.051
1969-04-01,1.987
1969-07-01,3.157
1969-10-01,4.722
1970-01-01,1.014
1970-04-01,1.58
1970-07-01,4.552
1970-10-01,5.277
1971-01-01,-2.191
1971-04-01,14.954
1971-07-01,8.884
1971-10-01,7.624
1972-01-01,-0.434
1972-04-01,8.214
1972-07-01,2.979
1972-10-01,5.78
1973-01-01,10.521
1973-04-01,4.386
1973-07-01,3.919
1973-10-01,10.623
1974-01-01,9.027
1974-04-01,0.227
1974-07-01,2.028
1974-10-01,-1.778
1975-01-01,6.147
1975-04-01,8.474
1975-07-01,9.057
1975-10-01,5.315
1976-01-01,0.64
1976-04-01,10.112
1976-07-01,-2.054
1976-10-01,5.922
1977-01-01,2.315
1977-04-01,2.128
1977-07-01,3.603
1977-10-01,2.036
1978-01-01,1.086
1978-04-01,4.244
1978-07-01,1.221
1978-10-01,2.061
1979-01-01,4.04
1979-04-01,2.367
1979-07-01,4.576
1979-10-01,1.691
1980-01-01,3.189
1980-04-01,-2.143
1980-07-01,8.694
1980-10-01,3.892
1981-01-01,5.842
1981-04-01,4.445
1981-07-01,-3.535
1981-10-01,-1.833
1982-01-01,-4.501
1982-04-01,-4.531
1982-07-01,-3.489
1982-10-01,-3.636
1983-01-01,6.693
1983-04-01,8.129
1983-07-01,4.551
1983-10-01,5.069
1984-01-01,7.106
1984-04-01,7.993
1984-07-01,1.728
1984-10-01,6.391
1985-01-01,6.293
1985-04-01,1.288
1985-07-01,5.178
1985-10-01,6.233
1986-01-01,-0.209
1986-04-01,2.313
1986-07-01,0.511
1986-10-01,-2.864
1987-01-01,9.571
1987-04-01,5.215
1987-07-01,6.245
1987-10-01,5.266
1988-01-01,5.957
1988-04-01,3.594
1988-07-01,0.059
1988-10-01,2.777
1989-01-01,4.704
1989-04-01,1.57
1989-07-01,1.447
1989-10-01,-0.79
1990-01-01,3.895
1990-04-01,-1.6
1990-07-01,-2.828
1990-10-01,-3.514
1991-01-01,-5.639
1991-04-01,1.938
1991-07-01,0.53
1991-10-01,0.706
1992-01-01,0.289
1992-04-01,0.458
1992-07-01,2.181
1992-10-01,2.302
1993-01-01,2.569
1993-04-01,3.695
1993-07-01,3.885
1993-10-01,1.722
1994-01-01,6.033
1994-04-01,5.978
1994-07-01,5.228
1994-10-01,2.937
1995-01-01,3.723
1995-04-01,0.177
1995-07-01,0.529
1995-10-01,1.635
1996-01-01,0.581
1996-04-01,2.88
1996-07-01,3.4
1996-10-01,3.201
1997-01-01,5.474
1997-04-01,4.581
1997-07-01,4.822
1997-10-01,3.919
1998-01-01,5.773
1998-04-01,0.213
1998-07-01,3.698
1998-10-01,5.527
1999-01-01,7.428
1999-04-01,3.344
1999-07-01,6.409
1999-10-01,5.719
2000-01-01,6.41
2000-04-01,4.791
2000-07-01,4.16
2000-10-01,0.8
2001-01-01,2.275
2001-04-01,1.265
2001-07-01,-0.284
2001-10-01,2.415
2002-01-01,5.974
2002-04-01,2.394
2002-07-01,3.499
2002-10-01,2.214
2003-01-01,2.232
2003-04-01,-0.583
2003-07-01,1.504
2003-10-01,2.772
2004-01-01,2.942
2004-04-01,4.827
2004-07-01,4.816
2004-10-01,2.913
2005-01-01,1.405
2005-04-01,2.924
2005-07-01,4.932
2005-10-01,4.029
2006-01-01,3.287
2006-04-01,0.194
2006-07-01,1.132
2006-10-01,1.607
2007-01-01,2.586
2007-04-01,3.911
2007-07-01,1.505
2007-10-01,0.527
2008-01-01,0.301
2008-04-01,1.461
2008-07-01,3.325
2008-10-01,-4.566
2009-01-01,-8.739
2009-04-01,-4.242
2009-07-01,1.803
2009-10-01,4.738
2010-01-01,4.933
2010-04-01,2.119
2010-07-01,2.838
2010-10-01,4.561
2011-01-01,3.073
2011-04-01,0.721
2011-07-01,5.585
2011-10-01,3.221
2012-01-01,0.257
2012-04-01,1.31
2012-07-01,0.553
2012-10-01,0.827
2013-01-01,3.634
2013-04-01,2.323
2013-07-01,3.33
2013-10-01,4.247
2014-01-01,0.674
2014-04-01,3.693
2014-07-01,3.895
2014-10-01,2.788
2015-01-01,-2.219
2015-04-01,-1.08
2015-07-01,1.432
2015-10-01,0.261
2016-01-01,2.383
2016-04-01,-1.97
2016-07-01,4.225
2016-10-01,2.267
2017-01-01,5.131
2017-04-01,4.286
2017-07-01,0.131
2017-10-01,2.04
2018-01-01,4.738
2018-04-01,3.161
2018-07-01,2.039
2018-10-01,0.942
2019-01-01,0.971
2019-04-01,4.447
2019-07-01,1.125
2019-10-01,1.145
2020-01-01,-7.575
2020-04-01,-37.249
2020-07-01,41.59
2020-10-01,7.734
2021-01-01,6.987
2021-04-01,-0.475
2021-07-01,8.297
2021-10-01,7.359
2022-01-01,4.218
2022-04-01,4.632
2022-07-01,3.277
2022-10-01,0.252
2023-01-01,4.279
2023-04-01,0.641
2023-07-01,0.196
2023-10-01,0.209
2024-01-01,2.946
2024-04-01,3.306
2024-07-01,3.319
2024-10-01,2.839
2025-01-01,2.081
2025-04-01,-0.942
2025-07-01,2.392
2025-10-01,-0.604
