date,value
1990-01-01,12.19
1990-04-01,12.68
1990-07-01,12.47
1990-10-01,12.29
1991-01-01,12.19
1991-04-01,12.13
1991-07-01,11.95
1991-10-01,11.83
1992-01-01,11.79
1992-04-01,11.57
1992-07-01,11.2
1992-10-01,11.57
1993-01-01,11.22
1993-04-01,10.69
1993-07-01,10.99
1993-10-01,11.12
1994-01-01,11.12
1994-04-01,11.11
1994-07-01,11.37
1994-10-01,11.46
1995-01-01,11.94
1995-04-01,11.88
1995-07-01,11.91
1995-10-01,11.9
1996-01-01,11.9
1996-04-01,11.97
1996-07-01,12.03
1996-10-01,11.9
1997-01-01,11.9
1997-04-01,11.94
1997-07-01,11.78
1997-10-01,11.92
1998-01-01,12.22
1998-04-01,12.33
1998-07-01,12.38
1998-10-01,12.33
1999-01-01,12.26
1999-04-01,12.05
1999-07-01,12.04
1999-10-01,12.15
2000-01-01,12.21
2000-04-01,12.35
2000-07-01,12.32
2000-10-01,12.36
2001-01-01,12.05
2001-04-01,12.28
2001-07-01,11.99
2001-10-01,11.81
2002-01-01,11.71
2002-04-01,11.81
2002-07-01,11.88
2002-10-01,11.99
2003-01-01,12.04
2003-04-01,12.34
2003-07-01,12.46
2003-10-01,12.49
2004-01-01,12.47
2004-04-01,12.36
2004-07-01,12.42
2004-10-01,12.67
2005-01-01,13.11
2005-04-01,13.15
2005-07-01,13.28
2005-10-01,13.49
2006-01-01,13.46
2006-04-01,13.91
2006-07-01,13.96
2006-10-01,14.04
2007-01-01,14.16
2007-04-01,14.54
2007-07-01,14.88
2007-10-01,15.0
2008-01-01,14.82
2008-04-01,14.66
2008-07-01,14.5
2008-10-01,14.37
2009-01-01,14.19
2009-04-01,14.09
2009-07-01,13.87
2009-10-01,13.82
2010-01-01,13.76
2010-04-01,14.11
2010-07-01,14.1
2010-10-01,14.04
2011-01-01,14.09
2011-04-01,14.18
2011-07-01,14.14
2011-10-01,14.02
2012-01-01,13.95
2012-04-01,14.02
2012-07-01,13.98
2012-10-01,13.97
2013-01-01,13.77
2013-04-01,13.83
2013-07-01,13.87
2013-10-01,13.83
2014-01-01,13.84
2014-04-01,13.88
2014-07-01,13.91
2014-10-01,14.1
2015-01-01,13.98
2015-04-01,13.9
2015-07-01,13.81
2015-10-01,13.81
2016-01-01,14.17
2016-04-01,14.18
2016-07-01,14.15
2016-10-01,14.12
2017-01-01,14.31
2017-04-01,14.3
2017-07-01,14.25
2017-10-01,14.38
2018-01-01,14.64
2018-04-01,14.85
2018-07-01,14.97
2018-10-01,14.94
2019-01-01,15.11
2019-04-01,15.03
2019-07-01,15.06
2019-10-01,14.95
2020-01-01,14.64
2020-04-01,12.56
2020-07-01,13.47
2020-10-01,13.94
2021-01-01,13.57
2021-04-01,13.72
2021-07-01,13.68
2021-10-01,13.9
2022-01-01,13.81
2022-04-01,14.0
2022-07-01,14.43
2022-10-01,14.62
2023-01-01,15.17
2023-04-01,15.14
2023-07-01,15.09
2023-10-01,15.13
2024-01-01,15.1
2024-04-01,15.09
2024-07-01,14.77
2024-10-01,14.67
2025-01-01,14.66
2025-04-01,14.7
2025-07-01,14.61
2025-10-01,14.57
