date,value
2000-01-01,0.32
2000-04-01,0.321
2000-07-01,0.314
2000-10-01,0.312
2001-01-01,0.293
2001-04-01,0.3
2001-07-01,0.294
2001-10-01,0.277
2002-01-01,0.275
2002-04-01,0.289
2002-07-01,0.286
2002-10-01,0.284
2003-01-01,0.289
2003-04-01,0.293
2003-07-01,0.292
2003-10-01,0.302
2004-01-01,0.295
2004-04-01,0.294
2004-07-01,0.3
2004-10-01,0.304
2005-01-01,0.31
2005-04-01,0.309
2005-07-01,0.312
2005-10-01,0.327
2006-01-01,0.338
2006-04-01,0.359
2006-07-01,0.362
2006-10-01,0.354
2007-01-01,0.355
2007-04-01,0.374
2007-07-01,0.396
2007-10-01,0.403
2008-01-01,0.397
2008-04-01,0.374
2008-07-01,0.359
2008-10-01,0.357
2009-01-01,0.318
2009-04-01,0.301
2009-07-01,0.313
2009-10-01,0.32
2010-01-01,0.315
2010-04-01,0.329
2010-07-01,0.318
2010-10-01,0.312
2011-01-01,0.325
2011-04-01,0.334
2011-07-01,0.329
2011-10-01,0.326
2012-01-01,0.323
2012-04-01,0.322
2012-07-01,0.317
2012-10-01,0.314
2013-01-01,0.309
2013-04-01,0.313
2013-07-01,0.325
2013-10-01,0.333
2014-01-01,0.332
2014-04-01,0.329
2014-07-01,0.325
2014-10-01,0.33
2015-01-01,0.323
2015-04-01,0.32
2015-07-01,0.326
2015-10-01,0.334
2016-01-01,0.357
2016-04-01,0.362
2016-07-01,0.361
2016-10-01,0.356
2017-01-01,0.363
2017-04-01,0.369
2017-07-01,0.367
2017-10-01,0.362
2018-01-01,0.369
2018-04-01,0.368
2018-07-01,0.371
2018-10-01,0.373
2019-01-01,0.368
2019-04-01,0.353
2019-07-01,0.357
2019-10-01,0.364
2020-01-01,0.365
2020-04-01,0.317
2020-07-01,0.332
2020-10-01,0.357
2021-01-01,0.359
2021-04-01,0.384
2021-07-01,0.394
2021-10-01,0.416
2022-01-01,0.453
2022-04-01,0.514
2022-07-01,0.515
2022-10-01,0.502
2023-01-01,0.5
2023-04-01,0.508
2023-07-01,0.545
2023-10-01,0.54
2024-01-01,0.512
2024-04-01,0.504
2024-07-01,0.483
2024-10-01,0.465
2025-01-01,0.452
2025-04-01,0.433
2025-07-01,0.432
2025-10-01,0.427
